Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
BGFV,"Big 5 Sporting",139230000,24.42,0.26,1100000,-0.65,0.6,9.45%
BGG,"Briggs & Stratton Corp",728377000,13.24,1.28,56650000,0.65,0.56,3.30%
BGS,"B&G Foods Holdings",2114700000,15,2.08,217460000,0.45,1.9,6.09%
BHE,"Benchmark Electronics",1146642000,15.19,1.59,-31970000,0.4,0.6,2.48%
BHLB,"Berkshire Hills Bancorp",1844052000,15.84,2.56,55250000,0.67,0.88,2.17%
BJRI,"Bj's Restaurants Inc",1265502000,32.32,1.98,44780000,0.67,0.44,0.69%
BKE,"Buckle Inc",1174602000,12.18,1.9,89710000,0.76,1,4.32%
BKS,"Barnes & Noble",440380000,12.14,0.49,-125480000,1.92,0.6,10.08%
BLD,"Topbuild Corp",2658810000,24.28,3.07,158130000,0.59,0,0.00%
BMI,"Badger Meter",1465689000,42.33,1.2,34570000,0.67,0.52,1.02%
BNED,"Barnes & Noble Education Inc C",262283000,0,-5.4,-252570000,0.32,0,0.00%
BOFI,"Bofi Holding Inc",2421936000,16.18,2.4,134740000,0.29,0,0.00%
BPFH,"Boston Pvt Finl Hldg",1216979000,16.29,0.89,40590000,1.03,0.48,3.31%
BRC,"Brady Corp",1927315000,19.02,1.94,95650000,1.14,0.83,2.25%
BRKL,"Brookline Bancorp",1465840000,19.89,0.93,50520000,0.95,0.4,2.16%
BRKS,"Brooks Automation",2131013000,22.04,1.41,62610000,1.02,0.4,1.29%
BRS,"Bristow Group Inc",506004000,0,-2.16,-195660000,2.93,0,0.00%
CACI,"Caci International",4223700000,22.7,7.76,163670000,1.43,0,0.00%
CAL,"Caleres Inc",1440818000,15.2,2.19,87200000,0.93,0.28,0.84%
CALM,"Cal-Maine Foods In",2173761000,15.15,2.97,-74280000,0.62,0,0.00%
CAMP,"Calamp Corp",794506000,23.43,0.95,16620000,1.77,0,0.00%
CASH,"Meta Financial Grp",868150000,13.7,6.63,44920000,1.15,0.52,0.57%
CATM,"Cardtronics Inc",1136979000,9.26,2.69,-145350000,0.85,0,0.00%
CATO,"Cato Corp",629006000,28.52,0.88,8540000,0.79,1.32,5.26%
CBB,"Cincinnati Bell Inc",563920000,0,-0.27,35100000,1.4,0,0.00%
CBL,"Cbl & Associates Properties",927184000,2.62,0.16,120940000,1.18,0.8,15.41%
CBM,"Cambrex Corp",2022096000,18.58,3.3,102450000,2.27,0,0.00%
CBU,"Community Bank System",3247299000,20.32,3.16,150720000,1.01,1.36,2.12%
CCMP,"Cabot Microelectron",3036147000,24.66,4.82,86950000,1.37,1.6,1.35%
CCOI,"Cogent Comm Hldgs",2416195000,118.64,0.44,5880000,0.52,2.08,3.98%
CCRN,"Cross Ctry Hlthcr",422604000,18.92,0.62,37510000,0.9,0,0.00%
CDR,"Cedar Shopping Centers Inc",391591000,8.27,-0.39,19140000,0.9,0.2,4.40%
CECO,"Career Education",1268294000,37.2,0.49,-31900000,2.71,0,0.00%
CEIX,"Consol Energy Inc",1134374000,0,3.26,67630000,N/A,0,0.00%
CENT,"Central Garden",2220734000,24.34,1.75,78830000,0.09,0,0.00%
