Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",40.1,-0.82,-2.00%,42.15,39.75,1706500,08/09/18
AAON,"Aaon Inc",39.3,0.45,+1.16%,39.75,38.8,327800,08/09/18
AAT,"American Assets Trust",38.81,0.19,+0.49%,39,38.6,128400,08/09/18
AAWW,"Atlas Air Ww",61.67,-0.13,-0.20%,62.08,61.55,207700,08/09/18
AAXN,"Axon Inc",59.33,-0.45,-0.75%,61.86,59.22,1102600,08/09/18
ABCB,"Ameris Bancorp",48.88,-0.53,-1.06%,49.75,48.7,207300,08/09/18
ABG,"Asbury Automotive Group Inc",75.4,-0.05,-0.07%,75.9,74.85,192200,08/09/18
ABM,"ABM Industries Incorporated",31.17,-0.21,-0.67%,31.58,31.15,548000,08/09/18
ACET,"Aceto Cp",3.26,0.06,+1.87%,3.32,3.21,184600,08/09/18
ACLS,"Axcelis Tech Inc",21.95,-0.4,-1.79%,22.35,21.9,260900,08/09/18
ACOR,"Acorda Therapeutics",26.75,0.15,+0.56%,27.2,25.8,276700,08/09/18
ADC,"Agree Realty Corp",54.21,0.45,+0.84%,54.44,53.9,98600,08/09/18
ADTN,"Adtran Inc",15.9,-0.05,-0.31%,16.1,15.85,221500,08/09/18
AEGN,"Aegion Corp",25.01,-0.09,-0.36%,25.34,24.98,86900,08/09/18
AEIS,"Advanced Energy",61.05,-1.29,-2.07%,62.26,60.94,465600,08/09/18
AEL,"American Equity Investment Life",36.01,-0.81,-2.20%,36.86,35.89,316200,08/09/18
AGYS,"Agilysys Inc",15.75,0.28,+1.81%,15.87,15.46,192800,08/09/18
AHH,"Armada Hoffler Properties Inc",15.62,0.04,+0.26%,15.74,15.57,235600,08/09/18
AIN,"Albany International Corp",76.2,-0.25,-0.33%,77.35,76.05,196200,08/09/18
AIR,"AAR Corp",46.62,-0.37,-0.79%,47.33,46.54,105600,08/09/18
AIT,"Applied Industrial Technologies",74.55,0.05,+0.07%,75.1,74.15,190400,08/09/18
AJRD,"Aerojet Rocketdyne Holdings",35.83,1.36,+3.95%,36.03,34.53,777100,08/09/18
AKR,"Acadia Realty Trust",26.82,0,unch,27.01,26.75,307100,08/09/18
AKS,"AK Steel Holding Corp",4.37,-0.11,-2.46%,4.48,4.35,10715399,08/09/18
ALG,"Alamo Group",95.85,-0.43,-0.45%,97.46,95.44,48200,08/09/18
ALGT,"Allegiant Travel Com",130.35,1.4,+1.09%,131.55,129,104600,08/09/18
ALRM,Alarm.Com,49.15,0.91,+1.89%,50.52,48.44,635100,08/09/18
AMAG,"Amag Pharmaceuticals",25.4,0.2,+0.79%,25.63,24.85,523000,08/09/18
AMBC,"Ambac Financial Grp",21.91,0.98,+4.68%,23.34,21.79,1341900,08/09/18
AMED,"Amedisys Inc",112.15,1.94,+1.76%,112.79,110.39,263300,08/09/18
AMN,"Amn Healthcare Services Inc",57,1.5,+2.70%,58,55.6,419700,08/09/18
AMPH,"Amphastar Pharma",17.18,-0.79,-4.40%,17.89,16.18,341900,08/09/18
AMSF,"Amerisafe Inc",62.8,0.55,+0.88%,63.35,62.35,28200,08/09/18
AMWD,"Amer Woodmark Cp",85.65,0.7,+0.82%,87.15,85.1,52900,08/09/18
ANDE,"Andersons Inc",40.35,0.25,+0.62%,41.7,40.2,264000,08/09/18
ANF,"Abercrombie & Fitch Company",26.08,0.17,+0.66%,26.51,25.76,1527300,08/09/18
ANGO,"Angiodynamics Inc",21.53,0.3,+1.41%,21.64,21.16,96600,08/09/18
ANIK,"Anika Therapeutics",41.78,0.53,+1.28%,42.17,41.1,86100,08/09/18
ANIP,"ANI Pharma Inc",56.71,-0.35,-0.61%,57.28,55.99,86900,08/09/18
APEI,"American Pub. Edu.",34.17,-9.28,-21.35%,40.18,33.15,534300,08/09/18
APOG,"Apogee Entrpr Inc",49.71,-0.13,-0.26%,50.17,49.58,131500,08/09/18
ARCB,"Arcbest Corp",47.85,0.05,+0.10%,48.45,47.35,244500,08/09/18
ARI,"Apollo Commercial Real Estate",18.75,0.06,+0.32%,18.79,18.69,725000,08/09/18
AROC,"Archrock Inc",13.05,-0.15,-1.14%,13.27,13.05,476100,08/09/18
ARR,"Armour Residential R",23.49,0.16,+0.69%,23.51,23.3,360300,08/09/18
ASGN,"On Assignment",91.46,-0.41,-0.45%,92.36,91.42,168100,08/09/18
ASIX,"Advansix Inc",35.34,0.9,+2.61%,35.38,34.52,169300,08/09/18
ASNA,"Ascena Retail Grp",4.16,0.06,+1.46%,4.27,4.09,981500,08/09/18
ASTE,"Astec Inds Inc",45.99,-0.42,-0.90%,47,45.93,148800,08/09/18
ATNI,"Atn International",69.12,2.6,+3.91%,69.8,66.33,46000,08/09/18
ATU,"Actuant Corp",28.25,0.25,+0.89%,28.35,27.95,248100,08/09/18
AVA,"Avista Corp",50.78,0.17,+0.34%,50.79,50.64,166200,08/09/18
AVAV,"Aerovironment Inc",79.01,1.28,+1.65%,79.37,77.94,168200,08/09/18
AVD,"American Vanguard Corp",19.89,-0.21,-1.04%,20.15,19.8,51500,08/09/18
AVP,"Avon Products",1.8,0.02,+1.12%,1.88,1.78,9139101,08/09/18
AWR,"American States Water Company",59.74,0.06,+0.10%,59.83,59.3,161400,08/09/18
AXE,"Anixter International Inc",72.85,-0.55,-0.75%,74.6,72.75,218500,08/09/18
AXL,"American Axle & Manufacturing",17.07,-0.39,-2.23%,17.44,16.91,1437200,08/09/18
AZZ,"Azz Inc",53.25,-0.85,-1.57%,54.3,53.15,86300,08/09/18
B,"Barnes Group",66.49,-0.76,-1.13%,67.36,66.32,100900,08/09/18
BABY,"Natus Medical Inc",35.9,0.6,+1.70%,36.1,35.05,180400,08/09/18
BANC,"First Pactrust Bancorp",20.2,0.15,+0.75%,20.4,20,234200,08/09/18
BANR,"Banner Corp",65.03,0,unch,65.44,64.87,113900,08/09/18
BCC,"Boise Cascade L.L.C.",44.1,0.1,+0.23%,44.45,43.65,380600,08/09/18
BCOR,"Blucora Inc",34.45,-0.25,-0.72%,35.35,34.35,427400,08/09/18
BCPC,"Balchem Cp",100.68,-1.35,-1.32%,102.69,100.61,58900,08/09/18
BEAT,"Biotelemetry Inc",57.15,-0.7,-1.21%,58.35,57,252700,08/09/18
BEL,"Belmond Ltd",15.1,3.95,+35.43%,16.2,14,3609100,08/09/18
BELFB,"Bel Fuse Inc Cl B",24.9,-0.25,-0.99%,25.4,24.55,12200,08/09/18
BFS,"Saul Centers",55.19,0.32,+0.58%,55.46,54.88,18300,08/09/18
BGFV,"Big 5 Sporting",5.65,0,unch,5.75,5.65,170800,08/09/18
BGG,"Briggs & Stratton Corp",17.38,-0.04,-0.23%,17.59,17.31,192500,08/09/18
BGS,"B&G Foods Holdings",31,0.35,+1.14%,31.1,30.45,363900,08/09/18
BHE,"Benchmark Electronics",25.55,-0.1,-0.39%,25.9,25.45,238200,08/09/18
BHLB,"Berkshire Hills Bancorp",41.25,-0.25,-0.60%,41.75,41.15,104400,08/09/18
BJRI,"Bj's Restaurants Inc",63.9,0.65,+1.03%,65.6,63.55,237900,08/09/18
BKE,"Buckle Inc",25.25,1.05,+4.34%,25.35,24.2,322100,08/09/18
BKS,"Barnes & Noble",6.05,0.1,+1.68%,6.1,5.9,548000,08/09/18
BLD,"Topbuild Corp",78.08,2.59,+3.43%,78.54,75.45,282600,08/09/18
BMI,"Badger Meter",52.05,-0.35,-0.67%,52.67,51.7,87400,08/09/18
BNED,"Barnes & Noble Education Inc C",6.16,0.24,+4.05%,6.17,5.91,214100,08/09/18
BOFI,"Bofi Holding Inc",37.11,-0.08,-0.20%,37.56,36.59,817800,08/09/18
BPFH,"Boston Pvt Finl Hldg",14.1,-0.15,-1.05%,14.4,14.05,455600,08/09/18
BRC,"Brady Corp",37.55,-0.3,-0.79%,38,37.53,99900,08/09/18
BRKL,"Brookline Bancorp",17.95,-0.05,-0.28%,18.05,17.85,167700,08/09/18
BRKS,"Brooks Automation",29.98,0.16,+0.54%,30.23,29.15,567600,08/09/18
BRS,"Bristow Group Inc",11.3,-0.51,-4.32%,11.85,11.3,458400,08/09/18
CACI,"Caci International",181.9,-0.05,-0.03%,183.45,181.15,102000,08/09/18
CAL,"Caleres Inc",35.09,0.21,+0.60%,35.63,34.87,246200,08/09/18
CALM,"Cal-Maine Foods In",46.9,0.25,+0.54%,47.35,46.55,320300,08/09/18
CAMP,"Calamp Corp",23.24,0.09,+0.39%,23.39,23.12,108100,08/09/18
CASH,"Meta Financial Grp",90.5,-2,-2.16%,92.75,90.3,64600,08/09/18
CATM,"Cardtronics Inc",30.36,-0.05,-0.16%,31.34,30.13,308100,08/09/18
CATO,"Cato Corp",23.55,-1.11,-4.50%,24.75,23.45,370800,08/09/18
CBB,"Cincinnati Bell Inc",12.1,2.15,+21.61%,12.55,10.25,1201800,08/09/18
CBL,"Cbl & Associates Properties",4.43,-0.03,-0.67%,4.49,4.33,3629800,08/09/18
CBM,"Cambrex Corp",63.4,0.5,+0.79%,63.65,62.47,245800,08/09/18
CBU,"Community Bank System",63.71,-0.23,-0.36%,64.14,63.27,74200,08/09/18
CCMP,"Cabot Microelectron",122.6,-0.46,-0.37%,123.61,122.29,107400,08/09/18
CCOI,"Cogent Comm Hldgs",50,0.2,+0.40%,50.85,49.78,169100,08/09/18
CCRN,"Cross Ctry Hlthcr",9.35,0.3,+3.31%,9.8,9.07,500500,08/09/18
CDR,"Cedar Shopping Centers Inc",4.5,-0.07,-1.53%,4.53,4.46,349500,08/09/18
CECO,"Career Education",16.94,-0.3,-1.74%,17.21,16.89,439800,08/09/18
CEIX,"Consol Energy Inc",43.71,-0.64,-1.44%,44.51,43.4,317300,08/09/18
CENT,"Central Garden",40.91,-0.55,-1.33%,42.02,40.84,1019000,08/09/18
CENTA,"Central Garden & Pet",36.57,-1.33,-3.51%,37.25,36.42,4545800,08/09/18
CENX,"Century Aluminum C",12.14,0.12,+1.00%,12.27,12.02,859000,08/09/18
CEVA,"Ceva Inc",29.7,1.15,+4.03%,29.85,27.7,228800,08/09/18
CHCO,"City Holding Co",80.37,-0.06,-0.07%,81.16,80.06,28000,08/09/18
CHCT,"Community Healthcare Trust Inc",31.69,-0.02,-0.06%,32.09,31.67,145300,08/09/18
CHS,"Chico's Fas",9.51,-0.02,-0.21%,9.74,9.42,1627800,08/09/18
CHSP,"Chesapeake Lodging Trust",31.42,0.03,+0.10%,31.54,31.24,109400,08/09/18
CHUY,"Chuy's Holdings Inc",30.95,0.35,+1.14%,31.48,30.6,212200,08/09/18
CIR,"Circor International",44.2,0.03,+0.07%,45.01,44.01,104300,08/09/18
CJ,"C&J Energy Services Inc",23.64,-0.21,-0.88%,23.89,23.38,479400,08/09/18
CKH,"Seacor Smit Inc",51.22,-0.21,-0.41%,51.8,50.83,78200,08/09/18
CLD,"Cloud Peak Energy Inc",2.61,0,unch,2.63,2.6,380100,08/09/18
CLDT,"Chatham Lodging Trust [Reit]",20.95,-0.13,-0.62%,21.08,20.8,260800,08/09/18
CLW,"Clearwater Paper Corp",25.1,-1.3,-4.92%,26.45,25.05,171200,08/09/18
CMO,"Capstead Mortgage Corp",8.15,-0.01,-0.12%,8.19,8.1,638400,08/09/18
CMTL,"Comtech Telecom Co",34.55,-0.12,-0.35%,34.94,34.51,79200,08/09/18
CNMD,"C O N M E D Cp",76.1,-0.91,-1.18%,77.36,75.85,126300,08/09/18
CNSL,"Consolidated Communications Holdings Inc",11.31,0.48,+4.43%,11.39,10.86,662700,08/09/18
COHU,"Cohu Inc",26.3,-0.22,-0.83%,26.87,26.1,139200,08/09/18
COKE,"Coca Cola Bot Cons",166.37,13.02,+8.49%,171.18,142.74,156400,08/09/18
COLB,"Columbia Banking Sys",41.88,-0.12,-0.29%,42.14,41.59,129200,08/09/18
CORE,"Core Mark Holding",31.08,2.02,+6.95%,31.7,29.19,617500,08/09/18
CORT,"Corcept Therapeutics",13.98,-0.1,-0.71%,14.3,13.85,1307300,08/09/18
CPF,"Central Pacific Financial Co",27.87,-0.13,-0.46%,28.05,27.7,81300,08/09/18
CPS,"Cooper Std Hldg Inc",136.54,-2.39,-1.72%,139.87,136.22,112600,08/09/18
CPSI,"Computer Programs",26.3,-0.6,-2.23%,26.85,26.05,158400,08/09/18
CRAY,"Cray Inc",21.5,-0.25,-1.15%,21.9,21.4,223500,08/09/18
CROX,"Crocs Inc",18.96,0.7,+3.83%,18.99,18.22,1140200,08/09/18
CRR,"Carbo Ceramics",8.58,-0.28,-3.16%,8.93,8.55,193400,08/09/18
CRVL,"Corvel Cp",55.75,-0.8,-1.41%,57.07,55.1,26400,08/09/18
CRY,Cryolife,33.15,1.15,+3.59%,33.25,32.25,216300,08/09/18
CRZO,"Carrizo Oil & Gas",24.46,0.04,+0.16%,24.82,23.98,2788100,08/09/18
CSGS,"C S G Sys Intl",37.68,-0.16,-0.42%,38.31,37.62,109900,08/09/18
CTB,"Cooper Tire & Rubber Company",30.35,0.9,+3.06%,30.45,29.2,720200,08/09/18
CTRE,"Caretrust REIT Inc",17.66,0.02,+0.11%,17.81,17.64,469300,08/09/18
CTRL,"Control4 Corp",31.43,-0.33,-1.04%,32,30.7,536700,08/09/18
CTS,"Cts Corp",35.45,-0.3,-0.84%,35.85,35.4,70500,08/09/18
CUB,"Cubic Corp",71.15,-0.8,-1.11%,73.32,70.9,174200,08/09/18
CUBI,"Customers Bancorp",25.2,-1.32,-4.98%,26.61,25.15,448600,08/09/18
CUTR,"Cutera Inc",34.58,0.55,+1.62%,35.1,32.8,272400,08/09/18
CVBF,"Cvb Financial Corp",24.11,-0.07,-0.29%,24.3,24,144800,08/09/18
CVCO,"Cavco Inds Inc",228.2,4.75,+2.13%,230.7,223.8,41900,08/09/18
CVGW,"Calavo Growers Inc",96.45,1.75,+1.85%,97.07,94.45,85700,08/09/18
CWT,"California Water Service Group Holding",40.7,0.1,+0.25%,40.85,40.45,116600,08/09/18
CYH,"Community Health Systems",3.05,0.03,+0.99%,3.14,2.98,1155800,08/09/18
CYTK,Cytokinetics,6.95,-0.2,-2.80%,7.2,6.85,155100,08/09/18
DAKT,"Daktronics Inc",8.61,0.02,+0.23%,8.64,8.5,141900,08/09/18
DAR,"Darling International Inc",19.81,-0.69,-3.37%,19.96,18.6,2615900,08/09/18
DBD,"Diebold Nixdorf Inc",4.75,-0.65,-12.04%,5.47,4.7,5820500,08/09/18
DCOM,"Dime Community Bncsh",17.85,0.15,+0.85%,17.9,17.65,327400,08/09/18
DDD,"3D Systems Corp",18.16,0.2,+1.11%,18.7,17.23,8481200,08/09/18
DEA,"Easterly Government Properties",19.91,0.15,+0.76%,19.97,19.7,510000,08/09/18
DEPO,"Depomed Inc",7.55,-0.21,-2.70%,7.86,7.09,2869200,08/09/18
DF,"Dean Foods Company",8.54,0.04,+0.47%,8.55,8.3,1813400,08/09/18
DFIN,"Donnelly Financial Solutions Inc",18.4,-0.11,-0.59%,18.64,18.17,127600,08/09/18
DGII,"Digi Intl Inc",13.1,-0.1,-0.76%,13.29,13.05,77400,08/09/18
DIN,"Dineequity Inc",74.43,2.18,+3.02%,75.74,72.2,277000,08/09/18
DIOD,"Diodes Inc",37.95,-0.33,-0.86%,38.44,37.83,339100,08/09/18
DNR,"Denbury Resources",4.27,0.01,+0.23%,4.33,4.23,10425500,08/09/18
DORM,"Dorman Products Inc",75.97,1.22,+1.63%,76.26,74.46,79700,08/09/18
DPLO,"Diplomat Pharmacy Inc",19.14,0.17,+0.90%,19.96,18.74,4154700,08/09/18
DRH,"Diamondrock Hospitality Company",11.52,-0.1,-0.86%,11.63,11.5,1626400,08/09/18
DSPG,"D S P Group Inc",12.35,0.05,+0.41%,12.4,12.1,47100,08/09/18
DSW,"DSW Inc",27.6,0.22,+0.80%,28,27.34,758800,08/09/18
DXPE,"Dxp Enterprise",47.67,-1.01,-2.07%,49.4,47.57,165800,08/09/18
EBIX,"Ebix Inc",79.3,-0.4,-0.50%,80.3,75.95,296300,08/09/18
EBS,"Emergent Biosolutions",56.46,2.27,+4.19%,57.13,55.63,274900,08/09/18
ECHO,"Echo Global Logistic",32.6,-0.3,-0.91%,33.55,32.55,462000,08/09/18
ECOL,"US Ecology Inc",69.3,0.7,+1.02%,69.55,68.55,34900,08/09/18
ECPG,"Encore Capital Grp",40,4.45,+12.52%,40.3,38.1,1848800,08/09/18
EE,"El Paso Electric Company",63.75,0.9,+1.43%,63.75,62.78,166300,08/09/18
EFII,"Elec Imaging Inc",34.34,0.06,+0.18%,34.69,34.19,514600,08/09/18
EGHT,"8X8 Inc",22.25,0.3,+1.37%,22.45,21.95,480200,08/09/18
EGL,"Engility Holdings Inc",33.61,-0.1,-0.30%,34.16,33.52,121300,08/09/18
EGOV,"Nic Inc",16.6,0.3,+1.84%,16.85,16.3,269700,08/09/18
EGP,"Eastgroup Properties",96.67,0.38,+0.39%,97.01,96.32,111500,08/09/18
EGRX,"Eagle Pharmaceutical",78.49,-0.05,-0.06%,80.19,77.42,283800,08/09/18
EHTH,"Ehealth Inc",24.69,-0.15,-0.60%,25.11,24.59,55100,08/09/18
EIG,"Employers Holdings Inc",43.6,-0.15,-0.34%,44.15,43.35,146400,08/09/18
ELY,"Callaway Golf Company",22.26,0.35,+1.60%,22.3,21.91,950100,08/09/18
ENDP,"Endo Int'l Plc",15.83,-0.4,-2.46%,16.56,15.3,9111801,08/09/18
ENSG,"The Ensign Group In",35.89,-0.11,-0.31%,36.62,35.83,171600,08/09/18
ENTA,"Enanta Pharmaceutica",92.26,-1.58,-1.68%,95.98,91.4,369100,08/09/18
ENVA,"Enova International Inc",33.9,0.1,+0.30%,34.38,33.75,262000,08/09/18
EPAY,"Bottomline Tech In",56.44,-0.34,-0.60%,57.67,56.23,410200,08/09/18
ERA,"Era Group Inc",12.67,-0.26,-2.01%,12.94,12.64,27000,08/09/18
ESE,"Esco Technologies Inc",66.1,0.45,+0.69%,67.35,65.5,122800,08/09/18
ESIO,"Electro Sci Inds",22.35,-1,-4.28%,23.3,22.25,1000000,08/09/18
ESND,"Essendant Inc",15.89,0.02,+0.13%,16.12,15.77,261700,08/09/18
ETH,"Ethan Allen Interiors Inc",22.2,-0.25,-1.11%,22.6,22.1,244000,08/09/18
EVTC,"Evertec Inc",24.3,-0.15,-0.61%,25.1,24.25,517700,08/09/18
EXLS,"Exlservice Holdings",58.67,0.04,+0.07%,58.97,58.38,55300,08/09/18
EXPO,"Exponent Inc",50.05,-0.3,-0.60%,50.55,49.95,87600,08/09/18
EXPR,"Express Inc",10.37,0.22,+2.17%,10.44,10.07,863000,08/09/18
EXTN,"Exterran Corp",27.78,1.12,+4.20%,27.78,26.73,130900,08/09/18
EXTR,"Extreme Networks",6.24,0.15,+2.46%,6.34,5.92,3902000,08/09/18
EZPW,"Ezcorp Inc",11.85,0.15,+1.28%,11.9,11.45,1115700,08/09/18
FARO,"Faro Tech Inc",67.2,-0.25,-0.37%,68,67.1,72500,08/09/18
FBP,"First Bancorp",8.44,0.09,+1.08%,8.51,8.35,1772000,08/09/18
FCF,"First Commonwealth Financial Corp",16.76,-0.07,-0.42%,16.87,16.69,301100,08/09/18
FCFS,"First Cash Fin Svcs",80.75,-0.1,-0.12%,81.38,80.6,113900,08/09/18
FCN,"Fti Consulting",81.28,-0.22,-0.27%,81.91,81.01,180600,08/09/18
FCPT,"Four Corners Property Trust In",26.17,0.11,+0.42%,26.38,26.08,289600,08/09/18
FELE,"Franklin Electric Co",48.9,0.1,+0.20%,49.25,48.55,57600,08/09/18
FF,"Futurefuel Corp",13.4,-0.47,-3.39%,13.88,13.12,72700,08/09/18
