Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
UFPI,"Universal Forest Prd",36.91,0.34,+0.93%,37.08,36.58,215000,08/16/18
UHT,"Universal Health Realty Income Trust",72.58,0.6,+0.83%,72.62,71.07,26300,08/16/18
UIHC,"United Insurance Hld",21.18,0.11,+0.52%,21.44,21,62300,08/16/18
UNF,"Unifirst Corp",184.65,2.4,+1.32%,185.35,182.9,54500,08/16/18
UNT,"Unit Corp",26.06,0.7,+2.76%,26.26,25.52,226300,08/16/18
USCR,"U S Concrete Inc",51.5,0.2,+0.39%,51.85,51.13,250000,08/16/18
USPH,"U.S. Physical Therapy",113.5,0,unch,115.05,113.2,63800,08/16/18
UVE,"Universal Insurance Holdings Inc",45.15,-0.15,-0.33%,45.45,45.05,187000,08/16/18
UVV,"Universal Corp",58.85,-0.5,-0.84%,59.7,58.35,170600,08/16/18
VAC,"Marriot Vacations Worldwide Cor",119.91,2.63,+2.24%,120.23,117,192800,08/16/18
VECO,"Veeco Instrument",11.1,0.5,+4.72%,11.15,10.7,869700,08/16/18
VG,"Vonage Holdings",14.23,0.11,+0.78%,14.46,14.08,1228600,08/16/18
VIAV,"Viavi Solutions",10.99,0.53,+5.07%,11.12,10.49,3382400,08/16/18
VICR,"Vicor Cp",60.65,0.3,+0.50%,61.6,59.35,282700,08/16/18
VIVO,"Meridian Bioscience",14.95,0.1,+0.67%,15,14.82,85300,08/16/18
VRA,"Vera Bradley",13.94,-0.21,-1.48%,14.16,13.89,168900,08/16/18
VREX,"Varex Imaging Corp",29.22,-0.01,-0.03%,29.8,29.02,243600,08/16/18
VRTS,"Virtus Inv Prts",130.9,1.35,+1.04%,132.55,129.8,31500,08/16/18
VRTU,"Virtusa Corp",51.81,-0.17,-0.33%,52.31,51.66,90000,08/16/18
VRTV,"Veritiv Corp",47.85,-1,-2.05%,49.25,47.4,116900,08/16/18
VSI,"Vitamin Shoppe Inc",12.45,-0.5,-3.86%,13.5,12.15,1294000,08/16/18
VSTO,"Vista Outdoor Inc",18.53,0.05,+0.27%,18.63,18.43,1058200,08/16/18
VVI,"Viad Corp",60.55,0.4,+0.67%,61.3,60.3,40500,08/16/18
WABC,"Westamerica Bancorp",62.95,0.8,+1.29%,63.38,62.45,133900,08/16/18
WAGE,"Wageworks Inc",52.05,0.3,+0.58%,52.65,51.55,207200,08/16/18
WD,"Walker & Dunlop",53.95,0.06,+0.11%,54.34,53.43,278400,08/16/18
WDFC,"W D 40 Co",168.75,2.65,+1.60%,169.55,166.57,38000,08/16/18
WDR,"Waddell & Reed Financial",20.58,0.48,+2.39%,20.7,20.05,521600,08/16/18
WETF,"Wisdomtree Invstmnts",8.19,0.1,+1.24%,8.37,8.11,710400,08/16/18
WGO,"Winnebago Industries",38.9,0.9,+2.37%,39.05,38.25,302400,08/16/18
WING,"Wingstop Inc",63.73,2.12,+3.44%,64.18,61.79,719400,08/16/18
WIRE,"Encore Wire Cp",49.55,0.7,+1.43%,49.7,48.9,69700,08/16/18
WLH,"William Lyon Homes",20.82,-0.39,-1.84%,21.68,20.78,425800,08/16/18
WNC,"Wabash National Corp",18.56,0.49,+2.71%,18.57,18.23,713600,08/16/18
WPG,"Washington Prime Group Inc",7.63,-0.04,-0.52%,7.7,7.55,3578300,08/16/18
WRLD,"World Acceptance Cp",115.16,0.3,+0.26%,117.37,114.05,117800,08/16/18
WSR,"Whitestone REIT",13.26,0.06,+0.45%,13.35,13.14,234300,08/16/18
WTS,"Watts Water Technologies",82.4,0.5,+0.61%,83.15,82.15,117500,08/16/18
WWE,"World Wrestling Entertainment",79.01,1.19,+1.53%,79.4,77.7,584800,08/16/18
WWW,"Wolverine World Wide",37.76,-0.15,-0.40%,38.28,37.73,394700,08/16/18
XOXO,"Xoxo Group Inc",29.57,-0.07,-0.24%,30.19,29.5,163300,08/16/18
XPER,"Xperi Corp",16.45,0.05,+0.30%,16.65,16.2,422000,08/16/18
ZEUS,"Olympic Steel Inc",21,0.66,+3.24%,21.73,20.45,103400,08/16/18
ZUMZ,"Zumiez Inc",28.7,0.3,+1.06%,29.05,28,350800,08/16/18
"Downloaded from Barchart.com as of 08-16-2018 07:44pm CDT"
