Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",40.92,-35.56,+8.20%,-11.08%,+16.48%,-42.53%
AAON,"Aaon Inc",38.85,+20.31,+5.86%,+10.06%,+27.38%,+11.32%
AAT,"American Assets Trust",38.62,+1.59,+0.99%,-0.82%,+10.50%,-3.26%
AAWW,"Atlas Air Ww",61.8,-0.58,+5.37%,-13.51%,-9.18%,-3.44%
AAXN,"Axon Inc",59.78,+119.42,+125.58%,-9.37%,+33.89%,+136.19%
ABCB,"Ameris Bancorp",49.4,+6.52,+2.49%,-7.32%,-10.51%,+8.21%
ABG,"Asbury Automotive Group Inc",75.45,+40.40,+17.89%,+7.10%,+8.33%,+42.49%
ABM,"ABM Industries Incorporated",31.38,-25.78,-16.81%,+4.36%,+3.16%,-29.50%
ACET,"Aceto Cp",3.2,-47.10,-69.02%,-11.60%,+18.96%,-80.20%
ACLS,"Axcelis Tech Inc",22.35,+0.11,-22.13%,+6.18%,+1.13%,+7.97%
ACOR,"Acorda Therapeutics",26.6,+46.15,+24.01%,-12.93%,+13.92%,+25.47%
ADC,"Agree Realty Corp",53.76,+12.52,+4.51%,-0.90%,+6.96%,+8.41%
ADTN,"Adtran Inc",15.95,-24.19,-17.57%,+2.90%,+4.25%,-29.27%
AEGN,"Aegion Corp",25.1,+17.36,-1.30%,-5.21%,+2.45%,+20.85%
AEIS,"Advanced Energy",62.34,-14.17,-7.62%,+1.93%,-3.08%,-11.85%
AEL,"American Equity Investment Life",36.82,+31.16,+19.82%,+2.76%,+25.79%,+32.45%
AGYS,"Agilysys Inc",15.47,+51.32,+25.98%,-4.92%,+26.60%,+51.52%
AHH,"Armada Hoffler Properties Inc",15.58,+20.08,+0.32%,+0.32%,+11.44%,+16.79%
AIN,"Albany International Corp",76.45,+54.33,+24.41%,+23.81%,+25.74%,+45.62%
AIR,"AAR Corp",46.99,+30.30,+19.60%,-0.44%,+1.16%,+29.16%
AIT,"Applied Industrial Technologies",74.5,+29.57,+9.40%,+4.05%,+8.60%,+33.04%
AJRD,"Aerojet Rocketdyne Holdings",34.47,+28.97,+10.48%,+16.06%,+25.76%,+27.81%
AKR,"Acadia Realty Trust",26.82,-3.67,-1.97%,-3.11%,+11.52%,-9.70%
AKS,"AK Steel Holding Corp",4.48,-9.62,-20.85%,-2.40%,+0.90%,-17.34%
ALG,"Alamo Group",96.28,-1.69,-14.70%,+5.65%,+1.79%,+2.22%
ALGT,"Allegiant Travel Com",128.95,-5.42,-16.67%,-10.48%,-20.60%,-0.85%
ALRM,Alarm.Com,48.24,+24.41,+27.79%,+14.07%,+21.51%,+22.10%
AMAG,"Amag Pharmaceuticals",25.2,+35.11,+90.19%,+24.44%,+15.60%,+35.85%
AMBC,"Ambac Financial Grp",20.93,+22.28,+30.98%,+5.44%,+23.34%,+5.97%
AMED,"Amedisys Inc",110.21,+153.03,+109.09%,+22.12%,+55.20%,+122.65%
AMN,"Amn Healthcare Services Inc",55.5,+40.64,+12.69%,-10.05%,+6.53%,+46.05%
AMPH,"Amphastar Pharma",17.97,+15.14,-6.60%,+9.91%,-6.45%,+14.90%
AMSF,"Amerisafe Inc",62.25,+10.37,+1.06%,+8.26%,+6.50%,+9.69%
AMWD,"Amer Woodmark Cp",84.95,-24.51,-34.78%,-8.95%,-0.59%,-11.19%
ANDE,"Andersons Inc",40.1,+30.15,+28.73%,+12.64%,+28.01%,+23.01%
ANF,"Abercrombie & Fitch Company",25.91,+111.81,+48.65%,-0.35%,-0.31%,+153.03%
ANGO,"Angiodynamics Inc",21.23,+30.73,+27.66%,-10.23%,+9.77%,+28.98%
ANIK,"Anika Therapeutics",41.25,-7.93,-23.48%,+22.08%,+12.21%,-21.02%
ANIP,"ANI Pharma Inc",57.06,+12.57,-11.47%,-19.63%,-6.63%,+31.29%
APEI,"American Pub. Edu.",43.45,+92.72,+73.45%,-2.91%,+11.27%,+100.69%
APOG,"Apogee Entrpr Inc",49.84,+4.39,+8.99%,-0.30%,+15.66%,-4.36%
ARCB,"Arcbest Corp",47.8,+50.00,+33.71%,+4.48%,+35.03%,+83.14%
ARI,"Apollo Commercial Real Estate",18.69,+3.85,+1.30%,-1.06%,+3.15%,+3.43%
AROC,"Archrock Inc",13.2,+46.17,+25.71%,+4.76%,+22.79%,+32.00%
