Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",41.68,-0.6,-1.42%,43.18,41.15,972900,08/14/18
AAON,"Aaon Inc",39.75,0.75,+1.92%,39.95,39,68700,08/14/18
AAT,"American Assets Trust",38.61,0.3,+0.78%,38.75,38.32,116400,08/14/18
AAWW,"Atlas Air Ww",59.9,-0.3,-0.50%,60.9,59.7,135300,08/14/18
AAXN,"Axon Inc",62.31,1.33,+2.18%,62.59,60.83,499900,08/14/18
ABCB,"Ameris Bancorp",49.25,0.7,+1.44%,49.45,48.35,172200,08/14/18
ABG,"Asbury Automotive Group Inc",75,0.45,+0.60%,75.85,74.55,224200,08/14/18
ABM,"ABM Industries Incorporated",31.19,0.44,+1.43%,31.4,30.71,570500,08/14/18
ACET,"Aceto Cp",3.22,0.04,+1.26%,3.28,3.15,164400,08/14/18
ACLS,"Axcelis Tech Inc",21.1,0.1,+0.48%,21.45,20.9,197600,08/14/18
ACOR,"Acorda Therapeutics",28.45,0.7,+2.52%,29.1,27.95,344300,08/14/18
ADC,"Agree Realty Corp",54.43,0.81,+1.51%,54.58,53.65,104200,08/14/18
ADTN,"Adtran Inc",16.2,0.1,+0.62%,16.25,16,153000,08/14/18
AEGN,"Aegion Corp",24.89,0.47,+1.92%,24.91,24.5,96500,08/14/18
AEIS,"Advanced Energy",60.04,0.47,+0.79%,60.71,59.86,429200,08/14/18
AEL,"American Equity Investment Life",36.39,0.45,+1.25%,36.56,35.98,184600,08/14/18
AGYS,"Agilysys Inc",15.95,0.11,+0.69%,16.08,15.75,87100,08/14/18
AHH,"Armada Hoffler Properties Inc",15.59,0.09,+0.58%,15.67,15.46,163300,08/14/18
AIN,"Albany International Corp",76.6,1.15,+1.52%,76.75,75.7,207100,08/14/18
AIR,"AAR Corp",46.26,0.3,+0.65%,46.62,45.85,160300,08/14/18
AIT,"Applied Industrial Technologies",76.9,3.15,+4.27%,76.9,73.9,412700,08/14/18
AJRD,"Aerojet Rocketdyne Holdings",37.29,0.61,+1.66%,37.7,36.82,1028100,08/14/18
AKR,"Acadia Realty Trust",27.13,0.51,+1.92%,27.18,26.64,297000,08/14/18
AKS,"AK Steel Holding Corp",4.18,-0.08,-1.88%,4.32,4.17,15111000,08/14/18
ALG,"Alamo Group",97.36,1.67,+1.75%,103.65,94.9,155000,08/14/18
ALGT,"Allegiant Travel Com",134.8,2.55,+1.93%,136.1,131.7,148300,08/14/18
ALRM,Alarm.Com,50.64,-0.06,-0.12%,51.71,50.36,364500,08/14/18
AMAG,"Amag Pharmaceuticals",24.9,-0.45,-1.78%,25.83,24.65,360100,08/14/18
AMBC,"Ambac Financial Grp",21.89,0.07,+0.32%,21.91,21.72,268400,08/14/18
AMED,"Amedisys Inc",116.73,2.83,+2.48%,117.3,114.28,324700,08/14/18
AMN,"Amn Healthcare Services Inc",56.7,1.35,+2.44%,57.1,55.7,221800,08/14/18
AMPH,"Amphastar Pharma",17.68,0.05,+0.28%,17.92,17.51,105500,08/14/18
AMSF,"Amerisafe Inc",63.5,0.4,+0.63%,64.22,62.25,61600,08/14/18
AMWD,"Amer Woodmark Cp",83.4,1.8,+2.21%,84.1,81.25,173100,08/14/18
ANDE,"Andersons Inc",39.5,-0.25,-0.63%,40.7,39.45,224900,08/14/18
ANF,"Abercrombie & Fitch Company",29.26,2.54,+9.51%,29.69,26.95,4725700,08/14/18
ANGO,"Angiodynamics Inc",21.45,0.1,+0.47%,21.55,21.26,144200,08/14/18
ANIK,"Anika Therapeutics",42.51,1.02,+2.46%,42.68,41.47,83700,08/14/18
ANIP,"ANI Pharma Inc",57.15,-0.08,-0.14%,57.82,56.8,68900,08/14/18
APEI,"American Pub. Edu.",34.95,0.85,+2.49%,35,33.85,174900,08/14/18
APOG,"Apogee Entrpr Inc",49.76,0.58,+1.18%,49.88,49.19,128900,08/14/18
ARCB,"Arcbest Corp",46.3,0.4,+0.87%,46.9,46,190400,08/14/18
ARI,"Apollo Commercial Real Estate",18.95,0.19,+1.01%,18.95,18.77,1438200,08/14/18
AROC,"Archrock Inc",12.6,-0.15,-1.18%,12.9,12.5,707900,08/14/18
ARR,"Armour Residential R",23.39,-0.14,-0.59%,23.51,23.34,350700,08/14/18
ASGN,"On Assignment",90.16,0.79,+0.88%,90.53,89.14,148500,08/14/18
ASIX,"Advansix Inc",34.2,0.29,+0.86%,34.35,33.79,152900,08/14/18
ASNA,"Ascena Retail Grp",4.85,0.44,+9.98%,4.9,4.39,2659900,08/14/18
ASTE,"Astec Inds Inc",46.27,0.19,+0.41%,46.62,46.07,155000,08/14/18
ATNI,"Atn International",73.23,1.22,+1.69%,73.43,70.88,74200,08/14/18
ATU,"Actuant Corp",28.7,0.5,+1.77%,28.85,28.3,242700,08/14/18
AVA,"Avista Corp",51.01,0.33,+0.65%,51.2,50.88,884500,08/14/18
AVAV,"Aerovironment Inc",82.47,1.91,+2.37%,82.9,80.82,211000,08/14/18
AVD,"American Vanguard Corp",19.8,0.3,+1.54%,19.85,19.5,38400,08/14/18
AVP,"Avon Products",1.72,0.03,+1.78%,1.78,1.66,6249000,08/14/18
AWR,"American States Water Company",59.65,0.31,+0.52%,59.66,58.73,138200,08/14/18
AXE,"Anixter International Inc",71.9,2,+2.86%,72.5,70,158000,08/14/18
AXL,"American Axle & Manufacturing",16.63,0.39,+2.40%,16.75,16.27,1504100,08/14/18
AZZ,"Azz Inc",54.05,0.5,+0.93%,54.55,53.4,90700,08/14/18
B,"Barnes Group",65.97,0.04,+0.06%,66.63,65.53,138800,08/14/18
BABY,"Natus Medical Inc",37.25,1.9,+5.37%,37.9,35.4,429900,08/14/18
BANC,"First Pactrust Bancorp",20,0.3,+1.52%,20.02,19.7,255700,08/14/18
BANR,"Banner Corp",66.14,1.52,+2.35%,66.21,64.63,121500,08/14/18
BCC,"Boise Cascade L.L.C.",44.4,1.05,+2.42%,45,43.55,399900,08/14/18
BCOR,"Blucora Inc",34.6,-0.1,-0.29%,34.95,34.5,247400,08/14/18
BCPC,"Balchem Cp",100.15,0.8,+0.81%,100.57,99.38,91800,08/14/18
BEAT,"Biotelemetry Inc",54.9,-0.3,-0.54%,55.35,54.8,329000,08/14/18
BEL,"Belmond Ltd",15.95,0.25,+1.59%,16,15.65,982900,08/14/18
BELFB,"Bel Fuse Inc Cl B",25.6,1.05,+4.28%,25.75,24.55,10500,08/14/18
BFS,"Saul Centers",56.8,1.42,+2.56%,57.51,55.43,22100,08/14/18
BGFV,"Big 5 Sporting",5.95,0,unch,6.03,5.95,161900,08/14/18
BGG,"Briggs & Stratton Corp",18.54,1.34,+7.79%,18.55,17.39,856900,08/14/18
BGS,"B&G Foods Holdings",31,0.05,+0.16%,31.45,30.8,377500,08/14/18
BHE,"Benchmark Electronics",25.65,0.2,+0.79%,25.75,25.45,332000,08/14/18
BHLB,"Berkshire Hills Bancorp",41.7,1,+2.46%,41.85,40.75,211600,08/14/18
BJRI,"Bj's Restaurants Inc",64.1,1.05,+1.67%,64.65,63,217600,08/14/18
BKE,"Buckle Inc",27.95,1.6,+6.07%,28.05,26.6,441600,08/14/18
BKS,"Barnes & Noble",6.3,0.15,+2.44%,6.3,6.15,708300,08/14/18
BLD,"Topbuild Corp",73.85,1.25,+1.72%,74,71.65,652800,08/14/18
BMI,"Badger Meter",52.55,-0.1,-0.19%,52.95,52.38,131900,08/14/18
BNED,"Barnes & Noble Education Inc C",6.28,0.12,+1.95%,6.35,6.17,112900,08/14/18
BOFI,"Bofi Holding Inc",38.11,1.24,+3.36%,38.16,36.95,404400,08/14/18
BPFH,"Boston Pvt Finl Hldg",14,0.15,+1.08%,14.15,13.85,528400,08/14/18
BRC,"Brady Corp",37.45,0.05,+0.13%,37.9,37.35,200200,08/14/18
BRKL,"Brookline Bancorp",18,0.3,+1.69%,18.2,17.75,460900,08/14/18
BRKS,"Brooks Automation",29.55,-0.11,-0.37%,30.49,29.33,446300,08/14/18
BRS,"Bristow Group Inc",10.94,-0.38,-3.36%,11.65,10.49,626000,08/14/18
CACI,"Caci International",181.25,1.15,+0.64%,183.85,180.9,260600,08/14/18
CAL,"Caleres Inc",37.07,1.78,+5.04%,37.1,35.26,435400,08/14/18
CALM,"Cal-Maine Foods In",49.67,1.58,+3.27%,49.95,48.35,408700,08/14/18
CAMP,"Calamp Corp",23.59,0.31,+1.33%,23.65,23.07,186500,08/14/18
CASH,"Meta Financial Grp",89.6,1.05,+1.19%,90.95,88.65,102000,08/14/18
CATM,"Cardtronics Inc",31.84,1.67,+5.54%,31.86,30.18,417400,08/14/18
CATO,"Cato Corp",24.82,0.45,+1.85%,25.06,24.31,357000,08/14/18
CBB,"Cincinnati Bell Inc",12.6,0.55,+4.56%,12.65,11.85,291200,08/14/18
CBL,"Cbl & Associates Properties",4.5,0.22,+5.14%,4.55,4.27,2982600,08/14/18
CBM,"Cambrex Corp",60.7,0.35,+0.58%,61.05,60.15,228100,08/14/18
CBU,"Community Bank System",64.89,1.39,+2.19%,65.03,63.66,141500,08/14/18
CCMP,"Cabot Microelectron",121.41,0.32,+0.26%,122.28,120.99,52500,08/14/18
CCOI,"Cogent Comm Hldgs",52.25,1.2,+2.35%,52.6,51.2,154700,08/14/18
CCRN,"Cross Ctry Hlthcr",9.51,0.3,+3.26%,9.56,9.2,218700,08/14/18
CDR,"Cedar Shopping Centers Inc",4.48,0.05,+1.13%,4.5,4.42,301400,08/14/18
CECO,"Career Education",16.71,-0.02,-0.12%,16.88,16.61,245400,08/14/18
CEIX,"Consol Energy Inc",43.43,0.36,+0.84%,44.25,42.67,173700,08/14/18
CENT,"Central Garden",39.2,-1.24,-3.07%,40.7,39.16,356900,08/14/18
CENTA,"Central Garden & Pet",36.27,-0.62,-1.68%,37.05,36.25,389300,08/14/18
CENX,"Century Aluminum C",12.46,0.4,+3.32%,12.62,12.07,2056600,08/14/18
CEVA,"Ceva Inc",29.6,0.3,+1.02%,30.05,29.2,127900,08/14/18
CHCO,"City Holding Co",81.49,1.18,+1.47%,81.76,80.3,50500,08/14/18
CHCT,"Community Healthcare Trust Inc",32.28,0.33,+1.03%,32.81,31.9,253800,08/14/18
CHS,"Chico's Fas",10.29,0.43,+4.36%,10.44,9.85,2997900,08/14/18
CHSP,"Chesapeake Lodging Trust",31.77,0.65,+2.09%,31.78,31.16,150700,08/14/18
CHUY,"Chuy's Holdings Inc",27.2,-0.1,-0.37%,27.75,26.9,202100,08/14/18
CIR,"Circor International",44.52,0.7,+1.60%,44.86,43.62,88900,08/14/18
CJ,"C&J Energy Services Inc",23.99,0.38,+1.61%,24.26,23.67,653400,08/14/18
CKH,"Seacor Smit Inc",51.71,1.43,+2.84%,51.86,50.51,108400,08/14/18
