Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",41.36,-28.20,+9.36%,+7.62%,-11.57%,-32.47%
AAON,"Aaon Inc",40.4,+26.80,+10.08%,+7.02%,+32.46%,+26.65%
AAT,"American Assets Trust",39.5,+3.00,+3.29%,+2.78%,+8.67%,-2.11%
AAWW,"Atlas Air Ww",60.9,-9.60,+3.84%,-9.17%,-10.64%,-5.58%
AAXN,"Axon Inc",68.26,+160.90,+157.58%,+0.49%,+7.19%,+211.97%
ABCB,"Ameris Bancorp",49.65,+4.70,+3.01%,+6.55%,-10.86%,+12.20%
ABG,"Asbury Automotive Group Inc",74.5,+32.50,+16.41%,+5.97%,+7.12%,+46.08%
ABM,"ABM Industries Incorporated",31.72,-25.30,-15.91%,+1.67%,+11.45%,-28.04%
ACET,"Aceto Cp",3.32,-31.00,-67.86%,+1.53%,+25.76%,-69.03%
ACLS,"Axcelis Tech Inc",20.2,-16.00,-29.62%,-8.18%,-4.94%,-0.49%
ACOR,"Acorda Therapeutics",28.8,+58.70,+34.27%,+15.43%,+9.71%,+12.06%
ADC,"Agree Realty Corp",57.07,+18.60,+10.94%,+7.19%,+7.80%,+16.59%
ADTN,"Adtran Inc",17.2,-16.10,-11.11%,+5.85%,+23.30%,-21.82%
AEGN,"Aegion Corp",24.96,+11.70,-1.85%,+0.73%,-2.88%,+18.07%
AEIS,"Advanced Energy",59.58,-21.00,-11.71%,-2.71%,-9.08%,-16.21%
AEL,"American Equity Investment Life",37.09,+29.20,+20.70%,+3.81%,+4.66%,+31.57%
AGYS,"Agilysys Inc",16.07,+54.10,+30.86%,-2.31%,+13.01%,+58.17%
AHH,"Armada Hoffler Properties Inc",15.59,+16.20,+0.39%,+3.25%,+8.26%,+17.93%
AIN,"Albany International Corp",77.15,+46.80,+25.55%,+16.63%,+25.45%,+48.22%
AIR,"AAR Corp",46.67,+25.90,+18.78%,-1.56%,+4.43%,+31.99%
AIT,"Applied Industrial Technologies",77.05,+30.70,+13.14%,+3.22%,+10.47%,+38.08%
AJRD,"Aerojet Rocketdyne Holdings",35.11,+21.60,+12.53%,+4.18%,+21.32%,+26.71%
