Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",37.91,-0.32,-0.84%,38.31,37.24,439200,07/30/18
AAON,"Aaon Inc",36.65,0,unch,37.1,36.45,211000,07/30/18
AAT,"American Assets Trust",37.49,0.72,+1.96%,37.53,36.57,295600,07/30/18
AAWW,"Atlas Air Ww",65.6,-1.65,-2.45%,68.5,65.55,466500,07/30/18
AAXN,"Axon Inc",66.42,-2.34,-3.40%,69.34,65.49,844700,07/30/18
ABAX,"Abaxis Inc",83.09,0.04,+0.05%,83.18,83.04,350900,07/30/18
ABCB,"Ameris Bancorp",48.45,-1.13,-2.27%,49.8,48.4,1019700,07/30/18
ABG,"Asbury Automotive Group Inc",70.6,2.45,+3.60%,70.65,68.15,195100,07/30/18
ABM,"ABM Industries Incorporated",30.86,0.04,+0.13%,31.08,30.78,477700,07/30/18
ACET,"Aceto Cp",3.17,0.02,+0.63%,3.29,3.14,146300,07/30/18
ACLS,"Axcelis Tech Inc",21.4,-0.85,-3.82%,22.25,21.3,300300,07/30/18
ACOR,"Acorda Therapeutics",24.35,0.4,+1.67%,25,23.85,411100,07/30/18
ADC,"Agree Realty Corp",52.53,0.32,+0.61%,52.77,51.93,148700,07/30/18
ADTN,"Adtran Inc",16.25,-0.05,-0.31%,16.5,16.2,211500,07/30/18
AEGN,"Aegion Corp",24.15,-0.36,-1.47%,25.09,24.14,69200,07/30/18
AEIS,"Advanced Energy",60.28,0.28,+0.47%,61.13,59.97,875400,07/30/18
AEL,"American Equity Investment Life",35.96,0.15,+0.42%,36.29,35.79,444800,07/30/18
AGYS,"Agilysys Inc",16.15,0.02,+0.12%,16.4,15.76,95600,07/30/18
AHH,"Armada Hoffler Properties Inc",15.01,0.2,+1.35%,15.08,14.47,293000,07/30/18
AIN,"Albany International Corp",64.55,-1.55,-2.34%,66.6,64.4,86400,07/30/18
AIR,"AAR Corp",46.54,-0.91,-1.92%,47.68,46.44,196900,07/30/18
