Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",41.83,-30.10,+10.60%,+0.12%,+25.77%,-31.45%
AAON,"Aaon Inc",42.9,+41.00,+16.89%,+16.73%,+37.94%,+33.02%
AAT,"American Assets Trust",39.41,+2.60,+3.06%,+4.90%,+12.86%,-1.30%
AAWW,"Atlas Air Ww",60.8,-5.80,+3.67%,-11.88%,-11.24%,-4.55%
AAXN,"Axon Inc",64.35,+144.40,+142.83%,-12.84%,+4.26%,+195.59%
ABCB,"Ameris Bancorp",49.9,+6.00,+3.53%,-3.76%,-11.68%,+14.06%
ABG,"Asbury Automotive Group Inc",76.95,+45.30,+20.23%,+10.96%,+11.60%,+50.15%
ABM,"ABM Industries Incorporated",32.98,-20.70,-12.57%,+10.15%,+10.49%,-24.65%
ACET,"Aceto Cp",3.27,-35.60,-68.34%,+1.24%,+12.76%,-79.61%
ACLS,"Axcelis Tech Inc",19.7,-14.40,-31.36%,-8.37%,-10.25%,-4.37%
ACOR,"Acorda Therapeutics",29.15,+46.80,+35.90%,+1.39%,+25.92%,+27.29%
ADC,"Agree Realty Corp",56.23,+17.80,+9.31%,+5.12%,+11.70%,+13.83%
ADTN,"Adtran Inc",16.95,-18.00,-12.40%,+2.73%,+12.25%,-21.71%
AEGN,"Aegion Corp",25.41,+16.70,-0.08%,+0.20%,-2.49%,+23.29%
AEIS,"Advanced Energy",58.51,-20.30,-13.29%,-2.22%,-10.26%,-19.19%
AEL,"American Equity Investment Life",37.38,+31.50,+21.64%,+6.37%,+15.80%,+32.93%
AGYS,"Agilysys Inc",16.13,+58.40,+31.35%,-1.53%,+29.04%,+55.54%
AHH,"Armada Hoffler Properties Inc",15.87,+20.00,+2.19%,+4.82%,+13.60%,+19.68%
AIN,"Albany International Corp",78.05,+54.30,+27.01%,+21.20%,+25.89%,+52.14%
AIR,"AAR Corp",46.1,+25.80,+17.33%,-1.39%,+4.99%,+29.10%
AIT,"Applied Industrial Technologies",78,+36.20,+14.54%,+3.17%,+12.55%,+42.60%
AJRD,"Aerojet Rocketdyne Holdings",36.73,+37.40,+17.72%,+21.30%,+29.56%,+29.42%
AKR,"Acadia Realty Trust",28.43,+4.20,+3.91%,+7.00%,+16.04%,-0.84%
AKS,"AK Steel Holding Corp",4.47,-11.30,-21.02%,-8.21%,-1.97%,-14.53%
ALG,"Alamo Group",98.65,+3.20,-12.60%,+8.09%,+0.25%,+9.22%
ALGT,"Allegiant Travel Com",135.05,+1.80,-12.73%,-6.35%,-12.28%,+14.16%
ALRM,Alarm.Com,57.67,+50.30,+52.77%,+30.95%,+36.27%,+29.33%
AMAG,"Amag Pharmaceuticals",24.9,+33.60,+87.92%,+13.96%,+5.51%,+40.68%
AMBC,"Ambac Financial Grp",21.81,+31.90,+36.48%,+7.86%,+15.40%,+18.99%
AMED,"Amedisys Inc",121.84,+179.60,+131.15%,+27.45%,+66.43%,+143.05%
AMN,"Amn Healthcare Services Inc",58.1,+45.30,+17.97%,-5.07%,+3.20%,+54.52%
AMPH,"Amphastar Pharma",18.37,+15.10,-4.52%,+8.70%,+10.40%,+18.59%
AMSF,"Amerisafe Inc",62.8,+14.90,+1.95%,+1.13%,+4.32%,+14.60%
AMWD,"Amer Woodmark Cp",84.85,-15.40,-34.86%,-1.51%,-0.53%,+0.47%
ANDE,"Andersons Inc",41.45,+39.40,+33.07%,+16.93%,+26.56%,+32.22%
ANF,"Abercrombie & Fitch Company",28.27,+108.40,+62.19%,+8.07%,+11.56%,+208.96%
ANGO,"Angiodynamics Inc",22.66,+41.50,+36.26%,+5.79%,+12.57%,+34.56%
ANIK,"Anika Therapeutics",41.8,-7.00,-22.46%,+22.12%,+7.32%,-21.13%
ANIP,"ANI Pharma Inc",57.33,+9.50,-11.05%,-18.67%,-7.05%,+24.87%
APEI,"American Pub. Edu.",35.25,+47.80,+40.72%,-21.05%,-12.42%,+93.15%
APOG,"Apogee Entrpr Inc",50.16,+19.40,+9.69%,+3.40%,+16.68%,+6.70%
ARCB,"Arcbest Corp",47.5,+49.00,+32.87%,+1.71%,-1.14%,+85.91%
ARI,"Apollo Commercial Real Estate",19.34,+9.30,+4.82%,+2.65%,+4.26%,+7.80%
AROC,"Archrock Inc",13,+31.20,+23.81%,+2.36%,+8.33%,+39.04%
