Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",39.58,-37.03,+4.65%,-18.68%,+18.79%,-39.84%
AAON,"Aaon Inc",40.25,+30.00,+9.67%,+12.75%,+35.07%,+24.23%
AAT,"American Assets Trust",39.05,+3.02,+2.12%,+3.01%,+13.02%,-4.03%
AAWW,"Atlas Air Ww",59.88,-5.93,+2.09%,-12.40%,-13.72%,-3.70%
AAXN,"Axon Inc",62.66,+134.49,+136.45%,-9.21%,+15.33%,+189.29%
ABCB,"Ameris Bancorp",49.35,+6.17,+2.39%,-3.89%,-11.16%,+9.67%
ABG,"Asbury Automotive Group Inc",74.4,+40.11,+16.25%,+9.73%,+5.61%,+45.31%
ABM,"ABM Industries Incorporated",31.47,-24.74,-16.57%,+4.38%,+3.93%,-28.54%
ACET,"Aceto Cp",3.21,-46.37,-68.93%,-1.83%,+13.83%,-80.10%
ACLS,"Axcelis Tech Inc",20.05,-14.93,-30.14%,-4.75%,-10.49%,-3.61%
ACOR,"Acorda Therapeutics",27.85,+52.45,+29.84%,-7.17%,+13.91%,+29.23%
ADC,"Agree Realty Corp",55.45,+16.72,+7.80%,+3.09%,+10.90%,+13.09%
ADTN,"Adtran Inc",16.45,-20.04,-14.99%,+2.81%,+11.90%,-24.71%
AEGN,"Aegion Corp",24.63,+14.62,-3.15%,-2.53%,-2.69%,+19.80%
AEIS,"Advanced Energy",58.68,-20.70,-13.04%,-0.47%,-11.48%,-19.00%
AEL,"American Equity Investment Life",37.07,+33.52,+20.63%,+5.97%,+29.89%,+31.87%
AGYS,"Agilysys Inc",15.92,+55.70,+29.64%,-3.52%,+31.57%,+53.52%
AHH,"Armada Hoffler Properties Inc",15.85,+22.44,+2.06%,+3.66%,+15.44%,+20.35%
AIN,"Albany International Corp",75.75,+51.56,+23.27%,+21.49%,+27.20%,+47.37%
AIR,"AAR Corp",44.34,+20.17,+12.85%,-2.12%,-4.85%,+23.48%
AIT,"Applied Industrial Technologies",76.4,+35.53,+12.19%,+5.38%,+7.15%,+35.70%
AJRD,"Aerojet Rocketdyne Holdings",36.01,+35.77,+15.42%,+18.41%,+29.11%,+31.81%
