Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
BFS,"Saul Centers",1342575000,19.62,1.07,48260000,0.66,2.07,3.47%
BGFV,"Big 5 Sporting",122151000,47.5,0.12,1100000,-0.69,0.6,10.53%
BGG,"Briggs & Stratton Corp",872602000,15.97,1.29,-11320000,0.64,0.56,2.74%
BGS,"B&G Foods Holdings",2017458000,15.27,2.05,217460000,0.47,1.87,6.11%
BHE,"Benchmark Electronics",1225317000,16.35,1.59,-31970000,0.23,0.3,1.14%
BHLB,"Berkshire Hills Bancorp",1900827000,16.46,2.56,55250000,0.74,0.87,2.08%
BJRI,"Bj's Restaurants Inc",1529205000,36.49,1.98,44780000,0.76,0.44,0.60%
BKE,"Buckle Inc",1269840000,13.08,1.98,89710000,0.65,2.75,10.58%
BKS,"Barnes & Noble",387006000,11.22,0.49,-125480000,1.85,0.6,11.32%
BLD,"Topbuild Corp",2385385000,20.16,3.43,158130000,0.5,N/A,0.00%
BMI,"Badger Meter",1605417000,45.67,1.2,34570000,0.72,0.52,0.94%
BNED,"Barnes & Noble Education Inc C",251960000,0,-5.47,-252570000,0.32,N/A,0.00%
BOFI,"Bofi Holding Inc",2352367000,15.06,2.49,152410000,0.12,N/A,0.00%
BPFH,"Boston Pvt Finl Hldg",1205123000,16.24,0.89,40590000,0.96,0.47,3.30%
BRC,"Brady Corp",2015273000,20.13,1.94,95650000,1.09,0.83,2.13%
BRKL,"Brookline Bancorp",1443539000,19.41,0.93,50520000,0.85,0.38,2.12%
BRKS,"Brooks Automation",2797344000,20.03,1.51,62610000,1,0.4,1.01%
BRS,"Bristow Group Inc",384062000,0,-2.15,-195660000,2.96,0.07,0.65%
CACI,"Caci International",4788096000,24.8,7.84,301170000,1.45,N/A,0.00%
CAL,"Caleres Inc",1652449000,16.93,2.19,87200000,0.84,0.28,0.73%
CALM,"Cal-Maine Foods In",2373144000,16.82,2.97,125930000,0.54,0.351,0.72%
CAMP,"Calamp Corp",829786000,24.72,0.95,16620000,1.75,N/A,0.00%
CASH,"Meta Financial Grp",1110753000,12.78,6.63,44920000,1.02,0.52,0.61%
CATM,"Cardtronics Inc",1685972000,13.97,1.98,-145350000,0.84,N/A,0.00%
CATO,"Cato Corp",536099000,18.39,1.17,8540000,0.71,1.32,6.18%
