Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",38.23,-49.70,+1.08%,-7.34%,+13.24%,-60.92%
AAON,"Aaon Inc",36.65,+9.70,-0.14%,+11.06%,+4.42%,+8.11%
AAT,"American Assets Trust",36.77,-5.80,-3.84%,-3.87%,+7.96%,-8.96%
AAWW,"Atlas Air Ww",67.25,+14.30,+14.66%,-2.68%,+5.99%,+16.05%
AAXN,"Axon Inc",68.76,+156.40,+159.47%,+10.89%,+65.25%,+175.15%
ABAX,"Abaxis Inc",83.05,+71.80,+67.71%,+0.06%,+25.15%,+59.77%
ABCB,"Ameris Bancorp",49.58,+3.00,+2.85%,-8.28%,-5.57%,+7.42%
ABG,"Asbury Automotive Group Inc",68.15,+18.20,+6.48%,-3.74%,-0.87%,+26.32%
ABM,"ABM Industries Incorporated",30.82,-30.00,-18.29%,+3.88%,-1.56%,-31.19%
ACET,"Aceto Cp",3.15,-48.60,-69.51%,-12.74%,+21.62%,-79.51%
ACLS,"Axcelis Tech Inc",22.25,-8.20,-22.47%,+11.53%,+2.30%,-2.84%
ACOR,"Acorda Therapeutics",23.95,+25.80,+11.66%,-14.92%,+2.35%,+10.37%
ADC,"Agree Realty Corp",52.21,+7.30,+1.50%,-2.83%,+5.54%,+6.46%
ADTN,"Adtran Inc",16.3,-25.80,-15.76%,+11.64%,+12.41%,-30.19%
AEGN,"Aegion Corp",24.51,+2.50,-3.62%,-2.82%,+6.24%,+2.72%
AEIS,"Advanced Energy",60,-19.90,-11.08%,+2.67%,-1.54%,-18.16%
AEL,"American Equity Investment Life",35.81,+28.70,+16.53%,+0.59%,+16.34%,+33.22%
AGYS,"Agilysys Inc",16.13,+64.80,+31.35%,+5.98%,+36.23%,+58.92%
AHH,"Armada Hoffler Properties Inc",14.81,+10.20,-4.64%,-1.27%,+8.58%,+10.60%
AIN,"Albany International Corp",66.1,+21.00,+7.57%,+8.45%,+9.44%,+22.52%
AIR,"AAR Corp",47.45,+30.70,+20.77%,+1.93%,+7.89%,+30.57%
AIT,"Applied Industrial Technologies",73.55,+26.40,+8.00%,+3.30%,+13.68%,+29.72%
AJRD,"Aerojet Rocketdyne Holdings",28.07,+8.60,-10.03%,-4.07%,-1.54%,+19.50%
AKR,"Acadia Realty Trust",26.36,-8.20,-3.65%,-4.73%,+9.97%,-12.28%
AKS,"AK Steel Holding Corp",5.25,+7.70,-7.24%,+20.69%,+10.53%,-12.21%
ALG,"Alamo Group",91.03,-10.60,-19.35%,+1.03%,-17.40%,-2.65%
ALGT,"Allegiant Travel Com",124.85,-14.50,-19.32%,-9.20%,-22.26%,-5.31%
ALRM,Alarm.Com,42.78,+11.30,+13.32%,+8.88%,+6.23%,+14.72%
AMAG,"Amag Pharmaceuticals",22.05,+2.70,+66.42%,+10.80%,+6.78%,+13.37%
AMBC,"Ambac Financial Grp",19.92,+9.50,+24.66%,+1.22%,+13.89%,-1.68%
AMED,"Amedisys Inc",93.76,+114.50,+77.88%,+9.81%,+41.97%,+99.57%
AMN,"Amn Healthcare Services Inc",61.1,+57.90,+24.06%,+3.30%,-7.98%,+60.16%
AMPH,"Amphastar Pharma",17.19,-3.30,-10.65%,+10.55%,-10.70%,-0.58%
AMSF,"Amerisafe Inc",63.3,+9.90,+2.76%,+7.11%,+3.86%,+9.61%
AMWD,"Amer Woodmark Cp",82.1,-31.00,-36.97%,-9.68%,-3.58%,-15.62%
ANDE,"Andersons Inc",34.4,+2.00,+10.43%,+0.44%,+5.68%,-0.15%
ANF,"Abercrombie & Fitch Company",23.15,+83.60,+32.82%,-8.43%,-9.50%,+135.03%
ANGO,"Angiodynamics Inc",21.42,+33.10,+28.80%,-6.50%,+9.06%,+30.93%
ANIK,"Anika Therapeutics",40.05,-10.40,-25.71%,+27.18%,-8.87%,-22.53%
ANIP,"ANI Pharma Inc",68.08,+36.10,+5.63%,+3.04%,+17.44%,+41.22%
APEI,"American Pub. Edu.",44.75,+83.80,+78.64%,+6.17%,+10.09%,+100.67%
APOG,"Apogee Entrpr Inc",49.21,+1.40,+7.61%,+13.91%,+18.64%,-6.32%
ARCB,"Arcbest Corp",44.4,+34.40,+24.20%,-1.44%,+36.41%,+106.51%
ARI,"Apollo Commercial Real Estate",18.85,+5.60,+2.17%,+1.45%,+4.96%,+5.25%
AROC,"Archrock Inc",13.15,+28.70,+25.24%,+8.68%,+17.41%,+16.89%
ARR,"Armour Residential R",23.52,-5.90,-8.55%,+4.16%,+3.48%,-6.81%
ASGN,"On Assignment",90.45,+82.20,+40.73%,+17.91%,+11.27%,+85.65%
ASIX,"Advansix Inc",39.45,+11.60,-6.23%,+7.73%,+7.41%,+16.03%
