Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",40.61,-32.90,+7.38%,-2.80%,+21.19%,-32.99%
AAON,"Aaon Inc",42.75,+40.30,+16.49%,+16.33%,+35.71%,+34.86%
AAT,"American Assets Trust",39.62,+3.40,+3.61%,+5.46%,+14.41%,-2.00%
AAWW,"Atlas Air Ww",62.2,-2.80,+6.05%,-9.86%,-10.18%,+0.65%
AAXN,"Axon Inc",63.81,+141.50,+140.79%,-13.57%,+6.97%,+188.99%
ABCB,"Ameris Bancorp",50.05,+6.40,+3.84%,-3.47%,-11.81%,+15.19%
ABG,"Asbury Automotive Group Inc",77.4,+46.50,+20.94%,+11.61%,+9.32%,+52.21%
ABM,"ABM Industries Incorporated",32.95,-20.80,-12.65%,+10.05%,+9.76%,-23.44%
ACET,"Aceto Cp",3.31,-34.50,-67.96%,+2.48%,+18.21%,-79.10%
ACLS,"Axcelis Tech Inc",19.5,-15.60,-32.06%,-9.30%,-9.30%,-3.47%
ACOR,"Acorda Therapeutics",28.9,+45.00,+34.73%,+0.52%,+25.11%,+32.27%
ADC,"Agree Realty Corp",56.3,+18.00,+9.45%,+5.25%,+11.82%,+13.37%
ADTN,"Adtran Inc",16.9,-18.40,-12.66%,+2.42%,+9.39%,-21.21%
AEGN,"Aegion Corp",25.51,+17.40,+0.31%,+0.59%,-2.52%,+24.99%
AEIS,"Advanced Energy",58.45,-20.40,-13.38%,-2.32%,-9.06%,-16.62%
AEL,"American Equity Investment Life",37.57,+32.40,+22.26%,+6.92%,+29.46%,+37.57%
AGYS,"Agilysys Inc",15.99,+56.50,+30.21%,-2.38%,+25.81%,+58.16%
AHH,"Armada Hoffler Properties Inc",16.1,+22.50,+3.67%,+6.34%,+15.00%,+21.60%
AIN,"Albany International Corp",78.2,+54.70,+27.26%,+21.43%,+24.52%,+53.63%
AIR,"AAR Corp",45.99,+25.40,+17.05%,-1.63%,-3.58%,+29.81%
AIT,"Applied Industrial Technologies",78.3,+36.90,+14.98%,+3.57%,+8.90%,+44.60%
AJRD,"Aerojet Rocketdyne Holdings",36.62,+36.80,+17.37%,+20.94%,+25.45%,+32.44%
AKR,"Acadia Realty Trust",28.58,+5.00,+4.46%,+7.56%,+17.04%,-1.04%
AKS,"AK Steel Holding Corp",4.47,-11.30,-21.02%,-8.21%,+0.22%,-14.04%
ALG,"Alamo Group",99.99,+5.10,-11.41%,+9.55%,-0.52%,+11.66%
ALGT,"Allegiant Travel Com",136.6,+3.40,-11.73%,-5.27%,-14.14%,+14.17%
ALRM,Alarm.Com,56.71,+46.90,+50.23%,+28.77%,+32.93%,+29.71%
AMAG,"Amag Pharmaceuticals",24.75,+32.50,+86.79%,+13.27%,+2.70%,+40.62%
AMBC,"Ambac Financial Grp",21.7,+31.00,+35.79%,+7.32%,+14.27%,+19.36%
AMED,"Amedisys Inc",119.92,+173.60,+127.51%,+25.44%,+62.16%,+139.36%
AMN,"Amn Healthcare Services Inc",58.3,+46.00,+18.38%,-4.74%,-0.93%,+48.72%
AMPH,"Amphastar Pharma",18.22,+13.80,-5.30%,+7.81%,+9.96%,+20.90%
AMSF,"Amerisafe Inc",63.2,+16.00,+2.60%,+1.77%,+5.60%,+15.12%
AMWD,"Amer Woodmark Cp",86.6,-13.00,-33.51%,+0.52%,-2.26%,-7.43%
ANDE,"Andersons Inc",41.25,+38.50,+32.42%,+16.36%,+25.76%,+32.00%
ANF,"Abercrombie & Fitch Company",28.35,+109.20,+62.65%,+8.37%,+8.16%,+205.17%
ANGO,"Angiodynamics Inc",22.43,+39.50,+34.88%,+4.72%,+10.71%,+31.86%
ANIK,"Anika Therapeutics",41.22,-8.80,-23.54%,+20.42%,+5.48%,-22.02%
ANIP,"ANI Pharma Inc",56.71,+7.90,-12.01%,-19.55%,-11.15%,+23.23%
APEI,"American Pub. Edu.",35.75,+50.60,+42.71%,-19.93%,-10.06%,+98.61%
APOG,"Apogee Entrpr Inc",50.45,+20.40,+10.32%,+4.00%,+17.54%,+7.45%
ARCB,"Arcbest Corp",47.75,+50.10,+33.57%,+2.25%,-3.24%,+90.24%
ARI,"Apollo Commercial Real Estate",19.44,+10.10,+5.37%,+3.18%,+4.85%,+8.66%
AROC,"Archrock Inc",12.55,+25.10,+19.52%,-1.18%,+2.03%,+42.61%
ARR,"Armour Residential R",23.82,-7.60,-7.39%,+3.21%,+4.25%,-9.53%
ASGN,"On Assignment",91.34,+87.90,+42.12%,+8.17%,+7.37%,+98.74%
ASIX,"Advansix Inc",33.36,-5.10,-20.70%,-14.72%,-15.39%,+8.38%
ASNA,"Ascena Retail Grp",4.86,+114.00,+106.81%,+33.52%,+54.78%,+165.57%
ASTE,"Astec Inds Inc",48.31,-7.40,-17.42%,-21.28%,-18.98%,+3.69%
ATNI,"Atn International",75.58,+41.20,+36.77%,+37.87%,+44.13%,+29.20%
ATU,"Actuant Corp",29.45,+30.10,+16.40%,+5.18%,+17.56%,+31.47%
AVA,"Avista Corp",51.36,-0.60,-0.25%,+1.90%,-2.39%,-0.56%
AVAV,"Aerovironment Inc",86.18,+108.20,+53.45%,+14.54%,+50.66%,+130.43%
AVD,"American Vanguard Corp",19.8,-5.10,+0.76%,-8.55%,-10.20%,-1.49%
AVP,"Avon Products",2.04,-21.80,-5.12%,+43.66%,+7.37%,-22.73%
AWR,"American States Water Company",61.18,+24.80,+5.65%,+1.73%,+11.14%,+24.53%
AXE,"Anixter International Inc",73.1,+9.70,-3.82%,-2.14%,+14.67%,+3.10%
AXL,"American Axle & Manufacturing",17.96,+26.20,+5.46%,+11.35%,+10.39%,+29.96%
AZZ,"Azz Inc",54.75,+20.30,+7.14%,-1.35%,+27.18%,+15.75%
B,"Barnes Group",69.23,+17.00,+9.42%,+11.72%,+11.14%,+15.13%
BABY,"Natus Medical Inc",35.8,+9.10,-6.28%,+9.31%,+1.27%,+11.87%
BANC,"First Pactrust Bancorp",20,+5.20,-3.15%,+3.63%,+4.71%,+7.82%
BANR,"Banner Corp",66.92,+23.80,+21.41%,+7.87%,+13.21%,+21.94%
BCC,"Boise Cascade L.L.C.",46.55,+51.70,+16.67%,+5.92%,-0.21%,+64.49%
BCOR,"Blucora Inc",35.45,+44.10,+60.41%,-5.84%,-4.58%,+56.51%
BCPC,"Balchem Cp",104.18,+42.00,+29.26%,+4.29%,+9.12%,+42.40%
BEAT,"Biotelemetry Inc",57.25,+88.70,+91.47%,+13.70%,+39.80%,+59.69%
BEL,"Belmond Ltd",16.15,+19.30,+31.84%,+42.29%,+32.92%,+31.84%
BELFB,"Bel Fuse Inc Cl B",26.4,+14.40,+4.87%,+15.03%,+29.73%,+2.92%
BFS,"Saul Centers",58.75,+3.20,-4.86%,+9.65%,+19.14%,+0.22%
BGFV,"Big 5 Sporting",5.95,-27.70,-21.71%,-8.46%,-24.68%,-20.13%
BGG,"Briggs & Stratton Corp",21.31,+2.20,-16.00%,+26.62%,+11.05%,+4.10%
BGS,"B&G Foods Holdings",31.95,+5.90,-9.10%,+4.41%,+17.03%,+1.59%
BHE,"Benchmark Electronics",26.4,-19.10,-9.28%,-10.05%,-3.65%,-15.65%
BHLB,"Berkshire Hills Bancorp",42.65,+24.00,+16.53%,+2.90%,+8.25%,+28.27%
BJRI,"Bj's Restaurants Inc",66.8,+121.00,+83.52%,+5.86%,+26.28%,+109.73%
BKE,"Buckle Inc",26.95,+71.00,+13.47%,+11.36%,+4.46%,+95.29%
BKS,"Barnes & Noble",5.95,-16.00,-11.19%,+8.18%,+12.26%,-19.05%
BLD,"Topbuild Corp",70.81,+15.10,-6.51%,-14.87%,-14.68%,+24.71%
BMI,"Badger Meter",54.95,+27.80,+14.96%,+4.57%,+25.60%,+24.18%
BNED,"Barnes & Noble Education Inc C",6.35,-8.50,-22.94%,+18.25%,+2.92%,-7.03%
BOFI,"Bofi Holding Inc",38.63,+37.80,+29.20%,-7.18%,-7.91%,+48.75%
BPFH,"Boston Pvt Finl Hldg",14.2,-9.60,-8.09%,-5.33%,-16.47%,-1.05%
BRC,"Brady Corp",39.05,+14.70,+3.03%,+4.55%,-0.89%,+17.62%
BRKL,"Brookline Bancorp",18.2,+24.10,+15.92%,-2.93%,+3.70%,+30.47%
BRKS,"Brooks Automation",29.3,+16.90,+22.85%,-8.75%,-1.38%,+19.40%
BRS,"Bristow Group Inc",10.8,-5.50,-19.82%,-25.67%,-42.09%,+41.73%
CACI,"Caci International",193.6,+59.60,+46.28%,+7.83%,+17.19%,+56.32%
CAL,"Caleres Inc",37.92,+43.60,+13.26%,+6.37%,+5.57%,+66.90%
CALM,"Cal-Maine Foods In",50,+38.10,+12.49%,+8.81%,+5.60%,+45.14%
CAMP,"Calamp Corp",23.45,+21.30,+9.43%,+0.82%,+10.82%,+31.45%
CASH,"Meta Financial Grp",87.7,+9.00,-5.34%,-10.37%,-20.71%,+27.01%
CATM,"Cardtronics Inc",37.29,+73.60,+101.35%,+39.56%,+30.38%,+48.33%
CATO,"Cato Corp",23.88,+82.80,+50.00%,-7.87%,+32.81%,+68.29%
CBB,"Cincinnati Bell Inc",13,-33.50,-37.65%,+0.39%,-23.53%,-36.74%
CBL,"Cbl & Associates Properties",4.65,-35.90,-17.84%,-12.10%,+2.42%,-42.52%
CBM,"Cambrex Corp",64,+36.50,+33.33%,+14.18%,+33.61%,+24.39%
CBU,"Community Bank System",66.49,+31.40,+23.70%,+5.89%,+10.06%,+29.69%
CCMP,"Cabot Microelectron",109.97,+43.80,+16.89%,-7.04%,-1.68%,+59.49%
CCOI,"Cogent Comm Hldgs",53,+21.20,+17.00%,+0.95%,+6.00%,+23.69%
CCRN,"Cross Ctry Hlthcr",9.85,-15.70,-22.81%,-16.74%,-19.72%,-19.53%
CDR,"Cedar Shopping Centers Inc",4.62,-9.90,-24.01%,-6.29%,+12.68%,-6.85%
CECO,"Career Education",16.63,+67.80,+37.67%,-10.54%,+15.17%,+91.15%
CEIX,"Consol Energy Inc",42.5,+77.90,+7.57%,+0.59%,-4.24%,+83.03%
CENT,"Central Garden",39.25,+5.00,+0.85%,-9.87%,-4.29%,+14.70%
CENTA,"Central Garden & Pet",36.32,+0.40,-3.69%,-10.78%,-4.87%,+9.46%
CENX,"Century Aluminum C",12.32,-37.90,-37.27%,-4.97%,-28.99%,-23.76%
CEVA,"Ceva Inc",29.25,-33.50,-36.62%,-10.00%,-13.46%,-28.22%
CHCO,"City Holding Co",82.68,+32.40,+22.54%,+4.50%,+10.46%,+35.79%
CHCT,"Community Healthcare Trust Inc",31.52,+25.20,+12.17%,+4.30%,+19.94%,+27.41%
CHS,"Chico's Fas",10.05,+23.90,+13.95%,+12.67%,-1.37%,+32.06%
CHSP,"Chesapeake Lodging Trust",32.79,+30.10,+21.04%,+0.55%,+6.15%,+31.74%
CHUY,"Chuy's Holdings Inc",27.35,+24.80,-2.50%,-18.96%,-4.37%,+35.73%
CIR,"Circor International",44.99,-5.60,-7.58%,+10.11%,-12.96%,-5.64%
CJ,"C&J Energy Services Inc",23.64,-14.20,-29.37%,+6.39%,-22.97%,-6.56%
CKH,"Seacor Smit Inc",51.42,+28.60,+11.25%,-4.67%,-3.58%,+42.16%
CLD,"Cloud Peak Energy Inc",2.49,-36.40,-44.04%,-21.70%,-20.70%,-13.24%
CLDT,"Chatham Lodging Trust [Reit]",21.74,+8.90,-4.48%,-0.91%,+7.25%,+9.85%
CLW,"Clearwater Paper Corp",29.35,-21.70,-35.35%,+24.36%,+11.81%,-34.71%
CMO,"Capstead Mortgage Corp",8.43,-12.90,-2.54%,-2.66%,-7.97%,-13.18%
