Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
CMTL,"Comtech Telecom Co",35.54,+69.60,+60.67%,+4.90%,+14.06%,+92.00%
CNMD,"C O N M E D Cp",77.9,+61.30,+52.83%,+6.09%,+12.91%,+60.49%
CNSL,"Consolidated Communications Holdings Inc",12.08,-29.70,-0.90%,-0.58%,+7.95%,-34.28%
COHU,"Cohu Inc",25.83,+40.60,+17.68%,-0.77%,+9.54%,+48.70%
COKE,"Coca Cola Bot Cons",173.02,-10.10,-19.62%,+25.20%,+33.84%,-15.67%
COLB,"Columbia Banking Sys",43.33,+12.70,-0.25%,+2.63%,+0.65%,+18.55%
CORE,"Core Mark Holding",34.79,+45.40,+10.16%,+42.99%,+90.73%,+31.28%
CORT,"Corcept Therapeutics",13.65,+6.80,-24.42%,+5.00%,-25.12%,-4.94%
CPF,"Central Pacific Financial Co",29.25,-0.60,-1.94%,+0.45%,-2.99%,+0.93%
CPS,"Cooper Std Hldg Inc",142.17,+38.60,+16.06%,+6.14%,+7.61%,+43.71%
CPSI,"Computer Programs",27.3,-8.80,-9.15%,-19.82%,-14.02%,-6.19%
CRAY,"Cray Inc",21.5,+6.10,-11.16%,-16.50%,-17.62%,+19.78%
CROX,"Crocs Inc",20.22,+125.30,+59.97%,+14.56%,+18.31%,+133.76%
CRR,"Carbo Ceramics",8.15,+4.70,-19.94%,-13.39%,-27.17%,+32.95%
CRVL,"Corvel Cp",58.9,+18.90,+11.34%,+4.99%,+9.68%,+14.93%
CRY,Cryolife,32.7,+84.60,+70.76%,+9.18%,+22.47%,+70.31%
CRZO,"Carrizo Oil & Gas",23.66,+57.40,+11.18%,-16.31%,-15.23%,+76.04%
CSGS,"C S G Sys Intl",37.57,-9.80,-14.26%,-8.74%,-7.23%,-1.18%
CTB,"Cooper Tire & Rubber Company",30.4,-8.80,-14.00%,+18.52%,+15.81%,-9.79%
CTRE,"Caretrust REIT Inc",18.43,+5.70,+9.96%,+8.41%,+19.21%,-4.80%
CTRL,"Control4 Corp",35.3,+51.90,+18.62%,+40.02%,+42.86%,+44.44%
CTS,"Cts Corp",35.35,+57.30,+37.28%,-5.73%,+8.77%,+62.90%
CUB,"Cubic Corp",73.45,+64.70,+24.60%,+6.60%,+2.23%,+75.09%
CUBI,"Customers Bancorp",25.48,-15.60,-1.96%,-11.19%,-12.89%,-8.48%
CUTR,"Cutera Inc",33.5,-10.00,-26.13%,-22.99%,-17.79%,-1.33%
CVBF,"Cvb Financial Corp",24.86,+18.50,+5.52%,+7.29%,+5.88%,+22.16%
CVCO,"Cavco Inds Inc",240,+90.50,+57.27%,+9.04%,+35.59%,+88.16%
CVGW,"Calavo Growers Inc",101.8,+45.30,+20.62%,+8.24%,+4.95%,+45.43%
CWT,"California Water Service Group Holding",41.45,+10.90,-8.60%,+1.97%,+4.80%,+12.33%
CYH,"Community Health Systems",3.47,-51.60,-18.54%,+28.04%,-24.24%,-54.58%
CYTK,Cytokinetics,7.35,-32.00,-9.82%,-16.48%,-15.03%,-41.43%
DAKT,"Daktronics Inc",7.93,-20.20,-13.09%,-5.65%,-18.87%,-15.04%
DAR,"Darling International Inc",20.21,+18.30,+11.47%,+1.81%,+9.48%,+27.75%
DBD,"Diebold Nixdorf Inc",4.55,-62.10,-72.17%,-60.94%,-63.75%,-75.73%
DCOM,"Dime Community Bncsh",18.75,-4.80,-10.50%,-6.48%,-8.09%,+0.54%
DDD,"3D Systems Corp",21.61,+55.50,+150.12%,+44.07%,+69.76%,+77.86%
DEA,"Easterly Government Properties",20.07,+0.20,-5.95%,+3.03%,-0.10%,+0.30%
DF,"Dean Foods Company",7.81,-36.80,-32.44%,-24.83%,-20.22%,-32.44%
DFIN,"Donnelly Financial Solutions Inc",19.48,-3.90,-0.05%,-5.30%,+13.65%,-3.90%
DGII,"Digi Intl Inc",13,+39.50,+36.13%,-5.11%,+8.33%,+46.89%
DIN,"Dineequity Inc",79.48,+84.10,+56.67%,+11.63%,+16.56%,+96.93%
DIOD,"Diodes Inc",37.77,+42.60,+31.74%,-0.79%,+12.85%,+43.18%
DNR,"Denbury Resources",4.94,+278.90,+123.53%,+13.30%,+10.27%,+370.48%
DORM,"Dorman Products Inc",79.82,+27.80,+30.55%,+9.09%,+21.05%,+20.41%
DPLO,"Diplomat Pharmacy Inc",19.51,+7.00,-2.79%,-12.63%,-20.33%,+18.75%
DRH,"Diamondrock Hospitality Company",11.89,+10.20,+5.31%,-2.78%,-3.88%,+10.60%
DSPG,"D S P Group Inc",12.65,+4.00,+1.20%,-3.80%,-0.78%,+7.20%
DSW,"DSW Inc",27.61,+43.50,+28.96%,+0.36%,+7.89%,+75.97%
DXPE,"Dxp Enterprise",47.12,+81.60,+59.35%,+10.51%,+12.16%,+85.88%
EBIX,"Ebix Inc",77.4,+24.10,-2.33%,-7.91%,+5.02%,+34.49%
EBS,"Emergent Biosolutions",60.27,+65.80,+29.70%,+11.08%,+16.80%,+72.74%
ECHO,"Echo Global Logistic",33.4,+109.90,+19.29%,+6.20%,+19.29%,+140.29%
ECOL,"US Ecology Inc",71.2,+56.40,+39.61%,+8.45%,+18.37%,+53.95%
ECPG,"Encore Capital Grp",40.3,-1.70,-4.28%,+10.56%,-7.14%,+3.73%
EE,"El Paso Electric Company",63.6,+20.70,+14.91%,+4.35%,+14.49%,+17.45%
EFII,"Elec Imaging Inc",33.79,+14.10,+14.43%,-3.15%,-0.32%,+4.71%
EGHT,"8X8 Inc",22.45,+70.10,+59.22%,+2.28%,-0.44%,+70.72%
EGL,"Engility Holdings Inc",35.2,+27.80,+24.07%,+0.83%,+16.56%,+19.57%
EGOV,"Nic Inc",17.25,+13.90,+3.92%,+6.81%,+14.24%,+9.87%
EGP,"Eastgroup Properties",97.05,+14.20,+9.81%,+4.73%,+7.32%,+12.86%
EGRX,"Eagle Pharmaceutical",80.42,+54.40,+50.54%,-3.56%,+24.76%,+48.93%
EHTH,"Ehealth Inc",30.11,+58.70,+73.34%,+25.46%,+50.02%,+69.06%
EIG,"Employers Holdings Inc",43.8,+5.40,-1.35%,+3.55%,+7.22%,+4.78%
ELY,"Callaway Golf Company",22.93,+79.10,+64.61%,+19.43%,+22.42%,+75.44%
ENDP,"Endo Int'l Plc",15.6,+117.20,+101.29%,+39.91%,+161.31%,+83.10%
ENSG,"The Ensign Group In",37.81,+89.70,+70.32%,-0.29%,+9.09%,+92.61%
ENTA,"Enanta Pharmaceutica",92.23,+92.80,+57.17%,-24.61%,-10.01%,+143.29%
ENVA,"Enova International Inc",35.95,+181.00,+136.51%,-6.01%,+2.71%,+198.34%
EPAY,"Bottomline Tech In",62.99,+128.80,+81.63%,+13.21%,+36.19%,+117.43%
ERA,"Era Group Inc",11.93,+25.10,+10.98%,-10.70%,-7.01%,+42.87%
ESE,"Esco Technologies Inc",69.75,+33.30,+15.77%,+14.16%,+21.30%,+29.77%
ESIO,"Electro Sci Inds",23.04,+45.10,+7.51%,+28.57%,+17.31%,+114.13%
ESND,"Essendant Inc",15.37,+38.80,+65.80%,+6.59%,+11.38%,+35.90%
ETH,"Ethan Allen Interiors Inc",23.45,-16.20,-18.01%,-3.50%,-4.87%,-20.37%
EVTC,"Evertec Inc",24.7,+49.50,+80.95%,+6.24%,+12.79%,+33.15%
EXLS,"Exlservice Holdings",60.8,+8.60,+0.75%,-2.52%,+8.36%,+9.65%
EXPO,"Exponent Inc",51.9,+59.30,+45.99%,+6.24%,+10.19%,+61.18%
EXPR,"Express Inc",10.61,+56.40,+4.53%,+7.93%,+16.47%,+98.32%
EXTN,"Exterran Corp",27.93,+0.80,-11.16%,+3.25%,-5.19%,+16.96%
EXTR,"Extreme Networks",6.38,-42.00,-49.04%,-27.83%,-30.27%,-38.65%
EZPW,"Ezcorp Inc",11.3,+11.50,-7.38%,-7.76%,-14.72%,+28.41%
FARO,"Faro Tech Inc",67.6,+87.10,+43.83%,+16.65%,+25.30%,+107.04%
FBP,"First Bancorp",8.89,+69.50,+74.31%,+9.89%,+11.40%,+62.82%
FCF,"First Commonwealth Financial Corp",17.27,+35.70,+20.60%,+6.60%,+9.37%,+38.05%
FCFS,"First Cash Fin Svcs",81.5,+29.40,+20.83%,-13.02%,-13.62%,+37.67%
FCN,"Fti Consulting",77.49,+138.40,+80.38%,+16.12%,+26.02%,+138.80%
FCPT,"Four Corners Property Trust In",27.03,+13.00,+5.18%,+8.73%,+21.21%,+6.84%
FELE,"Franklin Electric Co",49.8,+29.30,+8.50%,+6.64%,+5.73%,+29.02%
FF,"Futurefuel Corp",14.74,+11.90,+4.61%,+9.35%,+9.02%,+12.69%
FFBC,"First Finl Bncp [Oh]",32.05,+28.30,+21.63%,+2.40%,-0.31%,+33.82%
FFIN,"First Finl Bkshs Inc",60.7,+52.80,+34.74%,+7.43%,+13.46%,+52.70%
FIX,"Comfort Systems USA",57.25,+76.20,+31.16%,+17.92%,+22.85%,+74.54%
FLOW,"SPX Flow Inc",49.19,+42.40,+3.45%,+9.17%,+6.63%,+56.36%
FMBI,"First Midwest Bncp",27.57,+27.90,+14.83%,+5.11%,+5.43%,+32.36%
FN,Fabrinet,46.75,+42.50,+62.89%,+17.05%,+26.39%,+17.40%
FNSR,"Finisar Corp",19.6,-11.20,-3.69%,+15.29%,+14.75%,-15.48%
FORM,"Formfactor Inc",13.8,-6.30,-11.82%,-1.43%,+4.94%,-1.78%
FORR,"Forrester Resrch",48.8,+23.10,+10.41%,+13.49%,+15.37%,+24.65%
FOSL,"Fossil Group",25.88,+115.50,+233.08%,-3.76%,+30.64%,+260.45%
FOXF,"Fox Factory Cp",64.6,+81.10,+66.28%,+26.79%,+66.49%,+70.45%
FRAN,"Francesca's Holdings",7.15,-10.90,-2.19%,-7.74%,+24.13%,+1.71%
FRGI,"Fiesta Restaurant Gp",29.4,+78.20,+54.74%,-2.49%,+19.03%,+64.71%
FSB,"Franklin Financial Network Inc",38.85,+19.80,+13.93%,+5.86%,+8.67%,+20.09%
FSP,"Franklin Street Properties",8.67,-11.30,-19.27%,+2.12%,+13.33%,-11.62%
FSS,"Federal Signal Corp",26.3,+45.00,+30.91%,+8.81%,+6.65%,+44.90%
FTD,"Ftd Companies",3.8,-69.60,-47.15%,+4.40%,-27.89%,-70.27%
FTK,"Flotek Industries",2.12,-50.80,-54.51%,-29.57%,-39.60%,-62.14%
FTR,"Frontier Commun Cp",5.73,-54.30,-15.24%,+21.66%,-40.31%,-54.95%
FUL,"H. B. Fuller Company",58.32,+16.60,+8.26%,+3.66%,+9.58%,+18.75%
FWRD,"Foward Air Corp",64.34,+26.60,+12.01%,+7.43%,+6.84%,+26.78%
GBCI,"Glacier Bancorp Inc",45.31,+35.70,+15.03%,+5.62%,+13.22%,+37.89%
GBX,"Greenbrier Companies",59.1,+38.10,+10.88%,+2.52%,+13.22%,+35.40%
GCI,"Gannett Co. Inc",10.67,+20.60,-7.94%,+6.27%,-7.14%,+30.92%
GCO,"Genesco Inc",46.2,+70.10,+42.15%,+13.37%,+3.47%,+103.52%
GDOT,"Green Dot Corp",85.01,+78.30,+41.07%,+4.04%,+15.50%,+82.50%
GEOS,"Geospace Technologie",13.85,-4.10,+6.78%,-1.91%,+13.52%,-6.86%
GES,"Guess Inc",23.31,+36.70,+38.09%,+1.48%,-9.83%,+90.75%
GFF,"Griffon Corp",18.55,-2.40,-8.85%,+0.27%,-20.22%,+0.82%
GHL,"Greenhill & Co. Inc",29.75,+95.60,+52.56%,-5.56%,+6.06%,+94.44%
GIFI,"Gulf Island Fab",9.6,-6.60,-28.49%,+1.05%,-8.57%,-10.28%
GIII,"G-III Apparel Gp I",45.93,+66.70,+24.51%,-2.81%,+18.80%,+91.77%
GLT,Glatfelter,16.66,-9.30,-22.29%,-17.73%,-4.85%,-0.36%
GME,"Gamestop Corp",16.49,-8.10,-8.13%,+9.35%,+29.03%,-21.40%
GNBC,"Green Bancorp",24.35,+11.80,+19.95%,+9.68%,+2.10%,+11.70%
GNL,"Global Net Lease Inc",21.53,+7.00,+4.62%,+3.21%,+13.98%,-0.28%
GOV,"Government Properties Income Trust",17,-0.80,-8.31%,+6.92%,+24.72%,-7.61%
GPI,"Group 1 Automotive",80.08,+38.20,+12.84%,+18.58%,+11.92%,+45.76%
GPRE,"Green Plains Inc",18.15,+4.00,+7.72%,+14.15%,-15.78%,+7.40%
GTLS,"Chart Industries In",77.62,+124.10,+65.64%,+0.96%,+18.78%,+137.22%
GTY,"Getty Realty Corp",29.11,+9.80,+7.18%,+2.83%,+16.44%,+6.75%
GWB,"Great Western Bancorp Inc",44.22,+19.40,+11.11%,+6.20%,+0.77%,+23.00%
HA,"Hawaiian Hldgs Inc",43.7,+9.40,+9.66%,+16.53%,+11.48%,+1.75%
HAFC,"Hanmi Financial Cp",26.15,-10.30,-13.84%,-5.08%,-11.21%,-1.51%
HAYN,"Haynes Intl Inc",38.97,+20.10,+21.59%,+0.49%,-5.98%,+30.51%
HCI,"Homeowners Choice",41.01,+6.40,+37.16%,-3.00%,-3.73%,+3.43%
HF,"HFF Inc",45.99,+32.10,-5.45%,+27.08%,+32.88%,+25.83%
HFWA,"Heritage Financial",36.15,+35.60,+17.37%,+0.42%,+11.92%,+37.45%
HI,"Hillenbrand Inc",52.7,+45.50,+17.90%,+6.36%,+8.77%,+49.72%
HIBB,"Hibbett Sports Inc",27.65,+107.50,+35.54%,+14.97%,-2.64%,+154.84%
HLIT,"Harmonic Inc",5.3,+60.80,+26.19%,+19.10%,+32.50%,+60.61%
HLX,"Helix Energy Solutions Group",9.06,+43.10,+20.16%,+4.02%,+10.35%,+52.78%
HMN,"Horace Mann Educators Corp",46.5,+23.30,+5.44%,+2.54%,+3.68%,+25.51%
HMST,"Homestreet Inc",29.95,+16.90,+3.45%,+3.81%,+5.55%,+21.50%
HMSY,"Hms Hldgs Cp",31.61,+103.00,+86.49%,+30.35%,+48.61%,+81.15%
HOPE,"Hope Bancorp Inc",17.81,-0.20,-2.41%,+2.42%,-3.68%,+2.47%
HPR,"Highpoint Resources Corp.",5.01,+18.80,-2.34%,-24.21%,-32.39%,+75.79%
HQY,Healthequity,87.29,+115.10,+87.08%,+6.01%,+17.40%,+102.67%
HSC,"Harsco Corp",26.55,+58.80,+42.36%,+13.22%,+6.63%,+68.04%
HSII,"Heidrick & Struggl",43.5,+132.50,+77.19%,+25.00%,+11.83%,+138.36%
HSKA,"Heska Corp",104.27,+18.90,+30.00%,-3.25%,+2.84%,+4.91%
HSTM,"Healthstream Inc",30.72,+39.30,+32.64%,+5.39%,+10.58%,+34.97%
HT,"Hersha Hospitality Trust",22.38,+27.90,+28.62%,+0.22%,+11.01%,+23.44%
HTLD,"Heartland Express",20.38,-2.90,-12.68%,-2.35%,+8.06%,-2.58%
HUBG,"Hub Group Inc A",51.95,+33.90,+8.46%,+3.90%,+6.78%,+45.31%
HVT,"Haverty Furniture Companies",22.35,-2.00,-1.32%,+6.43%,+10.64%,-5.30%
HWKN,"Hawkins Inc",42,+22.70,+19.32%,+11.55%,+29.43%,+14.60%
HZO,"Marinemax Inc",20.85,+4.30,+10.32%,-0.71%,-12.58%,+37.17%
IBP,"Installed Building Products I",48.05,-23.10,-36.73%,-17.65%,-22.69%,-15.40%
IIIN,"Insteel Industries",40.77,+66.50,+43.96%,-2.39%,+27.57%,+66.88%
IIVI,"I I V I Inc",46.8,+28.20,-0.32%,+6.73%,+4.12%,+35.65%
INDB,"Independent Bk Corp",90.6,+34.90,+29.71%,+2.78%,+18.74%,+33.83%
INGN,"Inogen Inc",233.67,+164.90,+96.23%,+11.42%,+31.97%,+148.77%
INN,"Summit Hotel Properties",13.69,-8.90,-10.11%,-3.39%,-7.81%,-6.93%
INTL,"Intl Fcstone Inc",55.25,+53.70,+29.91%,+3.85%,+14.75%,+53.51%
INVA,"Innoviva Inc",14.08,+4.80,-0.78%,-0.78%,-2.70%,+16.75%
IOSP,"Innospec Inc",77.6,+33.20,+9.92%,-4.84%,+1.04%,+41.74%
IPAR,"Inter Parfums Inc",65.5,+77.10,+50.75%,+15.01%,+27.31%,+71.92%
