Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",42.87,"48% Buy",54.54%,50.91%,1284020,22.54,71.29
AAON,"Aaon Inc",41.35,"72% Buy",69.19%,24.04%,198270,29.05,43.3
AAT,"American Assets Trust",39.42,"96% Buy",60.02%,14.14%,172745,30.62,41.69
AAWW,"Atlas Air Ww",62.05,"24% Sell",42.48%,28.96%,305410,50.65,75.29
AAXN,"Axon Inc",65.55,"16% Buy",51.19%,53.52%,840835,20.57,76.45
ABCB,"Ameris Bancorp",49.85,"16% Sell",45.91%,23.71%,392190,41.05,59.05
ABG,"Asbury Automotive Group Inc",75.35,"72% Buy",58.28%,18.92%,188455,50.3,77.75
ABM,"ABM Industries Incorporated",30.5,"40% Sell",46.35%,32.42%,617685,28.17,44.83
ACET,"Aceto Cp",3.27,"40% Sell",47.76%,25.43%,142695,2.22,12.89
ACLS,"Axcelis Tech Inc",19.75,"72% Sell",42.19%,34.33%,386480,18.75,37.05
ACOR,"Acorda Therapeutics",28.9,"56% Buy",56.18%,26.38%,392875,16.55,36.35
ADC,"Agree Realty Corp",56.62,"96% Buy",67.56%,9.66%,116895,43.74,57.04
ADTN,"Adtran Inc",16.95,"96% Buy",63.58%,16.21%,228455,13.95,25.1
AEGN,"Aegion Corp",24.9,Hold,48.23%,21.24%,77895,19.81,28.19
AEIS,"Advanced Energy",58.04,"72% Sell",43.37%,20.30%,464690,56.22,95
AEL,"American Equity Investment Life",37.39,"96% Buy",61.02%,16.32%,351805,25.43,38.56
AGYS,"Agilysys Inc",16.7,"80% Buy",61.46%,35.85%,92690,10.03,16.8
AHH,"Armada Hoffler Properties Inc",15.85,"88% Buy",59.79%,13.32%,291750,12.73,16.17
AIN,"Albany International Corp",76.95,"80% Buy",68.33%,56.73%,189995,51.3,78.9
AIR,"AAR Corp",45.99,"16% Buy",49.19%,19.50%,135145,34.25,49.05
AIT,"Applied Industrial Technologies",77.05,"88% Buy",57.69%,27.49%,217265,55.25,78.9
AJRD,"Aerojet Rocketdyne Holdings",36,"80% Buy",63.46%,70.42%,929850,24.41,37.7
AKR,"Acadia Realty Trust",28.71,"96% Buy",65.29%,14.98%,393835,21.34,30.63
AKS,"AK Steel Holding Corp",4.29,"48% Sell",43.57%,59.69%,13508800,4,6.8
ALG,"Alamo Group",98.38,"40% Buy",59.34%,19.86%,84405,87.54,120.58
ALGT,"Allegiant Travel Com",135.4,"24% Sell",49.22%,16.41%,143075,111.54,181.45
ALRM,Alarm.Com,55.94,"96% Buy",70.99%,38.25%,553305,33.39,57.92
AMAG,"Amag Pharmaceuticals",24.6,"56% Buy",57.75%,32.08%,570425,11.93,26.1
AMBC,"Ambac Financial Grp",21.74,"72% Buy",62.42%,19.91%,389035,13.17,23.34
AMED,"Amedisys Inc",124.49,"96% Buy",85.06%,34.94%,447350,45.6,125.1
AMN,"Amn Healthcare Services Inc",57.5,"24% Sell",48.04%,49.60%,460900,36.9,68.2
AMPH,"Amphastar Pharma",18.02,"72% Buy",57.45%,25.02%,138095,14.4,20.45
AMSF,"Amerisafe Inc",64.1,"88% Buy",61.22%,12.76%,80295,51.55,67.82
AMWD,"Amer Woodmark Cp",84.95,"48% Sell",47.95%,33.06%,124890,78.75,148.44
ANDE,"Andersons Inc",40.55,"88% Buy",67.74%,44.83%,155695,29.6,41.7
ANF,"Abercrombie & Fitch Company",27.34,"64% Buy",53.78%,55.19%,1984910,11.34,29.69
ANGO,"Angiodynamics Inc",22.24,"48% Buy",55.64%,16.30%,157930,15.16,23.95
ANIK,"Anika Therapeutics",41.42,"56% Buy",56.98%,20.27%,104225,28.54,69.81
ANIP,"ANI Pharma Inc",57.31,"48% Sell",32.86%,53.42%,135170,45.57,74.7
APEI,"American Pub. Edu.",35.9,"56% Sell",34.59%,85.23%,129910,17.4,46.15
APOG,"Apogee Entrpr Inc",49.9,"72% Buy",56.23%,21.33%,123325,37.24,51.33
ARCB,"Arcbest Corp",47.25,"48% Buy",53.38%,35.47%,274555,25.35,50.45
ARI,"Apollo Commercial Real Estate",19.35,"96% Buy",62.46%,8.45%,974790,17.56,19.5
AROC,"Archrock Inc",12.8,"48% Buy",51.88%,38.08%,682370,8.25,13.75
ARR,"Armour Residential R",23.6,"24% Buy",53.67%,8.71%,453705,21.4,27.55
ASGN,"On Assignment",90.83,"40% Buy",57.50%,20.01%,283670,44.66,94.25
ASIX,"Advansix Inc",33.62,"80% Sell",39.76%,44.17%,217790,30.45,46.51
