Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",40.1,"8% Buy",48.46%,66.20%,1566580,22.54,71.45
AAON,"Aaon Inc",39.3,"100% Buy",74.57%,17.00%,195005,29.05,40.25
AAT,"American Assets Trust",38.81,"96% Buy",58.28%,20.22%,199375,30.62,41.69
AAWW,"Atlas Air Ww",61.67,"80% Sell",32.91%,26.73%,295950,50.65,75.29
AAXN,"Axon Inc",59.33,"40% Sell",38.77%,54.66%,973685,20.57,76.45
ABCB,"Ameris Bancorp",48.88,"64% Sell",39.41%,27.95%,446400,41.05,59.05
ABG,"Asbury Automotive Group Inc",75.4,"88% Buy",64.01%,18.04%,284435,49.1,76.5
ABM,"ABM Industries Incorporated",31.17,"40% Buy",55.24%,20.92%,629560,28.17,44.83
ACET,"Aceto Cp",3.26,"24% Sell",46.54%,52.54%,220070,2.22,16.51
ACLS,"Axcelis Tech Inc",21.95,"16% Buy",51.88%,31.10%,379170,19.3,37.05
ACOR,"Acorda Therapeutics",26.75,"16% Sell",47.72%,64.34%,483715,16.55,36.35
ADC,"Agree Realty Corp",54.21,"56% Buy",56.51%,16.41%,144040,43.74,54.69
ADTN,"Adtran Inc",15.9,"16% Buy",51.87%,21.96%,427975,13.95,25.1
AEGN,"Aegion Corp",25.01,"8% Buy",48.06%,18.48%,81080,19.81,28.19
AEIS,"Advanced Energy",61.05,Hold,50.91%,22.95%,520370,56.22,95
AEL,"American Equity Investment Life",36.01,"56% Buy",54.76%,16.82%,465365,25.43,38.56
AGYS,"Agilysys Inc",15.75,"8% Buy",51.71%,35.77%,113125,10,16.8
AHH,"Armada Hoffler Properties Inc",15.62,"96% Buy",60.27%,18.39%,279590,12.73,16
AIN,"Albany International Corp",76.2,"100% Buy",75.45%,56.01%,130555,49.2,77.35
AIR,"AAR Corp",46.62,"8% Buy",50.13%,22.03%,169095,34.25,49.05
AIT,"Applied Industrial Technologies",74.55,"64% Buy",55.08%,21.63%,146745,54,76.55
AJRD,"Aerojet Rocketdyne Holdings",35.83,"96% Buy",70.45%,73.05%,1026850,24.41,36.25
AKR,"Acadia Realty Trust",26.82,"8% Sell",50.01%,20.02%,455950,21.34,30.63
AKS,"AK Steel Holding Corp",4.37,"40% Sell",41.94%,61.70%,15015115,4,6.8
ALG,"Alamo Group",95.85,"24% Buy",57.71%,18.79%,62545,86.41,120.58
ALGT,"Allegiant Travel Com",130.35,"72% Sell",43.46%,67.33%,219605,111.54,181.45
ALRM,Alarm.Com,49.15,"100% Buy",69.08%,33.40%,384030,33.39,52.6
AMAG,"Amag Pharmaceuticals",25.4,"100% Buy",66.33%,33.58%,603235,11.93,25.63
AMBC,"Ambac Financial Grp",21.91,"100% Buy",70.95%,20.55%,382890,13.17,23.34
AMED,"Amedisys Inc",112.15,"96% Buy",78.75%,40.56%,431380,45.6,112.79
AMN,"Amn Healthcare Services Inc",57,"64% Sell",45.54%,48.66%,506165,34.85,68.2
AMPH,"Amphastar Pharma",17.18,"8% Sell",52.18%,24.12%,136240,14.4,20.45
AMSF,"Amerisafe Inc",62.8,"48% Buy",58.39%,14.51%,66820,51.55,67.82
AMWD,"Amer Woodmark Cp",85.65,Hold,45.33%,41.61%,172825,78.75,148.44
ANDE,"Andersons Inc",40.35,"100% Buy",76.08%,45.05%,107535,29.6,41.7
ANF,"Abercrombie & Fitch Company",26.08,"16% Buy",54.07%,39.34%,1725980,9.03,29.2
ANGO,"Angiodynamics Inc",21.53,"8% Sell",50.76%,20.92%,246270,15.16,23.95
ANIK,"Anika Therapeutics",41.78,"48% Buy",61.49%,65.12%,213075,28.54,69.81
ANIP,"ANI Pharma Inc",56.71,"72% Sell",25.75%,53.19%,130295,42.99,74.7
APEI,"American Pub. Edu.",34.17,"56% Sell",22.83%,84.06%,109320,17.4,46.15
APOG,"Apogee Entrpr Inc",49.71,"72% Buy",58.06%,19.30%,148845,37.24,52.35
ARCB,"Arcbest Corp",47.85,"64% Buy",55.60%,45.82%,314565,25.02,50.45
ARI,"Apollo Commercial Real Estate",18.75,"8% Sell",48.66%,8.43%,1007985,17.56,19.17
AROC,"Archrock Inc",13.05,"72% Buy",54.92%,28.93%,661205,8.25,13.75
ARR,"Armour Residential R",23.49,"72% Buy",54.51%,11.08%,435600,21.4,27.55
ASGN,"On Assignment",91.46,"72% Buy",61.66%,31.70%,322375,44.66,94.25
ASIX,"Advansix Inc",35.34,"64% Sell",40.05%,43.98%,196140,29.55,46.51
ASNA,"Ascena Retail Grp",4.16,"64% Buy",61.01%,42.79%,1721915,1.69,4.74
ASTE,"Astec Inds Inc",45.99,"80% Sell",30.88%,86.59%,252515,45.3,64.8
ATNI,"Atn International",69.12,"80% Buy",69.83%,75.57%,50215,49.34,69.8
ATU,"Actuant Corp",28.25,"56% Buy",54.48%,20.36%,316400,21.5,30.05
AVA,"Avista Corp",50.78,"16% Sell",43.55%,5.34%,466795,47.5,52.91
AVAV,"Aerovironment Inc",79.01,"100% Buy",69.12%,26.55%,273635,37.01,79.37
AVD,"American Vanguard Corp",19.89,"72% Sell",33.40%,27.61%,61180,18.01,24
AVP,"Avon Products",1.8,"24% Buy",61.59%,34.73%,5878990,1.38,2.99
AWR,"American States Water Company",59.74,"16% Buy",52.82%,19.23%,206930,47.53,61.66
AXE,"Anixter International Inc",72.85,"80% Buy",60.94%,47.74%,281085,56.25,88.85
AXL,"American Axle & Manufacturing",17.07,"56% Buy",54.25%,38.73%,1846870,13.38,20.27
AZZ,"Azz Inc",53.25,"24% Buy",58.07%,15.07%,157870,39.5,56.05
B,"Barnes Group",66.49,"72% Buy",61.05%,33.66%,196425,52.42,72.87
BABY,"Natus Medical Inc",35.9,"40% Buy",54.23%,34.06%,358480,28,43.6
BANC,"First Pactrust Bancorp",20.2,"64% Buy",56.04%,31.42%,457120,17.1,23.4
BANR,"Banner Corp",65.03,"96% Buy",64.57%,15.72%,143470,52.2,65.86
BCC,"Boise Cascade L.L.C.",44.1,Hold,48.53%,25.26%,445050,28,49.3
BCOR,"Blucora Inc",34.45,"32% Sell",42.11%,38.06%,382945,19.05,40.6
BCPC,"Balchem Cp",100.68,"48% Buy",53.54%,25.61%,84240,70.23,104.59
BEAT,"Biotelemetry Inc",57.15,"96% Buy",69.74%,47.89%,451400,23.3,58.5
BEL,"Belmond Ltd",15.1,"80% Buy",79.09%,107.20%,493205,10.3,16.2
BELFB,"Bel Fuse Inc Cl B",24.9,"96% Buy",62.15%,55.12%,19590,17.1,33.45
BFS,"Saul Centers",55.19,"100% Buy",59.03%,21.78%,36840,46.71,65.43
BGFV,"Big 5 Sporting",5.65,"96% Sell",29.38%,43.17%,287510,5.05,9.75
BGG,"Briggs & Stratton Corp",17.38,"32% Sell",45.53%,32.07%,276300,16.26,27.34
BGS,"B&G Foods Holdings",31,"40% Buy",52.35%,21.78%,717105,22,39.75
BHE,"Benchmark Electronics",25.55,"56% Sell",37.90%,68.43%,407120,23.98,35.8
BHLB,"Berkshire Hills Bancorp",41.25,"16% Buy",52.05%,14.42%,231090,32.85,44.25
BJRI,"Bj's Restaurants Inc",63.9,"72% Buy",57.89%,34.54%,383895,28,73.05
BKE,"Buckle Inc",25.25,"24% Buy",52.45%,36.35%,355670,13.5,28.8
BKS,"Barnes & Noble",6.05,"48% Buy",55.42%,21.06%,1030990,4.1,8
BLD,"Topbuild Corp",78.08,"8% Buy",49.20%,43.60%,297950,54.52,87.21
BMI,"Badger Meter",52.05,"64% Buy",61.71%,37.51%,151440,41,53.3
BNED,"Barnes & Noble Education Inc C",6.16,"16% Buy",57.26%,41.42%,288245,4.99,9.1
BOFI,"Bofi Holding Inc",37.11,"88% Sell",37.68%,45.68%,741430,24.2,45.18
BPFH,"Boston Pvt Finl Hldg",14.1,"88% Sell",28.01%,28.50%,447770,13.95,17.85
BRC,"Brady Corp",37.55,"24% Sell",46.78%,26.03%,203250,31.7,40.9
BRKL,"Brookline Bancorp",17.95,"40% Sell",41.20%,12.66%,260270,13.6,19.35
BRKS,"Brooks Automation",29.98,"56% Sell",43.27%,32.72%,650605,21.75,36.45
BRS,"Bristow Group Inc",11.3,"88% Sell",30.87%,47.43%,698255,6.86,18.91
CACI,"Caci International",181.9,"96% Buy",61.77%,19.01%,115050,118.1,183.45
CAL,"Caleres Inc",35.09,"48% Buy",53.49%,28.68%,307925,22.39,37.06
CALM,"Cal-Maine Foods In",46.9,"8% Buy",52.75%,16.98%,362480,34.03,52.3
CAMP,"Calamp Corp",23.24,"72% Buy",53.95%,16.86%,428490,17.52,25.45
CASH,"Meta Financial Grp",90.5,"88% Sell",35.97%,27.80%,60605,60.7,117.97
CATM,"Cardtronics Inc",30.36,"96% Buy",61.30%,91.91%,492620,15.8,32.33
CATO,"Cato Corp",23.55,"24% Sell",45.37%,40.37%,296245,10.76,26.88
CBB,"Cincinnati Bell Inc",12.1,"96% Sell",42.14%,121.56%,648350,9.9,22.2
CBL,"Cbl & Associates Properties",4.43,"72% Sell",36.26%,64.81%,3548925,3.8,9.1
CBM,"Cambrex Corp",63.4,"88% Buy",66.89%,33.06%,438340,42.55,67.75
CBU,"Community Bank System",63.71,"64% Buy",57.01%,17.20%,233535,48.89,65.51
CCMP,"Cabot Microelectron",122.6,"96% Buy",66.64%,11.90%,145105,68,123.76
CCOI,"Cogent Comm Hldgs",50,"40% Sell",40.00%,16.68%,226380,35.75,57.65
CCRN,"Cross Ctry Hlthcr",9.35,"88% Sell",34.92%,136.49%,335865,7.41,14.65
CDR,"Cedar Shopping Centers Inc",4.5,"24% Sell",43.89%,31.43%,338745,3.54,6.29
CECO,"Career Education",16.94,"16% Sell",46.88%,30.82%,422135,8.48,19.07
CEIX,"Consol Energy Inc",43.71,"80% Buy",55.69%,48.57%,441990,19.51,48.12
CENT,"Central Garden",40.91,"48% Sell",40.22%,19.39%,156310,33.2,45.02
CENTA,"Central Garden & Pet",36.57,"72% Sell",33.84%,23.22%,404235,32.2,41.97
CENX,"Century Aluminum C",12.14,"96% Sell",31.70%,51.48%,1724000,12,24.77
CEVA,"Ceva Inc",29.7,"88% Sell",43.63%,66.86%,163240,26.1,51.8
CHCO,"City Holding Co",80.37,"80% Buy",56.86%,14.94%,59175,58.8,82.75
CHCT,"Community Healthcare Trust Inc",31.69,"100% Buy",67.38%,20.92%,90865,22.41,32.09
CHS,"Chico's Fas",9.51,"56% Buy",60.08%,35.57%,2149850,6.96,10.9
CHSP,"Chesapeake Lodging Trust",31.42,"16% Sell",45.77%,19.36%,248360,24.08,32.95
CHUY,"Chuy's Holdings Inc",30.95,"8% Sell",47.37%,26.86%,111570,18,34.1
CIR,"Circor International",44.2,"32% Buy",57.38%,31.26%,210625,35.16,56.37
CJ,"C&J Energy Services Inc",23.64,"8% Sell",49.21%,36.08%,879730,21.22,36.57
CKH,"Seacor Smit Inc",51.22,"72% Sell",38.28%,13.75%,112615,35.2,59
CLD,"Cloud Peak Energy Inc",2.61,"72% Sell",36.72%,62.47%,632630,2.53,5.7
CLDT,"Chatham Lodging Trust [Reit]",20.95,"16% Sell",45.40%,16.20%,257480,17.9,23.91
CLW,"Clearwater Paper Corp",25.1,"24% Buy",53.58%,55.09%,206175,21.55,50.6
CMO,"Capstead Mortgage Corp",8.15,"80% Sell",28.81%,13.01%,665835,8.01,9.98
CMTL,"Comtech Telecom Co",34.55,"80% Buy",58.25%,22.99%,99115,17.11,35.38
CNMD,"C O N M E D Cp",76.1,"64% Buy",54.54%,28.24%,169295,48.03,83.49
CNSL,"Consolidated Communications Holdings Inc",11.31,"64% Sell",42.29%,52.92%,716955,10.31,20.72
COHU,"Cohu Inc",26.3,"88% Buy",55.51%,29.30%,229345,17.11,27.77
COKE,"Coca Cola Bot Cons",166.37,"56% Buy",78.86%,29.67%,49545,125.08,230
COLB,"Columbia Banking Sys",41.88,"40% Sell",49.78%,17.67%,271165,35.67,48.06
CORE,"Core Mark Holding",31.08,"100% Buy",83.03%,48.54%,398575,17.1,34.79
CORT,"Corcept Therapeutics",13.98,"16% Sell",44.02%,36.56%,1310700,12.5,25.96
CPF,"Central Pacific Financial Co",27.87,"72% Sell",39.47%,12.09%,111495,27.19,33.15
CPS,"Cooper Std Hldg Inc",136.54,"16% Buy",50.99%,26.86%,174670,97.7,146.77
CPSI,"Computer Programs",26.3,"64% Sell",23.54%,59.74%,174390,25.15,34.65
CRAY,"Cray Inc",21.5,"88% Sell",35.18%,44.25%,316970,17.6,28.6
CROX,"Crocs Inc",18.96,"80% Buy",59.25%,42.28%,1120375,8.36,19.54
CRR,"Carbo Ceramics",8.58,"32% Sell",41.39%,41.69%,346670,6.05,12.69
CRVL,"Corvel Cp",55.75,"40% Buy",51.83%,30.76%,24030,46.45,61.2
CRY,Cryolife,33.15,"100% Buy",67.14%,44.50%,116915,16.8,33.45
CRZO,"Carrizo Oil & Gas",24.46,"40% Sell",38.33%,41.37%,2211875,11.1,31.57
CSGS,"C S G Sys Intl",37.68,"96% Sell",31.76%,23.12%,174230,37.21,48.82
CTB,"Cooper Tire & Rubber Company",30.35,"72% Buy",64.76%,45.68%,799485,22.58,40.78
CTRE,"Caretrust REIT Inc",17.66,"96% Buy",61.77%,21.63%,485070,12.73,19.82
CTRL,"Control4 Corp",31.43,"96% Buy",70.81%,72.01%,386480,20.5,35.99
CTS,"Cts Corp",35.45,"8% Sell",49.69%,18.88%,153890,21.55,39.2
CUB,"Cubic Corp",71.15,"96% Buy",58.61%,30.53%,109660,41.05,77.35
CUBI,"Customers Bancorp",25.2,"80% Sell",33.76%,36.29%,229475,24.75,33.85
CUTR,"Cutera Inc",34.58,"100% Sell",33.55%,73.93%,241505,30.7,56.05
CVBF,"Cvb Financial Corp",24.11,"88% Buy",58.32%,16.49%,421950,19.58,25.49
CVCO,"Cavco Inds Inc",228.2,"100% Buy",61.92%,34.98%,51585,123.1,236.7
CVGW,"Calavo Growers Inc",96.45,"72% Buy",56.84%,15.67%,97915,65.85,99
CWT,"California Water Service Group Holding",40.7,"32% Buy",51.36%,21.40%,226990,35.25,46.15
CYH,"Community Health Systems",3.05,"48% Sell",43.43%,79.33%,2833175,2.66,8.07
