Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",842963000,16.94,2.47,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2160951000,53.63,0.8,54500000,0.82,0.32,0.75%
AAT,"American Assets Trust",1855274000,19.04,0.4,40130000,0.38,1.08,2.74%
AAWW,"Atlas Air Ww",1570612000,9.93,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3733063000,121.42,0.53,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2376000000,18.28,2.73,73550000,1.05,0.4,0.80%
ABG,"Asbury Automotive Group Inc",1541513000,10.54,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",1995209000,20.48,1.61,3800000,0.81,0.7,2.12%
ACET,"Aceto Cp",99760000,4.09,0.8,11380000,1.62,0.04,1.22%
ACLS,"Axcelis Tech Inc",627784000,11.66,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1372172000,28.86,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1638640000,19.94,1.91,58110000,0.33,2.16,3.84%
ADTN,"Adtran Inc",811580000,0,-0.06,23840000,0.61,0.36,2.12%
AEGN,"Aegion Corp",822898000,25.67,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2276202000,12.48,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3330429000,10.44,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",386904000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",775395000,16.36,0.46,21050000,0.61,0.8,5.04%
AIN,"Albany International Corp",2477790000,33.07,2.36,33110000,1.67,0.68,0.87%
AIR,"AAR Corp",1590050000,27.28,1.69,15600000,1.21,0.3,0.65%
AIT,"Applied Industrial Technologies",2967888000,21.02,3.71,141630000,0.94,1.2,1.54%
AJRD,"Aerojet Rocketdyne Holdings",2728404000,38.26,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2334975000,20.16,0.58,60830000,0.41,1.08,3.80%
AKS,"AK Steel Holding Corp",1340918000,16.56,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1148367000,18.93,5.21,44320000,0.87,0.44,0.45%
ALGT,"Allegiant Travel Com",2200992000,12.72,10.62,194900000,0.15,2.8,2.07%
ALRM,Alarm.Com,2603943000,55.99,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",844515000,0,-0.67,-199230000,0.39,0,0.00%
AMBC,"Ambac Financial Grp",985021000,4.52,4.82,-328720000,1.7,0,0.00%
AMED,"Amedisys Inc",3939563000,41.87,2.91,30300000,0.61,0,0.00%
AMN,"Amn Healthcare Services Inc",2733050000,21.2,2.07,132560000,0.42,0,0.00%
AMPH,"Amphastar Pharma",838231000,122.47,0.15,4510000,1.4,0,0.00%
AMSF,"Amerisafe Inc",1204713000,18.8,3.34,46230000,0.79,0.88,1.40%
AMWD,"Amer Woodmark Cp",1438222000,17.18,4.94,63140000,1.82,0,0.00%
ANDE,"Andersons Inc",1144735000,29.4,1.41,42510000,1.16,0.66,1.59%
ANF,"Abercrombie & Fitch Company",1944895000,29.45,0.96,7090000,0.72,0.8,2.83%
ANGO,"Angiodynamics Inc",830025000,31.04,0.73,16340000,0.97,0,0.00%
ANIK,"Anika Therapeutics",604633000,25.64,1.63,31820000,1.86,0,0.00%
ANIP,"ANI Pharma Inc",677859000,13.43,4.27,-1080000,2.78,0,0.00%
APEI,"American Pub. Edu.",585373000,23.19,1.52,21120000,0.65,0,0.00%
APOG,"Apogee Entrpr Inc",1411804000,16.18,3.1,79490000,1.45,0.63,1.26%
ARCB,"Arcbest Corp",1208244000,19.63,2.42,59730000,1.92,0.32,0.67%
ARI,"Apollo Commercial Real Estate",2380437000,11.72,1.65,193030000,0.54,1.84,9.51%
AROC,"Archrock Inc",1656448000,1300,0.01,18950000,2.92,0.53,4.06%
ARR,"Armour Residential R",994160000,8.87,2.68,181150000,0.64,2.28,9.59%
ASGN,"On Assignment",4736628000,25.09,3.62,157680000,1.91,0,0.00%
ASIX,"Advansix Inc",1002710000,12.93,1.74,146700000,1.47,0,0.00%
ASNA,"Ascena Retail Grp",963391000,0,-0.04,-1067300000,1.66,0,0.00%
ASTE,"Astec Inds Inc",1104626000,21.97,2.2,37800000,1.04,0.44,0.91%
ATNI,"Atn International",1176093000,47.92,1.56,31490000,0.61,0.68,0.91%
ATU,"Actuant Corp",1787415000,32.89,0.9,-66210000,1.41,0.04,0.14%
AVA,"Avista Corp",3380408000,26.37,1.95,115920000,0.25,1.49,2.90%
AVAV,"Aerovironment Inc",2021128000,82.26,1.04,20070000,1.14,0,0.00%
AVD,"American Vanguard Corp",618528000,30.53,0.66,20270000,1.01,0.08,0.40%
AVP,"Avon Products",889124000,20.2,0.1,22000000,1.24,0,0.00%
AWR,"American States Water Company",2242734000,36.6,1.66,69370000,0.27,1.1,1.81%
AXE,"Anixter International Inc",2404101000,13.46,5.4,109000000,2.12,0,0.00%
AXL,"American Axle & Manufacturing",1979147000,4.77,2.73,337100000,1.37,0,0.00%
AZZ,"Azz Inc",1401716000,51.13,1.06,45170000,1.42,0.68,1.25%
B,"Barnes Group",3476825000,22.84,2.99,59420000,1.37,0.64,0.94%
BABY,"Natus Medical Inc",1218888000,25.89,1.41,-20290000,0.58,0,0.00%
BANC,"First Pactrust Bancorp",1008134000,26.32,0.76,57710000,0.83,0.52,2.60%
BANR,"Banner Corp",2134104000,19.8,3.36,60780000,0.98,1.4,2.10%
BCC,"Boise Cascade L.L.C.",1746161000,13.75,3.32,82960000,1.98,0.28,0.61%
BCOR,"Blucora Inc",1705512000,20.78,1.72,27040000,-0.14,0,0.00%
BCPC,"Balchem Cp",3352739000,38.49,2.07,90070000,0.84,0.42,0.40%
BEAT,"Biotelemetry Inc",1941168000,44.25,1.33,-15960000,1.3,0,0.00%
BEL,"Belmond Ltd",1657656000,163.5,0.1,-45040000,1.33,0,0.00%
BELFB,"Bel Fuse Inc Cl B",326072000,30.7,0.86,-11900000,0.55,0.28,1.06%
BFS,"Saul Centers",1317375000,19.52,1.07,48260000,0.66,2.08,3.55%
BGFV,"Big 5 Sporting",126437000,47.08,0.12,1100000,-0.69,0.6,10.62%
BGG,"Briggs & Stratton Corp",882842000,16.16,1.29,-11320000,0.64,0.56,2.69%
BGS,"B&G Foods Holdings",2066906000,15.37,2.05,217460000,0.47,1.9,6.03%
BHE,"Benchmark Electronics",1204352000,16.51,1.59,-31970000,0.23,0.6,2.29%
BHLB,"Berkshire Hills Bancorp",1934892000,16.66,2.56,55250000,0.74,0.88,2.06%
BJRI,"Bj's Restaurants Inc",1489267000,34.87,1.98,44780000,0.76,0.44,0.64%
BKE,"Buckle Inc",1357752000,14.26,1.9,89710000,0.65,1,3.69%
