Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",41.34,-0.34,-0.82%,41.66,40.05,785000,08/15/18
AAON,"Aaon Inc",39.95,0.2,+0.50%,40.05,39.25,84400,08/15/18
AAT,"American Assets Trust",38.97,0.36,+0.93%,39.13,38.55,108200,08/15/18
AAWW,"Atlas Air Ww",58.45,-1.45,-2.42%,59.95,58.3,574600,08/15/18
AAXN,"Axon Inc",61.02,-1.29,-2.07%,62.55,59.72,770800,08/15/18
ABCB,"Ameris Bancorp",48.7,-0.55,-1.12%,49.55,48.65,254800,08/15/18
ABG,"Asbury Automotive Group Inc",74.4,-0.6,-0.80%,74.95,73.8,239200,08/15/18
ABM,"ABM Industries Incorporated",31.15,-0.04,-0.13%,31.34,30.87,595700,08/15/18
ACET,"Aceto Cp",3.23,0.01,+0.31%,3.24,3.11,110400,08/15/18
ACLS,"Axcelis Tech Inc",20.25,-0.85,-4.03%,20.95,20.01,259000,08/15/18
ACOR,"Acorda Therapeutics",27.95,-0.5,-1.76%,28.42,27.6,248300,08/15/18
ADC,"Agree Realty Corp",54.65,0.22,+0.40%,54.78,54.38,125000,08/15/18
ADTN,"Adtran Inc",16.05,-0.15,-0.93%,16.15,15.95,333200,08/15/18
AEGN,"Aegion Corp",24.46,-0.43,-1.73%,24.78,24.32,61900,08/15/18
AEIS,"Advanced Energy",59.13,-0.91,-1.52%,60.11,58.6,355800,08/15/18
AEL,"American Equity Investment Life",36.38,-0.01,-0.03%,36.72,36.08,319700,08/15/18
AGYS,"Agilysys Inc",15.84,-0.11,-0.69%,16.01,15.77,46100,08/15/18
AHH,"Armada Hoffler Properties Inc",15.67,0.08,+0.51%,15.76,15.57,286900,08/15/18
AIN,"Albany International Corp",77.45,0.85,+1.11%,77.75,75.8,173300,08/15/18
AIR,"AAR Corp",44.73,-1.53,-3.31%,46.19,44.48,156300,08/15/18
AIT,"Applied Industrial Technologies",76.35,-0.55,-0.72%,76.65,74.75,300200,08/15/18
AJRD,"Aerojet Rocketdyne Holdings",36.18,-1.11,-2.98%,37.16,36.06,503600,08/15/18
AKR,"Acadia Realty Trust",27.62,0.49,+1.81%,27.65,27.15,356000,08/15/18
AKS,"AK Steel Holding Corp",4.08,-0.1,-2.39%,4.18,4.01,14905999,08/15/18
ALG,"Alamo Group",96.07,-1.29,-1.32%,97.45,94.9,63700,08/15/18
ALGT,"Allegiant Travel Com",136,1.2,+0.89%,137.05,134.2,113100,08/15/18
ALRM,Alarm.Com,51.43,0.79,+1.56%,51.74,50.13,431700,08/15/18
AMAG,"Amag Pharmaceuticals",24.8,-0.1,-0.40%,24.95,24.35,242000,08/15/18
AMBC,"Ambac Financial Grp",21.83,-0.06,-0.27%,22.07,21.7,285100,08/15/18
AMED,"Amedisys Inc",116.13,-0.6,-0.51%,118.63,115.29,379200,08/15/18
AMN,"Amn Healthcare Services Inc",56.35,-0.35,-0.62%,57.2,56.25,229000,08/15/18
AMPH,"Amphastar Pharma",17.5,-0.18,-1.02%,17.77,17.25,128900,08/15/18
AMSF,"Amerisafe Inc",63.6,0.1,+0.16%,64.1,63.2,56300,08/15/18
AMWD,"Amer Woodmark Cp",81.45,-1.95,-2.34%,83.13,81.15,78100,08/15/18
ANDE,"Andersons Inc",39.4,-0.1,-0.25%,39.55,38.95,103900,08/15/18
ANF,"Abercrombie & Fitch Company",26.74,-2.52,-8.61%,28.9,26.21,3269500,08/15/18
ANGO,"Angiodynamics Inc",21.53,0.08,+0.37%,21.59,21.19,90500,08/15/18
ANIK,"Anika Therapeutics",41.53,-0.98,-2.31%,42.51,41.31,58400,08/15/18
ANIP,"ANI Pharma Inc",56,-1.15,-2.01%,56.85,54.79,138100,08/15/18
APEI,"American Pub. Edu.",34.95,0,unch,35.13,34.25,133500,08/15/18
APOG,"Apogee Entrpr Inc",48.57,-1.19,-2.39%,49.78,48.39,158100,08/15/18
