Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
BCOR,"Blucora Inc",35.15,+48.10,+59.05%,-5.00%,+35.19%,+53.49%
BCPC,"Balchem Cp",97.99,+28.10,+21.58%,-0.15%,+11.05%,+25.56%
BEAT,"Biotelemetry Inc",51.65,+72.80,+72.74%,+14.78%,+35.21%,+48.42%
BEL,"Belmond Ltd",11.2,-14.80,-8.57%,+0.45%,+4.67%,-14.50%
BELFB,"Bel Fuse Inc Cl B",22.75,-15.30,-9.63%,+8.85%,+17.57%,-10.61%
BFS,"Saul Centers",52.93,-11.20,-14.28%,-1.21%,+10.62%,-12.61%
BGFV,"Big 5 Sporting",6.5,-28.00,-14.47%,-14.47%,-22.62%,-40.09%
BGG,"Briggs & Stratton Corp",17.07,-30.80,-32.72%,-3.07%,-5.32%,-27.27%
BGS,"B&G Foods Holdings",31.8,+2.40,-9.53%,+6.35%,+39.78%,-11.79%
BHE,"Benchmark Electronics",24.15,-31.10,-17.01%,-17.15%,-8.17%,-27.37%
BHLB,"Berkshire Hills Bancorp",40.6,+12.40,+10.93%,unch,+6.98%,+10.18%
BJRI,"Bj's Restaurants Inc",60.9,+92.00,+67.31%,+1.50%,+9.04%,+74.12%
BKE,"Buckle Inc",24.05,+39.80,+1.26%,-10.59%,+4.34%,+42.73%
BKS,"Barnes & Noble",6.05,-15.90,-9.70%,-4.72%,+9.01%,-26.22%
BLD,"Topbuild Corp",74.56,+23.50,-1.56%,-4.83%,-6.45%,+42.37%
BMI,"Badger Meter",50.35,+14.80,+5.33%,+12.64%,+18.61%,+12.39%
BNED,"Barnes & Noble Education Inc C",5.59,-25.90,-32.16%,-0.89%,-22.25%,-24.66%
BOFI,"Bofi Holding Inc",38.72,+38.00,+29.50%,-5.35%,-3.87%,+44.96%
BPFH,"Boston Pvt Finl Hldg",14.45,-9.80,-6.47%,-9.12%,-9.97%,-4.30%
BRC,"Brady Corp",37.25,+7.00,-1.72%,-3.37%,+2.34%,+12.37%
BRKL,"Brookline Bancorp",18.25,+24.20,+16.24%,-1.88%,+9.94%,+25.00%
BRKS,"Brooks Automation",30.21,+30.60,+26.67%,-7.39%,+21.42%,+21.81%
BRS,"Bristow Group Inc",14.15,+45.80,+5.05%,+0.28%,-11.84%,+87.17%
CACI,"Caci International",171,+33.60,+29.20%,+1.45%,+13.21%,+35.02%
CAL,"Caleres Inc",33.36,+22.00,-0.36%,-3.00%,+1.92%,+20.87%
CALM,"Cal-Maine Foods In",44.7,+14.70,+0.56%,-2.51%,-8.21%,+16.56%
CAMP,"Calamp Corp",22.52,+13.50,+5.09%,-3.88%,+14.03%,+16.56%
CASH,"Meta Financial Grp",89.5,+6.80,-3.40%,-8.11%,-19.48%,+24.57%
CATM,"Cardtronics Inc",24.76,+2.60,+33.69%,+2.40%,-5.68%,-22.04%
CATO,"Cato Corp",25.05,+76.50,+57.35%,+1.75%,+54.53%,+46.66%
CBB,"Cincinnati Bell Inc",13.3,-33.70,-36.21%,-15.29%,-12.21%,-29.07%
CBL,"Cbl & Associates Properties",5.37,-25.30,-5.12%,-3.59%,+28.47%,-39.53%
CBM,"Cambrex Corp",61.35,+16.60,+27.81%,+17.30%,+15.86%,+2.08%
CBU,"Community Bank System",63.71,+19.80,+18.53%,+7.86%,+13.26%,+17.61%
CCMP,"Cabot Microelectron",118.23,+59.10,+25.67%,+9.92%,+16.54%,+61.69%
CCOI,"Cogent Comm Hldgs",51.95,+20.10,+14.68%,-2.72%,+10.18%,+17.53%
CCRN,"Cross Ctry Hlthcr",11.61,-7.00,-9.01%,+3.20%,-7.71%,-2.76%
CDR,"Cedar Shopping Centers Inc",4.62,-11.60,-24.01%,-2.12%,+18.77%,-12.67%
CECO,"Career Education",18.22,+115.70,+50.83%,+12.68%,+40.48%,+110.15%
CEIX,"Consol Energy Inc",40.47,+70.00,+2.43%,+5.53%,+28.68%,+74.29%
CENT,"Central Garden",42.69,+19.60,+9.69%,-1.82%,+13.87%,+32.70%
CENTA,"Central Garden & Pet",39.67,+14.40,+5.20%,-1.98%,+11.75%,+27.60%
CENX,"Century Aluminum C",12.92,-19.40,-34.22%,-17.97%,-26.04%,-23.10%
CEVA,"Ceva Inc",30.2,-33.70,-34.56%,unch,-7.36%,-34.63%
CHCO,"City Holding Co",81.03,+27.30,+20.10%,+7.71%,+13.20%,+23.71%
CHCT,"Community Healthcare Trust Inc",29.58,+21.20,+5.27%,-0.97%,+16.00%,+17.61%
CHS,"Chico's Fas",8.89,-3.30,+0.79%,+9.21%,-10.47%,-1.77%
CHSP,"Chesapeake Lodging Trust",31.35,+22.90,+15.73%,-0.92%,+6.13%,+25.60%
CHUY,"Chuy's Holdings Inc",32.1,+54.30,+14.44%,+4.56%,+12.24%,+38.36%
CIR,"Circor International",43.09,-15.80,-11.48%,+16.59%,+1.70%,-17.25%
CJ,"C&J Energy Services Inc",23.62,-28.00,-29.43%,+0.08%,-20.90%,-27.90%
CKH,"Seacor Smit Inc",53.48,+37.70,+15.71%,-6.62%,-2.48%,+54.08%
CLD,"Cloud Peak Energy Inc",2.71,-30.20,-39.10%,-22.35%,-15.05%,-19.10%
CLDT,"Chatham Lodging Trust [Reit]",21.25,+3.90,-6.63%,+0.14%,+11.55%,+2.91%
CLW,"Clearwater Paper Corp",23,-45.90,-49.34%,-0.43%,-2.75%,-52.72%
