Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",38.98,"24% Sell",45.04%,59.87%,1227150,22.54,74.43
AAON,"Aaon Inc",38.6,"88% Buy",71.83%,18.02%,186440,29.05,40.25
AAT,"American Assets Trust",38.75,"88% Buy",58.10%,20.82%,209065,30.62,41.69
AAWW,"Atlas Air Ww",63.65,"72% Sell",36.62%,26.57%,294585,50.65,75.29
AAXN,"Axon Inc",66.86,"8% Sell",50.05%,36.39%,755000,20.57,76.45
ABCB,"Ameris Bancorp",48.8,"88% Sell",38.12%,27.56%,480095,41.05,59.05
ABG,"Asbury Automotive Group Inc",74.05,"72% Buy",61.00%,24.52%,285495,49.1,76.5
ABM,"ABM Industries Incorporated",31.4,"64% Buy",57.98%,21.07%,659290,28.17,45.12
ACET,"Aceto Cp",3.24,"40% Sell",45.74%,54.15%,247520,2.22,16.51
ACLS,"Axcelis Tech Inc",22.8,"64% Buy",57.60%,37.34%,397320,19.3,37.05
ACOR,"Acorda Therapeutics",27.15,Hold,49.15%,64.39%,489185,16.55,36.35
ADC,"Agree Realty Corp",53.96,"64% Buy",55.31%,16.15%,149810,43.74,54.69
ADTN,"Adtran Inc",16.3,"64% Buy",58.27%,23.63%,426740,13.95,25.1
AEGN,"Aegion Corp",25.08,"8% Sell",48.75%,19.66%,80505,19.81,28.19
AEIS,"Advanced Energy",61.28,"16% Sell",52.03%,24.82%,510715,56.22,95
AEL,"American Equity Investment Life",35.55,"8% Sell",52.94%,15.63%,476215,25.43,37.16
AGYS,"Agilysys Inc",15.47,"16% Sell",48.54%,35.79%,118000,9.98,16.8
AHH,"Armada Hoffler Properties Inc",15.6,"96% Buy",61.12%,18.18%,285320,12.73,16
AIN,"Albany International Corp",64.3,"48% Buy",53.20%,20.58%,84975,49.2,68.85
AIR,"AAR Corp",46.55,"8% Buy",49.91%,48.70%,279635,34.25,49.05
AIT,"Applied Industrial Technologies",73.1,"8% Buy",50.79%,21.88%,142170,54,76.55
AJRD,"Aerojet Rocketdyne Holdings",34.5,"96% Buy",67.18%,74.19%,1014290,24.41,36.25
AKR,"Acadia Realty Trust",26.99,"24% Buy",51.65%,20.24%,486670,21.34,30.63
AKS,"AK Steel Holding Corp",4.52,"32% Sell",45.11%,62.70%,15327476,4,6.8
