Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",41.34,"24% Buy",50.71%,61.00%,1411285,22.54,71.29
AAON,"Aaon Inc",39.95,"96% Buy",75.16%,17.71%,194110,29.05,40.25
AAT,"American Assets Trust",38.97,"96% Buy",58.46%,19.75%,180210,30.62,41.69
AAWW,"Atlas Air Ww",58.45,"80% Sell",27.28%,21.86%,316800,50.65,75.29
AAXN,"Axon Inc",61.02,"24% Sell",42.74%,55.53%,983145,20.57,76.45
ABCB,"Ameris Bancorp",48.7,"56% Sell",40.01%,27.56%,405725,41.05,59.05
ABG,"Asbury Automotive Group Inc",74.4,"72% Buy",59.21%,18.58%,266875,49.1,76.5
ABM,"ABM Industries Incorporated",31.15,"40% Buy",54.50%,11.75%,580945,28.17,44.83
ACET,"Aceto Cp",3.23,"40% Sell",46.37%,46.84%,186575,2.22,16.49
ACLS,"Axcelis Tech Inc",20.25,"64% Sell",42.13%,34.44%,387035,19.3,37.05
ACOR,"Acorda Therapeutics",27.95,"32% Buy",52.55%,65.46%,493990,16.55,36.35
ADC,"Agree Realty Corp",54.65,"88% Buy",58.35%,17.01%,145630,43.74,54.78
ADTN,"Adtran Inc",16.05,"40% Buy",53.55%,21.33%,294350,13.95,25.1
AEGN,"Aegion Corp",24.46,"56% Sell",43.96%,20.82%,82645,19.81,28.19
AEIS,"Advanced Energy",59.13,"72% Sell",45.50%,23.61%,487340,56.22,95
AEL,"American Equity Investment Life",36.38,"72% Buy",57.24%,15.99%,355600,25.43,38.56
AGYS,"Agilysys Inc",15.84,"24% Buy",52.28%,36.36%,109725,10,16.8
AHH,"Armada Hoffler Properties Inc",15.67,"88% Buy",59.90%,18.14%,306475,12.73,16
AIN,"Albany International Corp",77.45,"96% Buy",75.33%,56.12%,153350,49.2,77.75
AIR,"AAR Corp",44.73,"48% Sell",42.10%,18.45%,144790,34.25,49.05
AIT,"Applied Industrial Technologies",76.35,"72% Buy",57.95%,28.68%,204405,54,77.15
AJRD,"Aerojet Rocketdyne Holdings",36.18,"96% Buy",67.30%,74.31%,1050815,24.41,37.7
AKR,"Acadia Realty Trust",27.62,"64% Buy",57.85%,21.27%,415710,21.34,30.63
AKS,"AK Steel Holding Corp",4.08,"48% Sell",36.15%,57.34%,15220925,4,6.8
ALG,"Alamo Group",96.07,"32% Buy",56.77%,19.93%,71495,86.41,120.58
ALGT,"Allegiant Travel Com",136,"32% Sell",50.05%,65.41%,207775,111.54,181.45
ALRM,Alarm.Com,51.43,"96% Buy",73.33%,33.62%,436870,33.39,52.6
AMAG,"Amag Pharmaceuticals",24.8,"80% Buy",60.96%,34.50%,610755,11.93,26.1
AMBC,"Ambac Financial Grp",21.83,"96% Buy",68.83%,20.84%,382465,13.17,23.34
AMED,"Amedisys Inc",116.13,"96% Buy",80.04%,40.16%,436700,45.6,118.63
AMN,"Amn Healthcare Services Inc",56.35,"72% Sell",44.94%,49.64%,494380,36.9,68.2
AMPH,"Amphastar Pharma",17.5,"16% Buy",54.91%,23.24%,136625,14.4,20.45
AMSF,"Amerisafe Inc",63.6,"64% Buy",61.85%,14.09%,68485,51.55,67.82
AMWD,"Amer Woodmark Cp",81.45,"96% Sell",40.31%,31.61%,147440,78.75,148.44
ANDE,"Andersons Inc",39.4,"96% Buy",69.07%,44.91%,133145,29.6,41.7
ANF,"Abercrombie & Fitch Company",26.74,"40% Buy",53.79%,60.20%,2054680,9.03,29.69
ANGO,"Angiodynamics Inc",21.53,"8% Sell",50.89%,20.48%,204345,15.16,23.95
ANIK,"Anika Therapeutics",41.53,"48% Buy",58.90%,65.98%,190485,28.54,69.81
ANIP,"ANI Pharma Inc",56,"64% Sell",25.87%,53.25%,135630,44.06,74.7
APEI,"American Pub. Edu.",34.95,"80% Sell",27.24%,84.77%,133625,17.4,46.15
