Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",41.78,-40.60,+10.47%,-0.88%,+26.64%,-52.95%
AAON,"Aaon Inc",36.75,+3.00,+0.14%,+9.21%,+1.94%,-2.00%
AAT,"American Assets Trust",37.57,-3.00,-1.75%,-0.34%,+14.54%,-6.82%
AAWW,"Atlas Air Ww",69,+20.40,+17.65%,-6.76%,+7.64%,+19.48%
AAXN,"Axon Inc",73.83,+182.80,+178.60%,+7.86%,+72.90%,+190.90%
ABAX,"Abaxis Inc",83.3,+65.30,+68.21%,+0.34%,+14.55%,+60.84%
ABCB,"Ameris Bancorp",51.85,+7.90,+7.57%,-9.98%,-0.67%,+9.97%
ABG,"Asbury Automotive Group Inc",69.35,+18.20,+8.36%,-8.51%,+4.76%,+20.40%
ABM,"ABM Industries Incorporated",29.94,-32.30,-20.63%,-1.45%,-5.70%,-31.91%
ACET,"Aceto Cp",3.23,-46.70,-68.73%,-22.73%,+28.69%,-79.12%
ACLS,"Axcelis Tech Inc",21.5,-13.10,-25.09%,+4.62%,-5.70%,-6.11%
ACOR,"Acorda Therapeutics",28.75,+70.30,+34.03%,-5.74%,+23.13%,+37.56%
ADC,"Agree Realty Corp",53.49,+14.30,+3.99%,-0.47%,+11.23%,+13.21%
ADTN,"Adtran Inc",16.5,-25.10,-14.73%,+8.55%,+12.24%,-30.67%
AEGN,"Aegion Corp",25.36,+8.10,-0.28%,-5.02%,+9.74%,+6.29%
AEIS,"Advanced Energy",59.84,-22.60,-11.32%,-1.92%,-1.90%,-21.02%
AEL,"American Equity Investment Life",35.14,+23.10,+14.35%,-2.12%,+14.05%,+26.40%
AGYS,"Agilysys Inc",16.38,+65.80,+33.39%,+5.75%,+33.06%,+56.15%
AHH,"Armada Hoffler Properties Inc",15.14,+15.00,-2.51%,+1.14%,+12.99%,+13.07%
AIN,"Albany International Corp",64.4,+17.90,+4.80%,+4.29%,+1.18%,+18.38%
AIR,"AAR Corp",46.75,+27.80,+18.99%,-2.05%,+3.89%,+27.04%
AIT,"Applied Industrial Technologies",75.6,+31.20,+11.01%,-0.26%,+4.93%,+31.25%
AJRD,"Aerojet Rocketdyne Holdings",30.28,+23.70,-2.95%,+3.49%,-0.03%,+31.59%
AKR,"Acadia Realty Trust",26.57,-4.60,-2.89%,-2.92%,+17.31%,-7.52%
AKS,"AK Steel Holding Corp",4.87,-10.90,-13.96%,+3.18%,+2.53%,-24.61%
