Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",771844000,11.32,3.37,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2005388000,46.38,0.84,54500000,0.82,0.32,0.86%
AAT,"American Assets Trust",1835053000,18.42,0.45,40130000,0.38,1.08,2.83%
AAWW,"Atlas Air Ww",1612836000,10.56,5.46,223470000,1.16,0,0.00%
AAXN,"Axon Inc",4023802000,166.14,0.42,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2323239000,18,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1482498000,9.77,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2045829000,19.33,1.61,3800000,0.81,0.7,2.25%
ACET,"Aceto Cp",98836000,3.96,0.8,11380000,1.62,0.04,1.26%
ACLS,"Axcelis Tech Inc",745880000,13.55,1.59,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1235588000,25.74,-0.46,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1572896000,19.09,1.91,58110000,0.33,2.16,4.01%
ADTN,"Adtran Inc",773747000,0,-0.06,23840000,0.61,0.36,2.22%
AEGN,"Aegion Corp",804321000,24.62,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2365764000,12.8,4.62,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3194045000,10.66,3.34,174650000,2.4,0.26,0.73%
AGYS,"Agilysys Inc",347098000,0,-0.36,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",756328000,15.92,0.45,21050000,0.61,0.8,5.18%
AIN,"Albany International Corp",2084950000,38.47,1.7,33110000,1.67,0.68,1.04%
AIR,"AAR Corp",1612284000,27.7,1.69,15600000,1.21,0.3,0.64%
AIT,"Applied Industrial Technologies",2782530000,20.84,3.46,133910000,0.94,1.2,1.66%
