Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
SXI,"Standex International Corp",103.55,"8% Sell",45.39%,37.14%,35570,89.4,114.2
SYKE,"Sykes Enterprises",30.11,"64% Buy",57.75%,14.49%,98085,25.9,32.15
TBI,"Trueblue Inc",29.4,"88% Buy",59.49%,26.20%,244115,19.75,29.85
TCMD,"Tactile Systems Technology Inc",65.56,"96% Buy",67.54%,64.23%,274080,22.72,66.26
TG,"Tredegar Corp",22.45,Hold,47.85%,90.81%,165485,15.35,26.5
TGI,"Triumph Group",21.6,"8% Sell",53.79%,67.65%,625205,17.75,34.58
THRM,"Gentherm Inc",48.85,"96% Buy",69.17%,21.84%,192340,29.8,49.8
TILE,"Interface Inc",23.7,"32% Buy",56.73%,18.10%,279990,18.65,26.25
TISI,"Team Inc",23.25,"8% Buy",51.31%,35.03%,391960,11.45,25.55
TIVO,"Tivo Corp",13.55,"24% Buy",57.26%,46.16%,1046930,11.3,20.17
TLRD,"Tailored Brands Inc",22.47,"16% Sell",48.29%,49.29%,1109180,11.55,35.94
TMP,Tompkinstrustco,86.94,"24% Buy",50.22%,13.77%,20690,71.27,91.99
TMST,"Timken Steel Corp",13.93,"16% Sell",42.57%,35.27%,368440,12.54,20.24
TNC,"Tennant Company",74.45,"64% Sell",40.58%,20.36%,76540,59,86.03
TPRE,"Third Point Reinsurance Ltd Co",13.45,"56% Buy",54.93%,34.48%,713595,12.27,17.1
TREX,"Trex Company",83.26,"88% Buy",66.73%,25.80%,416365,36.7,84.21
TRHC,"Tabula Rasa Healthcare Inc",82.69,"96% Buy",73.40%,27.82%,341475,20.19,85.61
TRST,"Trustco Bank Corp NY",9.15,"8% Buy",49.37%,15.48%,332165,7.51,9.7
TTEC,"Teletech Hldgs",26.65,"72% Sell",36.77%,85.90%,68650,24.35,43.75
TTEK,"Tetra Tech Inc",68.9,"40% Buy",64.06%,34.20%,295545,40.7,71
TTI,"Tetra Technologies",4.65,"16% Buy",51.24%,53.30%,636335,1.88,5.11
TTMI,"TTM Technologies I",18.44,"80% Buy",53.17%,43.00%,761880,13.61,19.91
TTS,"Tile Shop Hldgs",7.6,"56% Sell",42.61%,30.40%,289820,5.15,16.05
TVPT,"Travelport Worldwide Ltd",18.57,"24% Sell",48.68%,41.45%,1142115,12.1,20.3
TVTY,"Tivity Health",33.2,"64% Sell",42.50%,18.73%,423470,29.95,48.5
TWI,"Titan International",7.79,"48% Sell",38.57%,127.78%,785505,6.71,14.53
TYPE,"Monotype Imag. Hold.",21,"32% Sell",48.39%,19.76%,254880,18.08,26.75
UBA,"Urstadt Biddle Properties Inc",22.99,"64% Buy",59.38%,10.03%,61145,17.2,23.94
UCBI,"United Comm Banks",30.38,"88% Sell",43.76%,17.90%,343750,24.47,34.18
UCTT,"Ultra Clean Holdings",15.19,"8% Sell",53.08%,39.34%,702030,12.75,34.59
UEIC,"Universal Elect In",44.6,"72% Buy",67.79%,85.20%,149170,26.97,67.44
UFCS,"United Fire Group I",50.34,"56% Sell",38.15%,42.25%,76580,38.95,61.56
