Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",41.68,"32% Buy",51.46%,69.31%,1565300,22.54,71.45
AAON,"Aaon Inc",39.75,"96% Buy",74.41%,18.14%,195090,29.05,40.25
AAT,"American Assets Trust",38.61,"72% Buy",55.98%,19.71%,184160,30.62,41.69
AAWW,"Atlas Air Ww",59.9,"80% Sell",29.72%,23.69%,297185,50.65,75.29
AAXN,"Axon Inc",62.31,"16% Sell",44.60%,55.82%,977330,20.57,76.45
ABCB,"Ameris Bancorp",49.25,"64% Sell",41.95%,28.05%,425635,41.05,59.05
ABG,"Asbury Automotive Group Inc",75,"80% Buy",61.71%,18.48%,270155,49.1,76.5
ABM,"ABM Industries Incorporated",31.19,"40% Buy",54.94%,11.89%,571105,28.17,44.83
ACET,"Aceto Cp",3.22,"24% Sell",46.06%,49.61%,199300,2.22,16.51
ACLS,"Axcelis Tech Inc",21.1,"48% Sell",46.83%,33.08%,392215,19.3,37.05
ACOR,"Acorda Therapeutics",28.45,"32% Buy",54.85%,66.02%,496965,16.55,36.35
ADC,"Agree Realty Corp",54.43,"72% Buy",57.13%,17.09%,144295,43.74,54.69
ADTN,"Adtran Inc",16.2,"40% Buy",56.13%,21.08%,352540,13.95,25.1
AEGN,"Aegion Corp",24.89,Hold,47.67%,20.13%,82785,19.81,28.19
AEIS,"Advanced Energy",60.04,"40% Sell",48.16%,23.77%,520935,56.22,95
AEL,"American Equity Investment Life",36.39,"64% Buy",57.33%,16.24%,415450,25.43,38.56
AGYS,"Agilysys Inc",15.95,"32% Buy",53.60%,36.32%,109540,10,16.8
AHH,"Armada Hoffler Properties Inc",15.59,"80% Buy",58.55%,18.12%,305350,12.73,16
AIN,"Albany International Corp",76.6,"96% Buy",74.29%,56.15%,147475,49.2,77.35
AIR,"AAR Corp",46.26,"8% Sell",48.67%,15.42%,150140,34.25,49.05
AIT,"Applied Industrial Technologies",76.9,"64% Buy",59.63%,28.83%,193390,54,77.15
AJRD,"Aerojet Rocketdyne Holdings",37.29,"96% Buy",73.93%,73.03%,1061625,24.41,37.7
AKR,"Acadia Realty Trust",27.13,"24% Buy",53.38%,20.85%,421680,21.34,30.63
AKS,"AK Steel Holding Corp",4.18,"48% Sell",38.08%,58.47%,15258805,4,6.8
ALG,"Alamo Group",97.36,"48% Buy",61.07%,19.04%,70015,86.41,120.58
ALGT,"Allegiant Travel Com",134.8,"32% Sell",48.70%,66.21%,211315,111.54,181.45
ALRM,Alarm.Com,50.64,"96% Buy",71.81%,33.60%,427065,33.39,52.6
AMAG,"Amag Pharmaceuticals",24.9,"88% Buy",61.68%,34.31%,615740,11.93,26.1
AMBC,"Ambac Financial Grp",21.89,"96% Buy",69.95%,20.73%,411840,13.17,23.34
AMED,"Amedisys Inc",116.73,"96% Buy",81.63%,39.72%,437350,45.6,117.3
AMN,"Amn Healthcare Services Inc",56.7,"80% Sell",45.68%,49.63%,499295,36.9,68.2
AMPH,"Amphastar Pharma",17.68,"24% Buy",57.25%,22.82%,135110,14.4,20.45
AMSF,"Amerisafe Inc",63.5,"64% Buy",61.42%,14.09%,67310,51.55,67.82
AMWD,"Amer Woodmark Cp",83.4,"48% Sell",42.98%,31.31%,151265,78.75,148.44
ANDE,"Andersons Inc",39.5,"96% Buy",69.82%,45.33%,130750,29.6,41.7
ANF,"Abercrombie & Fitch Company",29.26,"56% Buy",64.82%,50.37%,1945270,9.03,29.69
ANGO,"Angiodynamics Inc",21.45,"16% Sell",50.20%,20.68%,212100,15.16,23.95
ANIK,"Anika Therapeutics",42.51,"56% Buy",62.91%,65.05%,196150,28.54,69.81
ANIP,"ANI Pharma Inc",57.15,"64% Sell",27.60%,53.82%,131540,43.84,74.7
APEI,"American Pub. Edu.",34.95,"64% Sell",27.24%,85.17%,130970,17.4,46.15
APOG,"Apogee Entrpr Inc",49.76,"72% Buy",57.70%,19.34%,142255,37.24,52.16
ARCB,"Arcbest Corp",46.3,"8% Sell",50.98%,44.83%,317700,25.02,50.45
ARI,"Apollo Commercial Real Estate",18.95,"48% Buy",54.68%,8.92%,1069370,17.56,19.17
AROC,"Archrock Inc",12.6,"8% Buy",48.72%,33.84%,640200,8.25,13.75
ARR,"Armour Residential R",23.39,"40% Buy",51.90%,10.83%,453820,21.4,27.55
ASGN,"On Assignment",90.16,"40% Buy",57.80%,32.05%,315200,44.66,94.25
ASIX,"Advansix Inc",34.2,"56% Sell",37.48%,45.47%,200575,30.33,46.51
ASNA,"Ascena Retail Grp",4.85,"88% Buy",71.89%,48.65%,1686080,1.69,4.9
ASTE,"Astec Inds Inc",46.27,"80% Sell",32.16%,86.62%,277680,45.3,64.8
ATNI,"Atn International",73.23,"96% Buy",74.42%,74.48%,53365,49.34,73.43
ATU,"Actuant Corp",28.7,"88% Buy",58.12%,18.34%,296035,21.5,30.05
AVA,"Avista Corp",51.01,"8% Sell",47.92%,5.29%,419830,47.5,52.91
AVAV,"Aerovironment Inc",82.47,"100% Buy",73.80%,23.38%,254570,37.01,82.9
AVD,"American Vanguard Corp",19.8,"80% Sell",35.41%,28.33%,63540,18.01,24
AVP,"Avon Products",1.72,"8% Sell",53.95%,42.68%,6657850,1.38,2.99
AWR,"American States Water Company",59.65,"16% Buy",52.33%,19.12%,204960,47.53,61.66
