Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",42.11,-0.76,-1.77%,43.21,42.07,570900,08/27/18
AAON,"Aaon Inc",40.6,-0.75,-1.81%,41.85,40.4,148800,08/27/18
AAT,"American Assets Trust",38.99,-0.43,-1.09%,39.46,38.78,176700,08/27/18
AAWW,"Atlas Air Ww",62.25,0.2,+0.32%,63.15,61.85,130100,08/27/18
AAXN,"Axon Inc",66.66,1.11,+1.69%,67.3,65.8,374200,08/27/18
ABCB,"Ameris Bancorp",49.95,0.1,+0.20%,50.3,49.8,338500,08/27/18
ABG,"Asbury Automotive Group Inc",75.6,0.25,+0.33%,76.05,75.35,153900,08/27/18
ABM,"ABM Industries Incorporated",30.64,0.14,+0.46%,30.98,30.54,351600,08/27/18
ACET,"Aceto Cp",3.31,0.04,+1.38%,3.36,3.24,133800,08/27/18
ACLS,"Axcelis Tech Inc",20.05,0.3,+1.52%,20.25,19.75,201700,08/27/18
ACOR,"Acorda Therapeutics",29.2,0.3,+1.04%,29.25,28.5,291800,08/27/18
ADC,"Agree Realty Corp",56.57,-0.05,-0.09%,56.71,56.22,147600,08/27/18
ADTN,"Adtran Inc",17,0.05,+0.29%,17.15,16.95,144900,08/27/18
AEGN,"Aegion Corp",24.92,0.02,+0.08%,25.3,24.73,49500,08/27/18
AEIS,"Advanced Energy",59.36,1.32,+2.27%,60.21,58.27,299300,08/27/18
AEL,"American Equity Investment Life",37.38,-0.01,-0.03%,37.93,37.33,212900,08/27/18
AGYS,"Agilysys Inc",16.48,-0.22,-1.32%,16.87,16.33,99000,08/27/18
AHH,"Armada Hoffler Properties Inc",15.71,-0.14,-0.88%,15.89,15.64,191300,08/27/18
AIN,"Albany International Corp",78.6,1.65,+2.14%,78.95,77.2,154700,08/27/18
AIR,"AAR Corp",46.63,0.64,+1.39%,47.04,46.1,213900,08/27/18
AIT,"Applied Industrial Technologies",76.95,-0.1,-0.13%,78.1,76.85,96700,08/27/18
AJRD,"Aerojet Rocketdyne Holdings",36.5,0.5,+1.39%,36.97,36.02,677700,08/27/18
