Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",38.23,"32% Sell",41.06%,65.23%,1259416,22.54,103.41
AAON,"Aaon Inc",36.35,"56% Buy",65.53%,13.78%,162943,29.05,40.25
AAT,"American Assets Trust",37.39,"8% Buy",49.91%,14.68%,228468,30.62,41.69
AAWW,"Atlas Air Ww",67.9,"40% Sell",43.62%,22.53%,207885,50.65,75.29
AAXN,"Axon Inc",72.21,"96% Buy",63.52%,27.48%,664804,20.57,76.45
ABAX,"Abaxis Inc",83.12,"24% Buy",62.35%,1.62%,173160,43.66,83.98
ABCB,"Ameris Bancorp",50.9,"80% Sell",35.59%,19.68%,389840,41.05,59.05
ABG,"Asbury Automotive Group Inc",70,"16% Buy",48.96%,23.70%,203972,49.1,76.5
ABM,"ABM Industries Incorporated",29.88,"32% Sell",46.92%,23.17%,596007,28.17,45.12
ACET,"Aceto Cp",3.12,"64% Sell",40.55%,62.62%,378040,2.22,17.1
ACLS,"Axcelis Tech Inc",21.33,"8% Sell",51.06%,36.81%,317337,18.6,37.05
ACOR,"Acorda Therapeutics",28.7,"8% Buy",50.64%,35.09%,431804,16.55,36.35
ADC,"Agree Realty Corp",52.71,Hold,47.79%,14.96%,158732,43.74,54.69
ADTN,"Adtran Inc",16.55,"80% Buy",65.05%,17.87%,409927,13.95,25.1
AEGN,"Aegion Corp",25.13,"24% Sell",45.55%,18.25%,78043,19.11,28.19
AEIS,"Advanced Energy",58.84,"80% Sell",43.42%,29.69%,357566,57.03,95
AEL,"American Equity Investment Life",35.23,"24% Buy",51.67%,16.60%,590342,25.43,37.16
AGYS,"Agilysys Inc",16.59,"80% Buy",71.53%,16.64%,119598,9.8,16.8
AHH,"Armada Hoffler Properties Inc",15.09,"48% Buy",53.60%,16.47%,349341,12.73,16
AIN,"Albany International Corp",64.4,"64% Buy",60.38%,14.58%,73366,49.2,68.85
AIR,"AAR Corp",46.4,"16% Sell",50.14%,49.44%,285255,34.25,49.05
AIT,"Applied Industrial Technologies",74.05,"72% Buy",54.96%,18.20%,134884,54,76.55
AJRD,"Aerojet Rocketdyne Holdings",29.05,"8% Sell",46.15%,22.17%,538637,23.12,36.25
AKR,"Acadia Realty Trust",26.59,"8% Buy",48.88%,11.77%,524220,21.34,30.63
AKS,"AK Steel Holding Corp",5.21,"64% Buy",63.98%,35.80%,11827806,4,6.88
ALG,"Alamo Group",89.89,"72% Sell",41.36%,17.01%,46788,86.41,120.58
ALGT,"Allegiant Travel Com",139.7,"64% Sell",42.80%,29.11%,151517,111.54,181.45
ALRM,Alarm.Com,43.54,"24% Buy",54.35%,14.51%,328985,33.39,49.49
AMAG,"Amag Pharmaceuticals",21.25,"48% Sell",46.56%,32.59%,502115,11.93,25.63
AMBC,"Ambac Financial Grp",20.37,"72% Buy",58.46%,13.96%,432995,13.17,21.11
AMED,"Amedisys Inc",93.95,"88% Buy",66.14%,25.10%,303734,45.6,97.5
AMN,"Amn Healthcare Services Inc",60.6,"24% Buy",53.02%,18.81%,318258,34.85,68.2
AMPH,"Amphastar Pharma",17.17,"24% Buy",56.49%,24.53%,161218,14.4,20.45
AMSF,"Amerisafe Inc",62.35,"80% Buy",63.59%,16.65%,66949,51.55,67.82
AMWD,"Amer Woodmark Cp",83.3,"96% Sell",37.55%,40.82%,186689,78.75,148.44
ANDE,"Andersons Inc",34.8,"24% Buy",52.22%,15.54%,66360,29.6,38
ANF,"Abercrombie & Fitch Company",24.4,"32% Sell",44.43%,42.87%,1744088,9.03,29.2
ANGO,"Angiodynamics Inc",21.39,"8% Buy",50.03%,73.14%,436029,15.16,23.95
ANIK,"Anika Therapeutics",34.34,"56% Sell",42.89%,23.02%,182023,28.54,69.81
ANIP,"ANI Pharma Inc",71.14,"56% Buy",63.95%,20.84%,82889,42.23,74.7
APEI,"American Pub. Edu.",43.75,"8% Buy",51.89%,25.73%,83974,17.4,46.15
APOG,"Apogee Entrpr Inc",48.53,"16% Buy",57.33%,45.58%,259076,37.24,53.12
ARCB,"Arcbest Corp",44.2,"16% Sell",46.98%,40.49%,259728,21.05,50.45
ARI,"Apollo Commercial Real Estate",18.85,"48% Buy",56.23%,9.41%,952285,17.56,19.06
AROC,"Archrock Inc",12.6,"64% Buy",55.52%,31.82%,1031363,8.25,13.35
ARR,"Armour Residential R",22.94,"8% Sell",46.49%,12.18%,374641,21.4,27.55
ASGN,"On Assignment",83.83,"40% Buy",56.54%,18.09%,228146,44.66,86.13
