Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",42.74,-24.85,+13.01%,+11.80%,+23.92%,-30.22%
AAON,"Aaon Inc",40.65,+27.85,+10.76%,+10.91%,+34.83%,+27.43%
AAT,"American Assets Trust",39.46,+2.88,+3.19%,+7.32%,+11.25%,-2.21%
AAWW,"Atlas Air Ww",62.05,-7.22,+5.80%,-7.73%,-9.81%,-3.80%
AAXN,"Axon Inc",67.3,+155.87,+153.96%,-2.12%,+6.81%,+207.59%
ABCB,"Ameris Bancorp",49.65,+4.65,+3.01%,+0.15%,-11.58%,+12.20%
ABG,"Asbury Automotive Group Inc",76,+36.26,+18.75%,+11.52%,+8.65%,+49.02%
ABM,"ABM Industries Incorporated",31.01,-27.55,-17.79%,+0.62%,+6.09%,-29.65%
ACET,"Aceto Cp",3.37,-29.53,-67.38%,+6.98%,+15.41%,-68.56%
ACLS,"Axcelis Tech Inc",20.15,-16.32,-29.79%,-9.44%,-5.18%,-0.74%
ACOR,"Acorda Therapeutics",28.9,+59.51,+34.73%,+20.67%,+19.42%,+12.45%
ADC,"Agree Realty Corp",57.21,+18.98,+11.22%,+9.58%,+10.00%,+16.87%
ADTN,"Adtran Inc",16.95,-17.76,-12.40%,+3.99%,+12.62%,-22.95%
AEGN,"Aegion Corp",24.75,+10.41,-2.67%,+0.98%,-4.55%,+17.08%
AEIS,"Advanced Energy",59.66,-20.87,-11.59%,-0.57%,-9.59%,-16.10%
AEL,"American Equity Investment Life",37.27,+30.02,+21.28%,+4.08%,+5.40%,+32.21%
AGYS,"Agilysys Inc",16.27,+56.83,+32.49%,+0.87%,+17.22%,+60.14%
AHH,"Armada Hoffler Properties Inc",15.85,+18.91,+2.06%,+7.02%,+10.61%,+19.89%
AIN,"Albany International Corp",77.8,+48.51,+26.61%,+17.70%,+25.99%,+49.47%
AIR,"AAR Corp",46.83,+26.46,+19.19%,-1.31%,+5.69%,+32.44%
AIT,"Applied Industrial Technologies",76.95,+30.45,+13.00%,+4.62%,+11.20%,+37.90%
AJRD,"Aerojet Rocketdyne Holdings",36.59,+28.76,+17.28%,+30.35%,+26.13%,+32.05%
AKR,"Acadia Realty Trust",28.55,+4.47,+4.35%,+8.31%,+13.61%,+0.88%
AKS,"AK Steel Holding Corp",4.47,-15.33,-21.02%,-14.86%,0.00%,-18.28%
ALG,"Alamo Group",99.12,+1.81,-12.18%,+8.89%,+3.20%,+11.25%
ALGT,"Allegiant Travel Com",136.65,+4.24,-11.70%,+9.45%,-12.32%,+15.71%
ALRM,Alarm.Com,54.75,+36.01,+45.03%,+27.98%,+27.06%,+22.51%
AMAG,"Amag Pharmaceuticals",24.65,+27.37,+86.04%,+11.79%,+4.01%,+45.00%
AMBC,"Ambac Financial Grp",21.27,+26.84,+33.10%,+6.78%,+14.17%,+16.93%
AMED,"Amedisys Inc",122.85,+172.04,+133.07%,+31.03%,+64.68%,+143.36%
AMN,"Amn Healthcare Services Inc",58.55,+48.11,+18.88%,-4.17%,+6.84%,+55.31%
AMPH,"Amphastar Pharma",18.09,+11.05,-5.98%,+5.24%,+13.06%,+15.37%
AMSF,"Amerisafe Inc",62.9,+13.90,+2.11%,-0.63%,+4.92%,+17.90%
AMWD,"Amer Woodmark Cp",85.95,-15.95,-34.01%,+4.69%,-2.94%,+6.05%
ANDE,"Andersons Inc",40.7,+33.90,+30.66%,+18.31%,+23.90%,+29.62%
ANF,"Abercrombie & Fitch Company",27.37,+89.92,+57.03%,+18.23%,+7.54%,+117.05%
ANGO,"Angiodynamics Inc",22.27,+31.18,+33.91%,+3.97%,+8.00%,+34.48%
ANIK,"Anika Therapeutics",41.46,-8.80,-23.09%,+3.52%,+2.85%,-22.08%
ANIP,"ANI Pharma Inc",57.22,+6.29,-11.22%,-15.95%,-8.11%,+24.55%
APEI,"American Pub. Edu.",35.95,+46.46,+43.51%,-19.66%,-13.37%,+101.97%
APOG,"Apogee Entrpr Inc",49.53,+15.71,+8.31%,+0.65%,+15.94%,+16.16%
ARCB,"Arcbest Corp",47.65,+34.47,+33.29%,+7.32%,+1.17%,+76.16%
ARI,"Apollo Commercial Real Estate",19.35,+7.83,+4.88%,+2.65%,+4.14%,+8.10%
AROC,"Archrock Inc",12.75,+26.70,+21.43%,-3.04%,+12.33%,+20.85%
ARR,"Armour Residential R",23.74,-7.94,-7.70%,+0.94%,+3.40%,-10.55%
ASGN,"On Assignment",91.68,+81.00,+42.65%,+1.36%,+17.12%,+103.19%
ASIX,"Advansix Inc",33.95,-6.51,-19.30%,-13.94%,-10.54%,+9.48%
ASNA,"Ascena Retail Grp",4.54,+99.76,+93.19%,+32.75%,+42.77%,+118.27%
ASTE,"Astec Inds Inc",49.08,-8.04,-16.10%,+1.68%,-15.20%,+3.63%
ATNI,"Atn International",73.46,+33.53,+32.94%,+18.10%,+39.90%,+20.80%
ATU,"Actuant Corp",29.25,+23.77,+15.61%,+4.65%,+17.94%,+25.54%
AVA,"Avista Corp",51.41,-0.31,-0.16%,+2.39%,-1.51%,-0.50%
AVAV,"Aerovironment Inc",85.7,+80.27,+52.60%,+18.88%,+47.91%,+119.41%
AVD,"American Vanguard Corp",21.4,+4.14,+8.91%,+0.71%,0.00%,+7.54%
AVP,"Avon Products",2.09,-16.73,-2.79%,+37.50%,+12.97%,-18.04%
