Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",38.23,-3.76,-8.95%,42.38,37.91,1635521,"16:01 ET"
AAON,"Aaon Inc",36.35,-0.2,-0.55%,37.15,35.95,149152,"16:01 ET"
AAT,"American Assets Trust",37.39,-0.13,-0.35%,37.56,37.25,309765,"16:03 ET"
AAWW,"Atlas Air Ww",67.9,-0.7,-1.02%,69.25,67,192994,"16:02 ET"
AAXN,"Axon Inc",72.21,-2.68,-3.58%,76.45,70.78,1056983,"16:02 ET"
ABAX,"Abaxis Inc",83.12,-0.03,-0.04%,83.19,83.08,68296,"16:03 ET"
ABCB,"Ameris Bancorp",50.9,-1.25,-2.40%,52.2,50.55,165800,"16:01 ET"
ABG,"Asbury Automotive Group Inc",70,0.65,+0.94%,73.35,69.4,259934,"16:01 ET"
ABM,"ABM Industries Incorporated",29.88,0.04,+0.13%,30.21,29.65,263333,"16:02 ET"
ACET,"Aceto Cp",3.12,-0.06,-1.89%,3.23,3.11,225494,"16:01 ET"
ACLS,"Axcelis Tech Inc",21.33,0.08,+0.35%,21.7,21.05,240844,"16:01 ET"
ACOR,"Acorda Therapeutics",28.7,0.65,+2.32%,29.15,28.3,256583,"16:01 ET"
ADC,"Agree Realty Corp",52.71,-0.32,-0.60%,54.55,51.88,177142,"16:03 ET"
ADTN,"Adtran Inc",16.55,-0.15,-0.90%,16.9,16.4,266946,"16:01 ET"
AEGN,"Aegion Corp",25.13,0.09,+0.36%,25.69,25.05,48754,"16:01 ET"
AEIS,"Advanced Energy",58.84,-0.5,-0.84%,60.34,58.69,306912,"16:01 ET"
AEL,"American Equity Investment Life",35.23,-0.23,-0.65%,35.86,35.17,282241,"16:04 ET"
AGYS,"Agilysys Inc",16.59,0.17,+1.04%,16.62,16.34,178254,"16:01 ET"
AHH,"Armada Hoffler Properties Inc",15.09,0.03,+0.20%,15.21,14.96,223718,"16:04 ET"
AIN,"Albany International Corp",64.4,0.75,+1.18%,64.6,63.7,68829,"16:03 ET"
AIR,"AAR Corp",46.4,-0.09,-0.19%,47.05,46.07,82798,"16:04 ET"
AIT,"Applied Industrial Technologies",74.05,-0.9,-1.20%,75.75,73.75,148771,"16:04 ET"
AJRD,"Aerojet Rocketdyne Holdings",29.05,-0.61,-2.06%,29.94,28.53,781549,"16:04 ET"
AKR,"Acadia Realty Trust",26.59,-0.25,-0.93%,27.04,26.59,442196,"16:04 ET"
AKS,"AK Steel Holding Corp",5.21,0.17,+3.37%,5.4,5.14,20753516,"16:04 ET"
ALG,"Alamo Group",89.89,-0.57,-0.63%,91.72,89.63,71159,"16:04 ET"
