Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",40.27,-33.70,+6.48%,-3.61%,+21.22%,-37.18%
AAON,"Aaon Inc",42.15,+37.60,+14.85%,+14.69%,+33.60%,+33.18%
AAT,"American Assets Trust",39.64,+3.40,+3.66%,+5.51%,+16.31%,-0.53%
AAWW,"Atlas Air Ww",61.2,-5.00,+4.35%,-11.30%,-11.56%,-0.89%
AAXN,"Axon Inc",64.16,+143.40,+142.11%,-13.10%,+10.72%,+190.71%
ABCB,"Ameris Bancorp",49.65,+5.30,+3.01%,-4.24%,-11.42%,+14.53%
ABG,"Asbury Automotive Group Inc",76.05,+43.00,+18.83%,+9.66%,+9.11%,+50.15%
ABM,"ABM Industries Incorporated",32.29,-23.00,-14.40%,+7.85%,+8.61%,-24.80%
ACET,"Aceto Cp",3.31,-34.70,-68.01%,+2.32%,+18.88%,-79.25%
ACLS,"Axcelis Tech Inc",19.15,-17.70,-33.28%,-10.93%,-9.03%,-7.26%
ACOR,"Acorda Therapeutics",28.35,+41.30,+32.17%,-1.39%,+19.62%,+29.45%
ADC,"Agree Realty Corp",56.13,+17.50,+9.12%,+4.94%,+12.71%,+14.95%
ADTN,"Adtran Inc",16.55,-20.70,-14.47%,+0.30%,+11.45%,-23.38%
AEGN,"Aegion Corp",25,+14.10,-1.69%,-1.42%,-2.38%,+23.15%
AEIS,"Advanced Energy",57.49,-22.20,-14.80%,-3.93%,-9.68%,-19.12%
AEL,"American Equity Investment Life",37.41,+31.60,+21.74%,+6.46%,+29.58%,+37.03%
AGYS,"Agilysys Inc",15.85,+54.60,+29.07%,-3.24%,+24.22%,+53.44%
AHH,"Armada Hoffler Properties Inc",16.04,+21.80,+3.28%,+5.94%,+16.82%,+23.01%
AIN,"Albany International Corp",77.05,+51.60,+25.39%,+19.64%,+25.69%,+52.88%
AIR,"AAR Corp",45.1,+22.00,+14.79%,-3.53%,-3.86%,+28.02%
AIT,"Applied Industrial Technologies",77.15,+34.20,+13.29%,+2.05%,+8.13%,+41.82%
AJRD,"Aerojet Rocketdyne Holdings",35.81,+32.60,+14.78%,+18.26%,+24.69%,+32.19%
AKR,"Acadia Realty Trust",28.47,+4.40,+4.06%,+7.15%,+19.42%,-0.25%
AKS,"AK Steel Holding Corp",4.4,-13.20,-22.26%,-9.65%,-6.38%,-16.19%
ALG,"Alamo Group",98.83,+3.50,-12.44%,+8.28%,-0.20%,+11.09%
ALGT,"Allegiant Travel Com",136.75,+3.60,-11.63%,-5.17%,-15.38%,+15.11%
ALRM,Alarm.Com,55.68,+43.20,+47.50%,+26.43%,+31.76%,+30.46%
AMAG,"Amag Pharmaceuticals",24.1,+27.80,+81.89%,+10.30%,-2.23%,+40.52%
AMBC,"Ambac Financial Grp",21.94,+33.00,+37.30%,+8.51%,+16.45%,+20.68%
AMED,"Amedisys Inc",119.51,+172.30,+126.73%,+25.01%,+60.20%,+137.83%
AMN,"Amn Healthcare Services Inc",57,+41.50,+15.74%,-6.86%,-2.31%,+47.29%
AMPH,"Amphastar Pharma",17.96,+11.60,-6.65%,+6.27%,+8.00%,+18.00%
AMSF,"Amerisafe Inc",63.25,+16.10,+2.68%,+1.85%,+5.59%,+14.07%
