Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",42.79,0.96,+2.30%,43.37,41.72,1142300,08/23/18
AAON,"Aaon Inc",41.35,-1.55,-3.61%,43.3,41.17,204100,08/23/18
AAT,"American Assets Trust",39.29,-0.12,-0.30%,39.63,39.28,120900,08/23/18
AAWW,"Atlas Air Ww",61.4,0.6,+0.99%,61.4,60.28,217600,08/23/18
AAXN,"Axon Inc",64.01,-0.34,-0.53%,65.39,63.71,458000,08/23/18
ABCB,"Ameris Bancorp",50,0.1,+0.20%,50.08,49.6,211400,08/23/18
ABG,"Asbury Automotive Group Inc",75.75,-1.2,-1.56%,77,75.45,120300,08/23/18
ABM,"ABM Industries Incorporated",30.35,-2.63,-7.97%,32.31,29.9,1587100,08/23/18
ACET,"Aceto Cp",3.24,-0.03,-0.92%,3.3,3.18,113300,08/23/18
ACLS,"Axcelis Tech Inc",19.4,-0.3,-1.52%,19.91,19.4,235200,08/23/18
ACOR,"Acorda Therapeutics",28.9,-0.25,-0.86%,29.35,28.4,406200,08/23/18
ADC,"Agree Realty Corp",56.33,0.1,+0.18%,56.5,56.03,112200,08/23/18
ADTN,"Adtran Inc",17,0.05,+0.29%,17.15,16.9,130600,08/23/18
AEGN,"Aegion Corp",25.25,-0.16,-0.63%,25.4,25.09,49100,08/23/18
AEIS,"Advanced Energy",58.2,-0.31,-0.53%,59.33,58.16,301800,08/23/18
AEL,"American Equity Investment Life",36.89,-0.49,-1.31%,37.31,36.65,331100,08/23/18
AGYS,"Agilysys Inc",16.45,0.32,+1.98%,16.52,15.88,40500,08/23/18
AHH,"Armada Hoffler Properties Inc",15.86,-0.01,-0.06%,15.9,15.81,166600,08/23/18
AIN,"Albany International Corp",76.95,-1.1,-1.41%,78.3,76.85,135900,08/23/18
AIR,"AAR Corp",45.77,-0.33,-0.72%,46.16,45.61,58000,08/23/18
AIT,"Applied Industrial Technologies",76.65,-1.35,-1.73%,78.05,76.65,84600,08/23/18
AJRD,"Aerojet Rocketdyne Holdings",36.09,-0.64,-1.74%,36.7,35.92,331300,08/23/18
AKR,"Acadia Realty Trust",28.65,0.22,+0.77%,28.72,28.42,442400,08/23/18
AKS,"AK Steel Holding Corp",4.25,-0.22,-4.92%,4.48,4.2,13459600,08/23/18
ALG,"Alamo Group",97.9,-0.75,-0.76%,98.73,97.1,56700,08/23/18
ALGT,"Allegiant Travel Com",136.2,1.15,+0.85%,136.95,134.3,79300,08/23/18
ALRM,Alarm.Com,54.59,-3.08,-5.34%,57.9,54.15,967600,08/23/18
AMAG,"Amag Pharmaceuticals",24.5,-0.4,-1.61%,25.05,24.3,324700,08/23/18
AMBC,"Ambac Financial Grp",21.73,-0.08,-0.37%,21.78,21.5,182500,08/23/18
AMED,"Amedisys Inc",123.73,1.89,+1.55%,124.82,122,237300,08/23/18
AMN,"Amn Healthcare Services Inc",57.55,-0.55,-0.95%,58.4,57.45,155700,08/23/18
AMPH,"Amphastar Pharma",18.12,-0.25,-1.36%,18.39,18.05,112200,08/23/18
AMSF,"Amerisafe Inc",62.55,-0.25,-0.40%,64.5,62.35,185600,08/23/18
AMWD,"Amer Woodmark Cp",81.95,-2.9,-3.42%,84.95,81.2,148300,08/23/18
ANDE,"Andersons Inc",40.45,-1,-2.41%,41.35,40.3,60800,08/23/18
ANF,"Abercrombie & Fitch Company",28.69,0.42,+1.49%,28.76,28.03,966500,08/23/18
ANGO,"Angiodynamics Inc",22.5,-0.16,-0.71%,22.77,22.49,108100,08/23/18
ANIK,"Anika Therapeutics",41.47,-0.33,-0.79%,42.09,41.25,57000,08/23/18
ANIP,"ANI Pharma Inc",57.3,-0.03,-0.05%,58.31,56.75,81600,08/23/18
APEI,"American Pub. Edu.",35.65,0.4,+1.13%,35.7,34.85,124900,08/23/18
APOG,"Apogee Entrpr Inc",49.94,-0.22,-0.44%,50.35,49.78,69300,08/23/18
ARCB,"Arcbest Corp",47.05,-0.45,-0.95%,48.1,46.5,152600,08/23/18
ARI,"Apollo Commercial Real Estate",19.35,0.01,+0.05%,19.41,19.33,504800,08/23/18
AROC,"Archrock Inc",12.8,-0.2,-1.54%,12.95,12.6,506300,08/23/18
ARR,"Armour Residential R",23.71,-0.07,-0.29%,23.85,23.69,232500,08/23/18
ASGN,"On Assignment",90.48,-0.33,-0.36%,91.58,90.35,170600,08/23/18
ASIX,"Advansix Inc",33.06,-0.16,-0.48%,33.38,32.65,134400,08/23/18
ASNA,"Ascena Retail Grp",4.91,0.05,+1.03%,4.97,4.78,1230300,08/23/18
ASTE,"Astec Inds Inc",47.84,-0.5,-1.03%,48.51,47.77,92200,08/23/18
ATNI,"Atn International",73.69,-1.06,-1.42%,74.5,73.37,41100,08/23/18
ATU,"Actuant Corp",29.35,-0.25,-0.84%,29.8,29.3,203600,08/23/18
AVA,"Avista Corp",51.46,0.03,+0.06%,51.56,51.37,207500,08/23/18
AVAV,"Aerovironment Inc",84.46,-1.09,-1.27%,86.07,84.24,200000,08/23/18
AVD,"American Vanguard Corp",20.4,0.25,+1.24%,20.6,20.1,84800,08/23/18
AVP,"Avon Products",2.01,-0.01,-0.50%,2.05,1.98,2698600,08/23/18
AWR,"American States Water Company",61.06,0.3,+0.49%,61.37,60.74,120500,08/23/18
AXE,"Anixter International Inc",71.85,-0.85,-1.17%,72.45,71.35,115200,08/23/18
AXL,"American Axle & Manufacturing",17.72,-0.03,-0.17%,17.76,17.37,1406400,08/23/18
AZZ,"Azz Inc",53.85,-0.35,-0.65%,54.2,53.35,66800,08/23/18
B,"Barnes Group",67.92,-0.36,-0.53%,68.3,67.67,158300,08/23/18
BABY,"Natus Medical Inc",36.45,-0.05,-0.14%,36.75,36.3,74700,08/23/18
BANC,"First Pactrust Bancorp",19.9,-0.1,-0.50%,20,19.73,244300,08/23/18
BANR,"Banner Corp",66.01,-0.52,-0.78%,66.75,65.72,169000,08/23/18
BCC,"Boise Cascade L.L.C.",44.9,-0.75,-1.64%,45.72,44.75,261800,08/23/18
BCOR,"Blucora Inc",35.8,0.05,+0.14%,36.35,35.55,259200,08/23/18
BCPC,"Balchem Cp",104.09,-0.23,-0.22%,104.74,103.15,65900,08/23/18
BEAT,"Biotelemetry Inc",59.2,0.35,+0.59%,59.5,58.22,291700,08/23/18
BEL,"Belmond Ltd",16.1,-0.25,-1.53%,16.4,16.05,637700,08/23/18
BELFB,"Bel Fuse Inc Cl B",27.15,0.75,+2.84%,27.65,26.55,37400,08/23/18
BFS,"Saul Centers",58.55,0,unch,58.79,58.15,17700,08/23/18
BGFV,"Big 5 Sporting",5.9,0.25,+4.42%,5.95,5.6,249900,08/23/18
BGG,"Briggs & Stratton Corp",20.69,-0.16,-0.77%,20.97,20.6,341500,08/23/18
BGS,"B&G Foods Holdings",31.35,-0.15,-0.48%,31.68,31.2,329500,08/23/18
BHE,"Benchmark Electronics",25.85,-0.4,-1.52%,26.5,25.8,280400,08/23/18
BHLB,"Berkshire Hills Bancorp",42.6,-0.05,-0.12%,42.65,42.3,168100,08/23/18
BJRI,"Bj's Restaurants Inc",70.85,1.8,+2.61%,71.95,68.38,454200,08/23/18
BKE,"Buckle Inc",27.8,0.7,+2.58%,27.95,26.95,592700,08/23/18
BKS,"Barnes & Noble",5.75,0.05,+0.88%,5.75,5.63,499000,08/23/18
BLD,"Topbuild Corp",69.88,-0.43,-0.61%,70.21,69.53,474000,08/23/18
BMI,"Badger Meter",54.25,-0.9,-1.63%,55.45,54.15,51700,08/23/18
BNED,"Barnes & Noble Education Inc C",5.44,0.1,+1.87%,5.59,5.25,790500,08/23/18
BOFI,"Bofi Holding Inc",38.62,-0.3,-0.77%,38.85,38.17,287500,08/23/18
BPFH,"Boston Pvt Finl Hldg",14.15,-0.08,-0.53%,14.25,14.13,327400,08/23/18
BRC,"Brady Corp",39.25,-0.25,-0.63%,39.75,38.9,191400,08/23/18
BRKL,"Brookline Bancorp",18.25,0,unch,18.35,18.17,175300,08/23/18
BRKS,"Brooks Automation",29.39,-0.16,-0.54%,29.66,29.2,223100,08/23/18
BRS,"Bristow Group Inc",11.03,0.1,+0.91%,11.05,10.82,287100,08/23/18
CACI,"Caci International",192.05,-1.6,-0.83%,193.75,191.4,94800,08/23/18
CAL,"Caleres Inc",38.45,0.23,+0.60%,38.57,37.88,162000,08/23/18
CALM,"Cal-Maine Foods In",50.1,0.2,+0.40%,50.35,49.65,187700,08/23/18
CAMP,"Calamp Corp",23.33,-0.16,-0.68%,23.64,23.07,268200,08/23/18
CASH,"Meta Financial Grp",86,-1.5,-1.71%,87.55,85.8,38500,08/23/18
CATM,"Cardtronics Inc",38.16,0.16,+0.42%,38.38,37.41,314500,08/23/18
CATO,"Cato Corp",20.1,-3.68,-15.48%,21.8,18.68,1158700,08/23/18
CBB,"Cincinnati Bell Inc",12.45,-0.7,-5.32%,13.05,12.4,323100,08/23/18
CBL,"Cbl & Associates Properties",4.46,-0.09,-1.98%,4.62,4.44,1685200,08/23/18
CBM,"Cambrex Corp",64,0.85,+1.35%,64.4,63,153600,08/23/18
CBU,"Community Bank System",66.17,-0.35,-0.53%,66.5,65.73,90500,08/23/18
CCMP,"Cabot Microelectron",111.63,0.66,+0.59%,112.24,110.36,141800,08/23/18
CCOI,"Cogent Comm Hldgs",52.4,-0.45,-0.85%,52.85,52.35,109300,08/23/18
CCRN,"Cross Ctry Hlthcr",10.08,0.08,+0.80%,10.13,9.86,215900,08/23/18
CDR,"Cedar Shopping Centers Inc",4.52,-0.02,-0.44%,4.57,4.51,114000,08/23/18
CECO,"Career Education",16.51,0.11,+0.67%,16.61,16.29,421400,08/23/18
CEIX,"Consol Energy Inc",41.59,-0.23,-0.55%,41.97,41.05,206000,08/23/18
CENT,"Central Garden",39.07,-0.22,-0.56%,39.42,38.9,63900,08/23/18
CENTA,"Central Garden & Pet",36.16,-0.08,-0.22%,36.43,36,256500,08/23/18
CENX,"Century Aluminum C",11.95,-0.44,-3.55%,12.34,11.81,1769000,08/23/18
