Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",40.61,0.34,+0.84%,41.14,40.15,531100,08/21/18
AAON,"Aaon Inc",42.75,0.6,+1.42%,43.2,42.2,259900,08/21/18
AAT,"American Assets Trust",39.62,-0.02,-0.05%,39.73,39.42,206100,08/21/18
AAWW,"Atlas Air Ww",62.2,1,+1.63%,62.65,61.35,359900,08/21/18
AAXN,"Axon Inc",63.81,-0.35,-0.55%,64.77,63.72,486500,08/21/18
ABCB,"Ameris Bancorp",50.05,0.4,+0.81%,50.35,49.65,276900,08/21/18
ABG,"Asbury Automotive Group Inc",77.4,1.35,+1.78%,77.75,76.25,155000,08/21/18
ABM,"ABM Industries Incorporated",32.95,0.66,+2.04%,33.44,32.39,574300,08/21/18
ACET,"Aceto Cp",3.31,0,+0.15%,3.34,3.26,180600,08/21/18
ACLS,"Axcelis Tech Inc",19.5,0.35,+1.83%,19.9,19,420600,08/21/18
ACOR,"Acorda Therapeutics",28.9,0.55,+1.94%,29.15,28.35,306100,08/21/18
ADC,"Agree Realty Corp",56.3,0.17,+0.30%,56.3,55.94,149600,08/21/18
ADTN,"Adtran Inc",16.9,0.35,+2.11%,16.9,16.55,248300,08/21/18
AEGN,"Aegion Corp",25.51,0.51,+2.04%,25.6,24.77,112200,08/21/18
AEIS,"Advanced Energy",58.45,0.96,+1.67%,59.03,57.66,318500,08/21/18
AEL,"American Equity Investment Life",37.57,0.16,+0.43%,37.83,37.07,575900,08/21/18
AGYS,"Agilysys Inc",15.99,0.14,+0.88%,16.04,15.88,75500,08/21/18
AHH,"Armada Hoffler Properties Inc",16.1,0.06,+0.37%,16.17,15.98,235400,08/21/18
AIN,"Albany International Corp",78.2,1.15,+1.49%,78.9,77.35,199800,08/21/18
AIR,"AAR Corp",45.99,0.89,+1.97%,46.23,45.1,136500,08/21/18
AIT,"Applied Industrial Technologies",78.3,1.15,+1.49%,78.9,77.4,243800,08/21/18
AJRD,"Aerojet Rocketdyne Holdings",36.62,0.81,+2.26%,36.71,36.04,515900,08/21/18
AKR,"Acadia Realty Trust",28.58,0.11,+0.39%,28.61,28.34,804900,08/21/18
AKS,"AK Steel Holding Corp",4.47,0.07,+1.59%,4.5,4.4,9361600,08/21/18
ALG,"Alamo Group",99.99,1.16,+1.17%,101.05,98.52,78000,08/21/18
ALGT,"Allegiant Travel Com",136.6,-0.15,-0.11%,137.5,136.15,105700,08/21/18
ALRM,Alarm.Com,56.71,1.03,+1.85%,57.02,55.6,490500,08/21/18
AMAG,"Amag Pharmaceuticals",24.75,0.65,+2.70%,24.9,24.1,413300,08/21/18
AMBC,"Ambac Financial Grp",21.7,-0.24,-1.09%,22.06,21.64,480700,08/21/18
AMED,"Amedisys Inc",119.92,0.41,+0.34%,120.5,118.57,278500,08/21/18
AMN,"Amn Healthcare Services Inc",58.3,1.3,+2.28%,58.95,57.2,244600,08/21/18
AMPH,"Amphastar Pharma",18.22,0.26,+1.45%,18.25,17.91,195200,08/21/18
AMSF,"Amerisafe Inc",63.2,-0.05,-0.08%,63.6,62.85,90300,08/21/18
AMWD,"Amer Woodmark Cp",86.6,3.1,+3.71%,86.95,83.55,107600,08/21/18
ANDE,"Andersons Inc",41.25,0.35,+0.86%,41.6,40.95,127200,08/21/18
ANF,"Abercrombie & Fitch Company",28.35,0.07,+0.25%,28.56,27.74,2794600,08/21/18
ANGO,"Angiodynamics Inc",22.43,0.39,+1.77%,22.5,22.11,175800,08/21/18
ANIK,"Anika Therapeutics",41.22,0,unch,42.01,41.01,111900,08/21/18
ANIP,"ANI Pharma Inc",56.71,0.58,+1.03%,57.09,55.67,80400,08/21/18
APEI,"American Pub. Edu.",35.75,-0.4,-1.11%,36.6,35.6,114400,08/21/18
APOG,"Apogee Entrpr Inc",50.45,0.82,+1.65%,50.84,49.63,134900,08/21/18
ARCB,"Arcbest Corp",47.75,0.65,+1.38%,48.2,47.2,236300,08/21/18
ARI,"Apollo Commercial Real Estate",19.44,0.17,+0.88%,19.5,19.27,873700,08/21/18
AROC,"Archrock Inc",12.55,0,unch,12.7,12.45,897700,08/21/18
ARR,"Armour Residential R",23.82,0.1,+0.42%,23.86,23.69,388100,08/21/18
ASGN,"On Assignment",91.34,1.13,+1.25%,91.79,90.18,254300,08/21/18
ASIX,"Advansix Inc",33.36,0.25,+0.76%,33.81,33.15,145000,08/21/18
ASNA,"Ascena Retail Grp",4.86,0.15,+3.18%,4.86,4.7,1415100,08/21/18
ASTE,"Astec Inds Inc",48.31,1.77,+3.80%,48.59,46.63,214500,08/21/18
ATNI,"Atn International",75.58,1.33,+1.79%,75.81,73.58,108900,08/21/18
ATU,"Actuant Corp",29.45,0.35,+1.20%,29.5,29.1,409500,08/21/18
AVA,"Avista Corp",51.36,0.19,+0.37%,51.54,51.13,558100,08/21/18
AVAV,"Aerovironment Inc",86.18,1.06,+1.25%,87.53,85.31,239700,08/21/18
AVD,"American Vanguard Corp",19.8,0.75,+3.94%,20.05,19.05,105500,08/21/18
AVP,"Avon Products",2.04,-0.01,-0.49%,2.1,1.96,8323101,08/21/18
AWR,"American States Water Company",61.18,0.33,+0.54%,61.4,60.87,167400,08/21/18
AXE,"Anixter International Inc",73.1,0.4,+0.55%,73.68,72.75,156900,08/21/18
AXL,"American Axle & Manufacturing",17.96,0.26,+1.47%,18.05,17.72,1963300,08/21/18
AZZ,"Azz Inc",54.75,1.05,+1.96%,54.85,53.85,139300,08/21/18
B,"Barnes Group",69.23,1.24,+1.82%,69.52,68.1,206100,08/21/18
BABY,"Natus Medical Inc",35.8,0,unch,36.03,35.7,144600,08/21/18
BANC,"First Pactrust Bancorp",20,0,unch,20.25,19.92,477300,08/21/18
BANR,"Banner Corp",66.92,0.88,+1.33%,67.11,66.26,153300,08/21/18
BCC,"Boise Cascade L.L.C.",46.55,0.25,+0.54%,47.15,46.4,342500,08/21/18
BCOR,"Blucora Inc",35.45,0.25,+0.71%,36.4,35.2,329100,08/21/18
BCPC,"Balchem Cp",104.18,0.86,+0.83%,104.6,102.18,94200,08/21/18
BEAT,"Biotelemetry Inc",57.25,1.05,+1.87%,57.49,56.3,219700,08/21/18
BEL,"Belmond Ltd",16.15,0.2,+1.25%,16.2,15.9,836800,08/21/18
BELFB,"Bel Fuse Inc Cl B",26.4,0.45,+1.73%,26.75,25.8,26600,08/21/18
BFS,"Saul Centers",58.75,-0.46,-0.78%,59.34,57.91,44600,08/21/18
BGFV,"Big 5 Sporting",5.95,0.1,+1.71%,5.95,5.85,271900,08/21/18
BGG,"Briggs & Stratton Corp",21.31,0.35,+1.67%,21.37,20.73,496900,08/21/18
BGS,"B&G Foods Holdings",31.95,-0.85,-2.59%,32.95,31.9,520500,08/21/18
BHE,"Benchmark Electronics",26.4,0.45,+1.73%,26.45,26,277900,08/21/18
BHLB,"Berkshire Hills Bancorp",42.65,0.75,+1.79%,42.9,41.9,195400,08/21/18
BJRI,"Bj's Restaurants Inc",66.8,0,unch,67.35,66.4,307600,08/21/18
BKE,"Buckle Inc",26.95,0.2,+0.75%,27.3,26.35,627900,08/21/18
BKS,"Barnes & Noble",5.95,0,unch,6,5.85,455500,08/21/18
BLD,"Topbuild Corp",70.81,1.9,+2.76%,71.06,69.65,461900,08/21/18
BMI,"Badger Meter",54.95,0.9,+1.67%,55.25,53.7,122400,08/21/18
BNED,"Barnes & Noble Education Inc C",6.35,-0.13,-2.01%,6.5,6.31,298200,08/21/18
BOFI,"Bofi Holding Inc",38.63,0.83,+2.20%,38.85,37.83,409400,08/21/18
BPFH,"Boston Pvt Finl Hldg",14.2,0.3,+2.16%,14.35,13.85,459400,08/21/18
BRC,"Brady Corp",39.05,0.7,+1.83%,39.3,38.3,206200,08/21/18
BRKL,"Brookline Bancorp",18.2,0.2,+1.11%,18.33,18,607800,08/21/18
