Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",39.58,Hold,46.97%,62.59%,1416520,22.54,71.29
AAON,"Aaon Inc",40.25,"96% Buy",76.25%,17.70%,190490,29.05,40.75
AAT,"American Assets Trust",39.05,"96% Buy",59.00%,18.10%,175190,30.62,41.69
AAWW,"Atlas Air Ww",59.88,"80% Sell",32.98%,24.64%,311085,50.65,75.29
AAXN,"Axon Inc",62.66,"8% Sell",45.77%,55.93%,969405,20.57,76.45
ABCB,"Ameris Bancorp",49.35,"40% Sell",43.27%,28.10%,405585,41.05,59.05
ABG,"Asbury Automotive Group Inc",74.4,"80% Buy",59.21%,18.32%,269165,49.1,76.5
ABM,"ABM Industries Incorporated",31.47,"72% Buy",57.38%,11.47%,577170,28.17,44.83
ACET,"Aceto Cp",3.21,"24% Sell",45.81%,46.74%,182450,2.22,16.3
ACLS,"Axcelis Tech Inc",20.05,"80% Sell",41.11%,34.48%,373755,19.3,37.05
ACOR,"Acorda Therapeutics",27.85,"32% Buy",52.09%,65.16%,486060,16.55,36.35
ADC,"Agree Realty Corp",55.45,"100% Buy",62.46%,15.70%,140045,43.74,55.5
ADTN,"Adtran Inc",16.45,"80% Buy",58.86%,21.33%,273605,13.95,25.1
AEGN,"Aegion Corp",24.63,"56% Sell",45.72%,20.57%,78810,19.81,28.19
AEIS,"Advanced Energy",58.68,"72% Sell",44.23%,23.62%,476515,56.22,95
AEL,"American Equity Investment Life",37.07,"88% Buy",61.79%,16.62%,361100,25.43,38.56
AGYS,"Agilysys Inc",15.92,"48% Buy",53.16%,36.43%,105205,10,16.8
AHH,"Armada Hoffler Properties Inc",15.85,"96% Buy",62.78%,16.97%,290935,12.73,16
AIN,"Albany International Corp",75.75,"96% Buy",69.42%,57.26%,162450,49.2,78.3
AIR,"AAR Corp",44.34,"56% Sell",40.63%,18.33%,146985,34.25,49.05
AIT,"Applied Industrial Technologies",76.4,"80% Buy",58.06%,27.95%,211405,54,77.15
AJRD,"Aerojet Rocketdyne Holdings",36.01,"96% Buy",66.34%,74.32%,997240,24.41,37.7
AKR,"Acadia Realty Trust",27.84,"72% Buy",59.67%,20.75%,406670,21.34,30.63
AKS,"AK Steel Holding Corp",4.24,"48% Sell",41.17%,59.68%,15326740,4,6.8
ALG,"Alamo Group",97.02,"40% Buy",59.01%,19.88%,75080,86.41,120.58
ALGT,"Allegiant Travel Com",135.7,"32% Sell",49.71%,65.35%,208315,111.54,181.45
ALRM,Alarm.Com,53.55,"100% Buy",76.86%,35.36%,456875,33.39,54
AMAG,"Amag Pharmaceuticals",24.45,"72% Buy",58.43%,35.03%,618955,11.93,26.1
AMBC,"Ambac Financial Grp",22.13,"96% Buy",71.24%,20.46%,385825,13.17,23.34
AMED,"Amedisys Inc",117.54,"96% Buy",80.96%,40.12%,440805,45.6,118.63
AMN,"Amn Healthcare Services Inc",57.35,"64% Sell",47.51%,49.66%,494595,36.9,68.2
AMPH,"Amphastar Pharma",18.04,"72% Buy",60.07%,24.66%,137335,14.4,20.45
AMSF,"Amerisafe Inc",63.95,"96% Buy",63.36%,13.77%,68525,51.55,67.82
AMWD,"Amer Woodmark Cp",82.55,"80% Sell",42.43%,32.14%,140505,78.75,148.44
ANDE,"Andersons Inc",40,"96% Buy",71.04%,44.98%,140475,29.6,41.7
ANF,"Abercrombie & Fitch Company",27.37,"40% Buy",55.77%,60.64%,2032480,9.03,29.69
ANGO,"Angiodynamics Inc",21.6,"8% Sell",51.52%,17.86%,191370,15.16,23.95
