Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",42.5,-39.10,+12.37%,+0.95%,+34.32%,-54.07%
AAON,"Aaon Inc",36.65,+2.60,-0.14%,+9.40%,+2.09%,-2.40%
AAT,"American Assets Trust",38.21,-0.70,-0.08%,+3.27%,+14.85%,-5.58%
AAWW,"Atlas Air Ww",69.25,+21.00,+18.07%,-4.55%,+8.63%,+18.58%
AAXN,"Axon Inc",73.07,+178.90,+175.74%,+11.49%,+69.97%,+187.79%
ABAX,"Abaxis Inc",83.29,+65.30,+68.19%,+0.29%,+13.63%,+63.86%
ABCB,"Ameris Bancorp",51.7,+7.40,+7.26%,-9.85%,-1.90%,+9.77%
ABG,"Asbury Automotive Group Inc",69.4,+18.30,+8.44%,-7.40%,+2.81%,+21.12%
ABM,"ABM Industries Incorporated",30.02,-32.10,-20.41%,-2.47%,-6.86%,-31.00%
ACET,"Aceto Cp",3.28,-45.50,-68.25%,-19.01%,+23.31%,-78.41%
ACLS,"Axcelis Tech Inc",21.8,-11.40,-24.04%,+7.65%,-4.80%,-6.64%
ACOR,"Acorda Therapeutics",29.15,+73.60,+35.90%,-4.58%,+24.57%,+43.24%
ADC,"Agree Realty Corp",54.42,+17.00,+5.79%,+1.83%,+11.22%,+14.66%
ADTN,"Adtran Inc",16.45,-25.40,-14.99%,+7.52%,+10.96%,-25.23%
AEGN,"Aegion Corp",25.71,+10.20,+1.10%,-2.39%,+9.26%,+7.21%
AEIS,"Advanced Energy",60.46,-21.50,-10.40%,-0.92%,-2.37%,-20.56%
AEL,"American Equity Investment Life",35.15,+23.10,+14.38%,-2.12%,+13.83%,+27.73%
AGYS,"Agilysys Inc",16.44,+66.60,+33.88%,+6.55%,+34.31%,+52.22%
AHH,"Armada Hoffler Properties Inc",15.42,+18.00,-0.71%,+4.26%,+13.13%,+16.73%
AIN,"Albany International Corp",63.95,+16.70,+4.07%,+3.40%,-1.16%,+18.32%
AIR,"AAR Corp",47.08,+29.10,+19.83%,-0.51%,+3.59%,+28.11%
AIT,"Applied Industrial Technologies",75.45,+30.80,+10.79%,unch,+3.21%,+31.56%
AJRD,"Aerojet Rocketdyne Holdings",30.41,+24.40,-2.53%,+6.25%,-1.55%,+33.20%
AKR,"Acadia Realty Trust",26.79,-3.50,-2.08%,-0.37%,+15.37%,-6.16%
AKS,"AK Steel Holding Corp",4.83,-11.90,-14.66%,+4.32%,+1.68%,-26.82%
ALG,"Alamo Group",90.69,-10.50,-19.65%,-1.88%,-22.57%,-1.48%
ALGT,"Allegiant Travel Com",143.8,-2.90,-7.08%,-2.08%,+0.24%,-0.14%
ALRM,Alarm.Com,44.38,+17.10,+17.56%,-2.01%,+5.29%,+16.76%
AMAG,"Amag Pharmaceuticals",22.15,+4.30,+67.17%,-1.77%,+11.59%,+15.67%
AMBC,"Ambac Financial Grp",20.14,+12.00,+26.03%,-0.30%,+13.53%,+12.26%
