Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",41.83,1.22,+3.00%,41.86,40.15,764699,08/22/18
AAON,"Aaon Inc",42.9,0.15,+0.35%,43.05,42.3,146840,08/22/18
AAT,"American Assets Trust",39.41,-0.21,-0.53%,39.68,39.3,347851,08/22/18
AAWW,"Atlas Air Ww",60.8,-1.4,-2.25%,62.56,60.65,180600,08/22/18
AAXN,"Axon Inc",64.35,0.54,+0.85%,64.97,63.1,433331,08/22/18
ABCB,"Ameris Bancorp",49.9,-0.15,-0.30%,50.25,49.7,266548,08/22/18
ABG,"Asbury Automotive Group Inc",76.95,-0.45,-0.58%,77.75,76.2,157142,08/22/18
ABM,"ABM Industries Incorporated",32.98,0.03,+0.09%,33.19,32.71,375957,08/22/18
ACET,"Aceto Cp",3.27,-0.04,-1.21%,3.3,3.12,249772,08/22/18
ACLS,"Axcelis Tech Inc",19.7,0.2,+1.03%,19.75,19.4,269528,08/22/18
ACOR,"Acorda Therapeutics",29.15,0.25,+0.87%,29.6,28.55,450514,08/22/18
ADC,"Agree Realty Corp",56.23,-0.07,-0.12%,57.04,55.77,84991,08/22/18
ADTN,"Adtran Inc",16.95,0.05,+0.30%,17.05,16.77,191202,08/22/18
AEGN,"Aegion Corp",25.41,-0.1,-0.39%,25.83,25.13,71626,08/22/18
AEIS,"Advanced Energy",58.51,0.06,+0.10%,58.91,58.03,286144,08/22/18
AEL,"American Equity Investment Life",37.38,-0.19,-0.51%,37.6,36.93,247099,08/22/18
AGYS,"Agilysys Inc",16.13,0.14,+0.88%,16.17,15.97,73345,08/22/18
AHH,"Armada Hoffler Properties Inc",15.87,-0.23,-1.43%,16.12,15.85,192243,08/22/18
AIN,"Albany International Corp",78.05,-0.15,-0.19%,78.55,77.65,132353,08/22/18
AIR,"AAR Corp",46.1,0.11,+0.24%,46.42,45.73,115672,08/22/18
AIT,"Applied Industrial Technologies",78,-0.3,-0.38%,78.25,77.55,85990,08/22/18
AJRD,"Aerojet Rocketdyne Holdings",36.73,0.11,+0.30%,37.15,35.77,366622,08/22/18
AKR,"Acadia Realty Trust",28.43,-0.15,-0.52%,28.71,28.21,522252,08/22/18
AKS,"AK Steel Holding Corp",4.47,0,unch,4.53,4.45,6380940,08/22/18
ALG,"Alamo Group",98.65,-1.34,-1.34%,100.21,98.41,51416,08/22/18
ALGT,"Allegiant Travel Com",135.05,-1.55,-1.13%,136.6,134.65,107569,08/22/18
ALRM,Alarm.Com,57.67,0.96,+1.69%,57.92,56.7,436714,08/22/18
AMAG,"Amag Pharmaceuticals",24.9,0.15,+0.61%,25.05,24.4,483954,08/22/18
AMBC,"Ambac Financial Grp",21.81,0.11,+0.51%,21.81,21.46,222804,08/22/18
AMED,"Amedisys Inc",121.84,1.92,+1.60%,122,119.5,386364,08/22/18
AMN,"Amn Healthcare Services Inc",58.1,-0.2,-0.34%,58.65,57.7,155289,08/22/18
AMPH,"Amphastar Pharma",18.37,0.15,+0.82%,18.66,18.22,178373,08/22/18
AMSF,"Amerisafe Inc",62.8,-0.4,-0.63%,63.65,62.65,60282,08/22/18
AMWD,"Amer Woodmark Cp",84.85,-1.75,-2.02%,86.76,84.5,85812,08/22/18
ANDE,"Andersons Inc",41.45,0.2,+0.48%,41.5,40.85,96666,08/22/18
ANF,"Abercrombie & Fitch Company",28.27,-0.08,-0.28%,29.17,28.06,1453596,08/22/18
ANGO,"Angiodynamics Inc",22.66,0.23,+1.03%,22.73,22.25,147149,08/22/18
ANIK,"Anika Therapeutics",41.8,0.58,+1.41%,42.07,40.94,87974,08/22/18
ANIP,"ANI Pharma Inc",57.33,0.62,+1.09%,57.44,56.08,67497,08/22/18
APEI,"American Pub. Edu.",35.25,-0.5,-1.40%,36.2,34.9,117499,08/22/18
APOG,"Apogee Entrpr Inc",50.16,-0.29,-0.57%,50.45,49.83,60396,08/22/18
ARCB,"Arcbest Corp",47.5,-0.25,-0.52%,48.4,47.2,144481,08/22/18
ARI,"Apollo Commercial Real Estate",19.34,-0.1,-0.51%,19.45,19.32,394728,08/22/18
AROC,"Archrock Inc",13,0.45,+3.59%,13.25,12.5,848696,08/22/18
ARR,"Armour Residential R",23.78,-0.04,-0.17%,23.92,23.72,221089,08/22/18
ASGN,"On Assignment",90.81,-0.53,-0.58%,91.35,90.36,136959,08/22/18
ASIX,"Advansix Inc",33.22,-0.14,-0.42%,33.58,33.05,111951,08/22/18
ASNA,"Ascena Retail Grp",4.86,0,unch,5.28,4.8,2125648,08/22/18
ASTE,"Astec Inds Inc",48.34,0.03,+0.06%,48.61,47.93,114138,08/22/18
ATNI,"Atn International",74.75,-0.83,-1.10%,75.94,74.2,49198,08/22/18
ATU,"Actuant Corp",29.6,0.15,+0.51%,29.7,29.25,171590,08/22/18
AVA,"Avista Corp",51.43,0.07,+0.14%,51.58,51.25,225511,08/22/18
AVAV,"Aerovironment Inc",85.55,-0.63,-0.73%,87.39,85,176384,08/22/18
AVD,"American Vanguard Corp",20.15,0.35,+1.77%,20.2,19.8,54553,08/22/18
AVP,"Avon Products",2.02,-0.02,-0.98%,2.07,1.95,4786640,08/22/18
AWR,"American States Water Company",60.76,-0.42,-0.69%,61.52,60.51,153398,08/22/18
AXE,"Anixter International Inc",72.7,-0.4,-0.55%,73.38,72.45,185914,08/22/18
AXL,"American Axle & Manufacturing",17.75,-0.21,-1.17%,18,17.5,2278649,08/22/18
AZZ,"Azz Inc",54.2,-0.55,-1.00%,54.85,53.95,83175,08/22/18
B,"Barnes Group",68.28,-0.95,-1.37%,69.15,67.95,163429,08/22/18
BABY,"Natus Medical Inc",36.5,0.7,+1.96%,36.55,35.6,107085,08/22/18
BANC,"First Pactrust Bancorp",20,0,unch,20.05,19.75,272578,08/22/18
BANR,"Banner Corp",66.53,-0.39,-0.58%,66.9,66.29,153909,08/22/18
BCC,"Boise Cascade L.L.C.",45.65,-0.9,-1.93%,46.99,45.4,334979,08/22/18
BCOR,"Blucora Inc",35.75,0.3,+0.85%,35.85,34.4,153905,08/22/18
BCPC,"Balchem Cp",104.32,0.14,+0.13%,105.18,103.26,41104,08/22/18
BEAT,"Biotelemetry Inc",58.85,1.6,+2.79%,58.9,57.05,350828,08/22/18
BEL,"Belmond Ltd",16.35,0.2,+1.24%,16.55,15.98,1152236,08/22/18
BELFB,"Bel Fuse Inc Cl B",26.4,0,unch,26.8,26.05,19307,08/22/18
BFS,"Saul Centers",58.55,-0.2,-0.34%,59.16,57.72,34250,08/22/18
BGFV,"Big 5 Sporting",5.65,-0.3,-5.04%,6.2,5.6,559090,08/22/18
BGG,"Briggs & Stratton Corp",20.85,-0.46,-2.16%,21.19,20.82,578450,08/22/18
BGS,"B&G Foods Holdings",31.5,-0.45,-1.41%,31.95,31.45,579810,08/22/18
BHE,"Benchmark Electronics",26.25,-0.15,-0.57%,26.48,26.05,340260,08/22/18
BHLB,"Berkshire Hills Bancorp",42.65,0,unch,42.65,42.35,167511,08/22/18
BJRI,"Bj's Restaurants Inc",69.05,2.25,+3.37%,69.05,66.88,852137,08/22/18
BKE,"Buckle Inc",27.1,0.15,+0.56%,27.85,27,501718,08/22/18
BKS,"Barnes & Noble",5.7,-0.25,-4.20%,5.95,5.65,782736,08/22/18
BLD,"Topbuild Corp",70.31,-0.5,-0.71%,71.37,69.76,315418,08/22/18
BMI,"Badger Meter",55.15,0.2,+0.36%,55.25,54.65,70785,08/22/18
BNED,"Barnes & Noble Education Inc C",5.34,-1.01,-15.91%,5.93,5.25,1213524,08/22/18
BOFI,"Bofi Holding Inc",38.92,0.29,+0.75%,38.99,38.21,301088,08/22/18
BPFH,"Boston Pvt Finl Hldg",14.23,0.03,+0.18%,14.3,14.05,310395,08/22/18
BRC,"Brady Corp",39.5,0.45,+1.15%,39.55,38.6,368839,08/22/18
