Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",41.83,"24% Buy",52.22%,53.99%,1277755,22.54,71.29
AAON,"Aaon Inc",42.9,"100% Buy",83.40%,17.84%,194302,29.05,43.2
AAT,"American Assets Trust",39.41,"96% Buy",60.34%,17.12%,184863,30.62,41.69
AAWW,"Atlas Air Ww",60.8,"48% Sell",38.24%,28.05%,303020,50.65,75.29
AAXN,"Axon Inc",64.35,Hold,48.82%,55.27%,872117,20.57,76.45
ABCB,"Ameris Bancorp",49.9,"16% Sell",46.09%,26.20%,398457,41.05,59.05
ABG,"Asbury Automotive Group Inc",76.95,"96% Buy",65.06%,17.56%,238207,50.3,77.75
ABM,"ABM Industries Incorporated",32.98,"88% Buy",68.08%,12.45%,573948,28.17,44.83
ACET,"Aceto Cp",3.27,"40% Sell",47.80%,45.12%,154304,2.22,16.11
ACLS,"Axcelis Tech Inc",19.7,"80% Sell",41.05%,37.60%,397991,18.75,37.05
ACOR,"Acorda Therapeutics",29.15,"56% Buy",57.59%,29.89%,392666,16.55,36.35
ADC,"Agree Realty Corp",56.23,"96% Buy",65.69%,13.38%,129505,43.74,57.04
ADTN,"Adtran Inc",16.95,"100% Buy",64.04%,19.12%,236965,13.95,25.1
AEGN,"Aegion Corp",25.41,"40% Buy",53.14%,21.18%,79566,19.81,28.19
AEIS,"Advanced Energy",58.51,"72% Sell",44.82%,23.22%,471707,56.22,95
AEL,"American Equity Investment Life",37.38,"96% Buy",62.69%,16.04%,366110,25.43,38.56
AGYS,"Agilysys Inc",16.13,"48% Buy",55.46%,36.63%,95402,10,16.8
AHH,"Armada Hoffler Properties Inc",15.87,"88% Buy",60.31%,16.29%,295062,12.73,16.17
AIN,"Albany International Corp",78.05,"96% Buy",72.28%,57.00%,182233,50.9,78.9
AIR,"AAR Corp",46.1,"8% Buy",49.63%,19.96%,143559,34.25,49.05
AIT,"Applied Industrial Technologies",78,"96% Buy",61.36%,27.66%,219460,54,78.9
AJRD,"Aerojet Rocketdyne Holdings",36.73,"88% Buy",68.02%,72.11%,938406,24.41,37.7
AKR,"Acadia Realty Trust",28.43,"96% Buy",63.20%,19.22%,412328,21.34,30.63
AKS,"AK Steel Holding Corp",4.47,"16% Sell",47.64%,58.03%,14261637,4,6.8
ALG,"Alamo Group",98.65,"56% Buy",60.67%,20.03%,83081,87.54,120.58
ALGT,"Allegiant Travel Com",135.05,"24% Sell",48.75%,64.36%,189358,111.54,181.45
ALRM,Alarm.Com,57.67,"96% Buy",82.09%,32.82%,500791,33.39,57.92
AMAG,"Amag Pharmaceuticals",24.9,"56% Buy",60.22%,33.44%,589863,11.93,26.1
