Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",40.92,"16% Buy",50.12%,70.95%,1589925,22.54,71.45
AAON,"Aaon Inc",38.85,"96% Buy",72.82%,16.94%,184670,29.05,40.25
AAT,"American Assets Trust",38.62,"72% Buy",57.02%,20.49%,203855,30.62,41.69
AAWW,"Atlas Air Ww",61.8,"88% Sell",33.14%,26.74%,297390,50.65,75.29
AAXN,"Axon Inc",59.78,"40% Sell",39.33%,56.17%,954555,20.57,76.45
ABCB,"Ameris Bancorp",49.4,"80% Sell",41.10%,27.84%,453915,41.05,59.05
ABG,"Asbury Automotive Group Inc",75.45,"88% Buy",64.21%,19.72%,283835,49.1,76.5
ABM,"ABM Industries Incorporated",31.38,"64% Buy",57.61%,20.97%,642660,28.17,44.83
ACET,"Aceto Cp",3.2,"56% Sell",44.79%,52.34%,218225,2.22,16.51
ACLS,"Axcelis Tech Inc",22.35,"48% Buy",54.53%,30.77%,380980,19.3,37.05
ACOR,"Acorda Therapeutics",26.6,Hold,47.07%,64.27%,484175,16.55,36.35
ADC,"Agree Realty Corp",53.76,"40% Buy",53.77%,16.14%,146385,43.74,54.69
ADTN,"Adtran Inc",15.95,"16% Buy",52.63%,24.17%,428425,13.95,25.1
AEGN,"Aegion Corp",25.1,"16% Buy",48.93%,18.93%,80930,19.81,28.19
AEIS,"Advanced Energy",62.34,"24% Buy",55.11%,21.73%,516425,56.22,95
AEL,"American Equity Investment Life",36.82,"80% Buy",62.27%,14.72%,462965,25.43,38.56
AGYS,"Agilysys Inc",15.47,"8% Sell",48.77%,35.44%,109460,9.98,16.8
AHH,"Armada Hoffler Properties Inc",15.58,"96% Buy",59.62%,18.38%,277500,12.73,16
AIN,"Albany International Corp",76.45,"100% Buy",76.29%,55.87%,123870,49.2,76.6
AIR,"AAR Corp",46.99,"40% Buy",51.88%,21.91%,186485,34.25,49.05
AIT,"Applied Industrial Technologies",74.5,"48% Buy",54.93%,21.64%,141960,54,76.55
AJRD,"Aerojet Rocketdyne Holdings",34.47,"96% Buy",66.74%,72.60%,1004200,24.41,36.25
AKR,"Acadia Realty Trust",26.82,"8% Sell",50.01%,20.20%,477785,21.34,30.63
