Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",41.78,-0.72,-1.69%,42.5,41.15,1311600,07/20/18
AAON,"Aaon Inc",36.75,0.1,+0.27%,37.1,36.35,115600,07/20/18
AAT,"American Assets Trust",37.57,-0.64,-1.67%,38.21,37.49,143700,07/20/18
AAWW,"Atlas Air Ww",69,-0.25,-0.36%,69.5,68.6,222800,07/20/18
AAXN,"Axon Inc",73.83,0.76,+1.04%,74.75,72.51,771100,07/20/18
ABAX,"Abaxis Inc",83.3,0.01,+0.01%,83.33,83.21,128400,07/20/18
ABCB,"Ameris Bancorp",51.85,0.15,+0.29%,51.95,51.35,292400,07/20/18
ABG,"Asbury Automotive Group Inc",69.35,-0.05,-0.07%,69.45,68.2,202000,07/20/18
ABM,"ABM Industries Incorporated",29.94,-0.08,-0.27%,30.12,29.77,469700,07/20/18
ACET,"Aceto Cp",3.23,-0.05,-1.52%,3.3,3.16,391700,07/20/18
ACLS,"Axcelis Tech Inc",21.5,-0.3,-1.38%,21.9,21.36,253800,07/20/18
ACOR,"Acorda Therapeutics",28.75,-0.4,-1.37%,29.25,28.55,263700,07/20/18
ADC,"Agree Realty Corp",53.49,-0.93,-1.71%,54.6,53.36,166800,07/20/18
ADTN,"Adtran Inc",16.5,0.05,+0.30%,16.7,16.25,393600,07/20/18
AEGN,"Aegion Corp",25.36,-0.35,-1.36%,25.83,25.33,77800,07/20/18
AEIS,"Advanced Energy",59.84,-0.62,-1.03%,60.71,59.69,271800,07/20/18
AEL,"American Equity Investment Life",35.14,-0.01,-0.03%,35.38,34.95,307700,07/20/18
AGYS,"Agilysys Inc",16.38,-0.06,-0.36%,16.45,16.33,37000,07/20/18
AHH,"Armada Hoffler Properties Inc",15.14,-0.28,-1.82%,15.4,15.1,204900,07/20/18
AIN,"Albany International Corp",64.4,0.45,+0.70%,64.9,63.8,63000,07/20/18
AIR,"AAR Corp",46.75,-0.33,-0.70%,47.29,46.72,142000,07/20/18
AIT,"Applied Industrial Technologies",75.6,0.15,+0.20%,76.55,75.05,131400,07/20/18
AJRD,"Aerojet Rocketdyne Holdings",30.28,-0.13,-0.43%,30.5,29.92,620500,07/20/18
AKR,"Acadia Realty Trust",26.57,-0.22,-0.82%,26.78,26.4,438100,07/20/18
AKS,"AK Steel Holding Corp",4.87,0.04,+0.83%,4.95,4.83,9414600,07/20/18
ALG,"Alamo Group",91.27,0.58,+0.64%,92.12,90.63,57400,07/20/18
ALGT,"Allegiant Travel Com",144.2,0.4,+0.28%,144.5,142.7,190000,07/20/18
ALRM,Alarm.Com,44.04,-0.34,-0.77%,44.88,44,334400,07/20/18
AMAG,"Amag Pharmaceuticals",21.85,-0.3,-1.35%,22.7,21.5,553400,07/20/18
AMBC,"Ambac Financial Grp",20.22,0.08,+0.40%,20.25,19.98,170700,07/20/18
AMED,"Amedisys Inc",95.6,0.21,+0.22%,96.26,94.75,236400,07/20/18
AMN,"Amn Healthcare Services Inc",61.2,-0.3,-0.49%,62.2,61.05,221100,07/20/18
